ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
973710284895420419,2018-03-13,23:59:57,UTC,PaulBauer21,"#DrainTheSwamp https://twitter.com/fiverights/status/973565988221476866
",DrainTheSwamp
973710267694624768,2018-03-13,23:59:53,UTC,KatyHow32699390,"@realDonaldTrump Word.#WeThePeople #Trust in YOU @POTUS to fix this. #MakeItRight.*I* have #GreatFaith that YOU & your Admin WILL.1 thing at a time. Add it to the list of #DrainTheSwamp work you're doing.Keep on exposing the #Truth & plugging away at #MAGA!!
","['WeThePeople', 'Trust', 'MakeItRightI', 'GreatFaith', 'DrainTheSwamp', 'Truth', 'MAGA']"
973710117567901697,2018-03-13,23:59:17,UTC,Lovefunmagictru,"Watch  https://youtu.be/ZECAjD7d9Vw - #PressAwards #Hammond #Brexit #Tories #Sevilla #Sanchez #ManUnited #Roma #OldTrafford - Are YOU aware that @realDonaldTrump  #QAnon #Trump & #TheAlliance #TheStorm #DrainTheSwamp is exposing the Satanic gate pedophiles/crooks globally? pic.twitter.com/tO5KHPvYgD
","['PressAwards', 'Hammond', 'Brexit', 'Tories', 'Sevilla', 'Sanchez', 'ManUnited', 'Roma', 'OldTrafford', 'QAnon', 'Trump', 'TheAlliance', 'TheStorm', 'DrainTheSwamp']"
973710058428289029,2018-03-13,23:59:03,UTC,sicvic187,"@WalshFreedom If he's not doing his job. His ass gotta go. #DrainTheSwamp
",DrainTheSwamp
973710056825946112,2018-03-13,23:59:02,UTC,BridgetRice17,"What is up with these exCIA people running for office?? The left is up to something! #LockHerUp #CrookedHillary #ObamaSpyGate #DRAINTHESWAMP #DrainTheDeepState #StopSoros #StopGlobalists #StopPropaganda #SickOfMisinformation #Trump2020 #ThePEOPLESPresident #TheGreatAwakeninghttps://twitter.com/MikeTokes/status/973559267612479488
","['LockHerUp', 'CrookedHillary', 'ObamaSpyGate', 'DRAINTHESWAMP', 'DrainTheDeepState', 'StopSoros', 'StopGlobalists', 'StopPropaganda', 'SickOfMisinformation', 'Trump2020', 'ThePEOPLESPresident', 'TheGreatAwakening']"
973710031408394240,2018-03-13,23:58:56,UTC,AcidCinnamon,"@realDonaldTrump You're doing a great job with  #DrainTheSwamp  .   Next? #InternetBillOfRightspic.twitter.com/PY61KkP6Lh
","['DrainTheSwamp', 'InternetBillOfRights']"
973709964765220864,2018-03-13,23:58:40,UTC,BigMrJoe,"@MyyyMannn Half the people in IT where we work are doing the same thing.. #DrainTheSwamp https://twitter.com/ProFootballTalk/status/973709190672912385
",DrainTheSwamp
973709668626255872,2018-03-13,23:57:30,UTC,LindaKight64,"@realDonaldTrump Thank you for coming to CA #TRUMP! Please help us #DRAINTHESWAMP here! We need you! #MAGA #TRUMP#PENCE2020 #KAG2020 #BUILDTHEWALLpic.twitter.com/gMW9XqueFv
","['TRUMP', 'DRAINTHESWAMP', 'MAGA', 'TRUMP', 'PENCE2020', 'PENCE2020', 'KAG2020', 'BUILDTHEWALL']"
973709532437217280,2018-03-13,23:56:57,UTC,waterfairy3,"@Mariehoiles121 @SpeakerRyan #PurgeDeepState #DrainTheSwamp #RidRhinos #BuildTheWall #MAGA #Trump
","['PurgeDeepState', 'DrainTheSwamp', 'RidRhinos', 'BuildTheWall', 'MAGA', 'Trump']"
973709509964288005,2018-03-13,23:56:52,UTC,mikeypubbah,"#TermLimits #WeThePeople #DrainTheSwamp #ConventionOfStates   WE NEED MORE CO-SPONSORS ON HR647 TO PUT TERM LIMITS ON CONGRESS!https://www.votervoice.net/Shares/BLeLZAhxAClGOA9tlOS7FBA
","['TermLimits', 'WeThePeople', 'DrainTheSwamp', 'ConventionOfStates']"
