ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
967912027447549952,2018-02-25,23:59:44,UTC,Ryan_R_Hatch,"@bbusa617 @vannsmole @Quasar637 You can't just go around accusing people of being communists whenever they advocate for gun reform. Many Republicans want gun reform, and we're decidedly NOT communists.  Go back to logic school buddy.
",None
967911970874667008,2018-02-25,23:59:31,UTC,tidyest,"We're combat veterans. We support the students demanding gun reform. http://wapo.st/2oqmOeJ?tid=ss_tw-amp
",None
967911919913848832,2018-02-25,23:59:19,UTC,KgKathryn,"@FedEx pls STOP supporting the NRA until we get real gun reform on weapons of WAR and high capacity magazines availability. Our children are our greatest resources and treasures, these mass killings wth war guns must be stopped.
",None
967911863894904832,2018-02-25,23:59:05,UTC,alolmost,"A very relevant post by actual experts on the 2nd Amendment and gun reform from 2013. pic.twitter.com/dqXq1eetIF
",None
967911780910481408,2018-02-25,23:58:46,UTC,DebraNickols,"@FedEx if @fedex con't their relationship w/ #NRA and #UPS nor @USPS cannot deliver...chances are i don't really need it..#NeverAgain #NoMoreBS #NRABloodMoney #GunReformNow #GunReform #KidsNotGuns #BoycottNRA #BoycottFedExhttps://twitter.com/chelseahandler/status/967761028397150208
","['NRA', 'UPS', 'NeverAgain', 'NoMoreBS', 'NRABloodMoney', 'GunReformNow', 'GunReform', 'KidsNotGuns', 'BoycottNRA', 'BoycottFedEx']"
967911767170052096,2018-02-25,23:58:42,UTC,jbwsgirl,"@MeetThePress @chucktodd  Please inform Mr. David Brody, that being from the Peoria Area, the Trump/Russian investigation, the Manafort/Gates indictments, as well as #gunreform , the #taxscam it ALL plays here thank you very much. We're NOT forgetting any of it. Have a seat, sir
","['gunreform', 'taxscam']"
967911746248871937,2018-02-25,23:58:37,UTC,DZBillFulton,"@pattonoswalt @moodyrich We're vets for Gun Reform not Control were not looking to take any guns just be smarter about how we deal with them like like permits for high capacity military type weapons #VetsForGunReform
",VetsForGunReform
967911705392156675,2018-02-25,23:58:28,UTC,rosaclemente,"Retweeted Mark Anthony Neal (@NewBlackMan):  Black Teens Have Been Fighting for Gun Reform for Years: ""Teens'... https://fb.me/1OxqYYsEK
",None
967911521870168064,2018-02-25,23:57:44,UTC,Ange_Amene,"@eclecticbrotha @BravenakBlog @HillaryWarnedUs @emersonhbryant It does.  It tells me along with abortion & Civil Rights the far left is willing to offer up gun reform as a wager.
",None
967911495207178240,2018-02-25,23:57:38,UTC,NashvilleResist,"We stand with Hendersonville High School, Hendersonville TN!   #GunReform #NeverAgain #Gunsense #Parklandhttps://twitter.com/hhswalkouts18/status/966113732807069696
","['GunReform', 'NeverAgain', 'Gunsense', 'Parkland']"
967911358045085696,2018-02-25,23:57:05,UTC,LegitimateGeek,"Yes, they missed the point. This isnt about 2A. The @NRA isnt the 2A, theyre a group with a mission to increase profits no matter what, including loss of life. Most of their members agree with common sense gun reform. https://twitter.com/nra/status/967556725283966977
",None
