ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
974072261631205378,2018-03-14,23:58:19,UTC,mstreetfilms,"A tip of the hat to Dade & Broward County schools for standing behind their students and the march today.  And to all those kids who risked punishment from their school for having the courage to add their voices, your efforts will be rewarded.  CHANGE IS COMING  MSD STRONG! pic.twitter.com/oGoGwKAPVB
",None
974072142236176386,2018-03-14,23:57:50,UTC,skyfall_hp,"@MLichtenheld @gumnuthut Way to go Miami Palmetto HS @studentswalkout #MSDstrong @NeverAgainMSDhttps://twitter.com/alexis_ayala126/status/973937370365079552
",MSDstrong
974071832495230976,2018-03-14,23:56:36,UTC,demetriosns,"Check out Eddie Vedder Pearl Jam Concert Meet & Greet Package for Four - Wrigley Field on Fanactics Auctions! https://www.fanaticsauctions.com/iSynApp/$fbPageURL . Fanatics, theAnthony Rizzo Foundation, and partners throughout the sports and entertainment world have come together to support#MSDSTRONG.
",MSDSTRONG
974071601066061830,2018-03-14,23:55:41,UTC,genesismdavila,"Know when you need to be heard  #msdstrong #nationalwalkoutday  Alyssa https://www.instagram.com/p/BgUqOWsnZV6/
","['msdstrong', 'nationalwalkoutday']"
974071525178597377,2018-03-14,23:55:23,UTC,amybree,"This college professor agrees! We walked out @LoyolaMaryland today and stand with you! #walkoutday #NationalStudentWalkout #neveragain #marchforourlives #StandWithStudents #msdstrong https://twitter.com/davidhogg111/status/974052523018457090
","['walkoutday', 'NationalStudentWalkout', 'neveragain', 'marchforourlives', 'StandWithStudents', 'msdstrong']"
974071498376794112,2018-03-14,23:55:17,UTC,JosephOten,"@MSA_SantaAna exercised their first amendment rights today and stood up to our federal government for its inaction. Change doesnt end here. We will continue to be the change that does good for our nation. #MSDStrong #MSASA #EnoughIsEnoughpic.twitter.com/aE9hhSDNMZ
","['MSDStrong', 'MSASA', 'EnoughIsEnough']"
974071350926233601,2018-03-14,23:54:42,UTC,orioleelem,"The victims & survivors of Stoneman Douglas are forever in our hearts & mind at Oriole. Joined by Chief Kronheim, the Oriole Family pay tribute to the Marjory Stoneman Douglas family. We Soar With You! #MSDStrong @RobertwRuncie @browardschools @BCPSChiefOSPA @Blue_Shenekapic.twitter.com/gfMCS6fwmd
",MSDStrong
974071084302684160,2018-03-14,23:53:38,UTC,itsdangerousw,"Walked 17 miles from my school to Marjory Stoneman Douglas today and although it was very very hard, it was worth everything and was so empowering. I cant believe its been 1 month since we lost 17 lives. #MSDStrong  enough is enough
",MSDStrong
974070588078678016,2018-03-14,23:51:40,UTC,putaamarcelina,"Innocent people are losing their lives due to gun violence. It needs to end. #MSDStrong #NationalSchoolWalkoutpic.twitter.com/unOgKiPWJy
","['MSDStrong', 'NationalSchoolWalkout']"
974070354883772424,2018-03-14,23:50:44,UTC,live4literacy,"@AMarch4OurLives @daniellejensen_ I raise activists. Connor walking out & standing up at MSD #neveragain #marchforourLives #MSDStrong #MSDclassof2018 #NationalStudentWalkout #enoughisenough #neverforget17 #pic.twitter.com/VLg8Ntym1j
","['neveragain', 'marchforourLives', 'MSDStrong', 'MSDclassof2018', 'NationalStudentWalkout', 'enoughisenough', 'neverforget17', '']"
