ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
971083481538232326,2018-03-06,18:01:58,UTC,AddaSpeaks,"@AP @starberry25 Mom either taught him how to open it, or the boy saw her opening the safe and remembered that info.
",None
971081092953526273,2018-03-06,17:52:29,UTC,AddaSpeaks,"@thehill @SeanTCurrey IKR? He stiffs everyone, seemingly.   ;-)
",None
969712226318848000,2018-03-02,23:13:05,UTC,AddaSpeaks,"I think of you're triggered by a 6th grader, you have more serious issues.   :-|https://twitter.com/ananavarro/status/969549292074651648
",None
969711959208841216,2018-03-02,23:12:02,UTC,AddaSpeaks,"@ananavarro Poor snowflakes.
",None
969105667750539264,2018-02-28,07:02:50,UTC,AddaSpeaks,"@WTHRcom And folks around here are afraid of muslims?   ;-|
",None
968928884178800640,2018-02-28,19:20:22,UTC,AddaSpeaks,"@inhsedems At least we can now buy liquor on Sundays, the better to console ourselves.   :-|
",None
968218632793837568,2018-02-26,20:18:05,UTC,AddaSpeaks,"So this just happened. Elected official in Georgia.https://twitter.com/caseycagle/status/968199605803454465
",None
968217940687499264,2018-02-26,20:15:20,UTC,AddaSpeaks,"@NRA @Delta @CaseyCagle Have at it, little man. Go ahead and mess with one of your states largest employers.
",None
967287706123493376,2018-02-23,06:38:55,UTC,AddaSpeaks,"@IngrahamAngle @JuliaYoung777 I'd rather they be disrespectful than dead.
",None
967254666978488321,2018-02-23,04:27:37,UTC,AddaSpeaks,"@BBCWorld God, and we claim to be civilized.
",None
966797921768431616,2018-02-22,22:12:41,UTC,AddaSpeaks,"@toddstarnes Well, I'm told that staring down the barrel of a gun does that, Todd.
",None
966399239268872192,2018-02-21,19:48:28,UTC,AddaSpeaks,"@FLGovScott @altNOAA @JoAnneNickerso3 He's termed out. Now going to run for the Senate.
",None
966131906722091011,2018-02-20,02:06:11,UTC,AddaSpeaks,"@devonBotHunter @3RZack Bystander implies that she had merely passing interest in the event. One wonders how you would react in a similar circumstance. Or are you speaking from personal knowledge?
",None
966106817683181568,2018-02-20,00:26:29,UTC,AddaSpeaks,"Definition of irony: evangelical who relies on faith healing, but owns several guns for self-protection. Just another lunch with the fam. #makemineadouble #logicaldisconnect #maybeIwasadopted
","['makemineadouble', 'logicaldisconnect', 'maybeIwasadopted']"
966104320247828480,2018-02-20,00:16:33,UTC,AddaSpeaks,"@Shawnfor63 Insensitive?  Seriously, thats what youre going with?
",None
966102423373864960,2018-02-20,00:09:01,UTC,AddaSpeaks,"@indystar Oh, for the love of God. This is what theyre choosing to waste time with?  Again?
",None
966100249587658752,2018-02-20,00:00:23,UTC,AddaSpeaks,"@PFTompkins @JFent08 @teslafuller @t_deg One does wonder.
",None
965805047861915648,2018-02-19,04:27:21,UTC,AddaSpeaks,"@indystar Well, thank God thats behind us.
",None
965121810768461824,2018-02-17,07:12:25,UTC,AddaSpeaks,"@BBCWorld @moniecross 17+ dead because the NRA bought the votes.
",None
965120520088883200,2018-02-17,07:07:17,UTC,AddaSpeaks,"@indystar Im confused.  Should we be proud of this?
",None
965119346665193472,2018-02-17,07:02:37,UTC,AddaSpeaks,"@williamlegate @RVAwonk Shes trying to figure out how to pawn to faucets.
",None
965116648406638592,2018-02-17,06:51:54,UTC,AddaSpeaks,"@mj_lee @alexburnsNYT @FlipthehouseUSA Ya know, I don't care if he's late to the party.  At least he's stepping up now.
",None
964909590876999681,2018-02-17,17:09:08,UTC,AddaSpeaks,"@washingtonpost Not any more.  What would have been anathema a decade ago now provokes a shrug.  Usually followed by fake news.
",None
964685982716059648,2018-02-16,02:20:35,UTC,AddaSpeaks,"@bishopk0s And what is so special about her?
",None
963449746080915459,2018-02-13,16:28:14,UTC,AddaSpeaks,"@NPRinskeep On a brighter note, I am encouraged that Morning Edition reaches a broad audience.
",None
962076776070549505,2018-02-09,21:32:32,UTC,AddaSpeaks,"@BarackObama @politico @mgeorgestevens New record!  Eight comments before a troll brought up #Benghazi!  Was it a holiday in Moscow?
",Benghazi
962073479452409857,2018-02-09,21:19:26,UTC,AddaSpeaks,"@thehill @mcg0958 Gosh.  I thought bots could at least spell.....
",None
961827363293052929,2018-02-08,05:01:27,UTC,AddaSpeaks,"@AP Perhaps he should have considered this before now.
",None
961819859041402883,2018-02-08,04:31:38,UTC,AddaSpeaks,"@CNN @bcnierman @Adondriel Given market behavior in the last few days, that might come sooner rather than later.
",None
961816944977502208,2018-02-08,04:20:04,UTC,AddaSpeaks,"@washingtonpost This assumes that they had one left to bargain with.
",None
961816664177180675,2018-02-08,04:18:57,UTC,AddaSpeaks,"@VP @TheRickyDavila The man is tragically tone deaf.
",None
961816122403139585,2018-02-08,04:16:47,UTC,AddaSpeaks,"@myownpetard Quick! Get the popcorn!
",None
961815188512030722,2018-02-08,04:13:05,UTC,AddaSpeaks,"@washingtonpost @austincorona1 More like Nero than Caesar.   :-|
",None
961813929168027650,2018-02-08,04:08:05,UTC,AddaSpeaks,"@washingtonpost @old_sales Seriously, this is what you're going with?
",None
961808074917859328,2018-02-08,03:44:49,UTC,AddaSpeaks,"@nowthisnews They only bring him in for the ass-kissing sessions.
",None
961807439682199554,2018-02-08,03:42:17,UTC,AddaSpeaks,"@waltshaub @punwithwordz For as long as he signs everything they  put in front of him.
",None
961785277852286976,2018-02-08,02:14:14,UTC,AddaSpeaks,"@StarTribune This is why we cant have nice things.
",None
961772934711955456,2018-02-08,01:25:11,UTC,AddaSpeaks,"@mchooyah @Kaharistotle Ever been to China?    :-/
",None
961772629991575553,2018-02-08,01:23:58,UTC,AddaSpeaks,"@mchooyah @tinhoy @RebeccaLovesUSA @Bobbie_j_ullman @klrwriter This isnt about our vets.  This is about a delusional man child who thinks it would be neat to play soldier with some nifty new toys.
",None
961691605320290304,2018-02-08,20:02:00,UTC,AddaSpeaks,"Someone needs to break it to our Toddler In Chief that our military assets are not playthings.  #noparade
",noparade
961689175291547648,2018-02-08,19:52:21,UTC,AddaSpeaks,"@BBCWorld Yeah.  Some people ought not be allowed out without minders.
",None
961686604342550528,2018-02-08,19:42:08,UTC,AddaSpeaks,"@CNN @bcnierman Apparently, dignity is only afforded to white Christians.
",None
961403791546437633,2018-02-07,00:58:20,UTC,AddaSpeaks,"@JohnCleese @BifferNelson Had an anaphylactic reaction while visiting the UK last year, and received excellent care. The doctors, nurses, and staff were wonderful. Havent a single complaint. The open ward thing took some getting used to, but perhaps the patients who have prolonged stays get rooms....
",None
961082805177454592,2018-02-06,03:42:51,UTC,AddaSpeaks,"@indystar @Xanadurocket Too bad he also screwed over the guys he talked into coming here.    :-|
",None
961036668881993728,2018-02-06,00:39:31,UTC,AddaSpeaks,"@realDonaldTrump @washingtonpost @USCentrist Hes compensating.   ;-)
",None
