ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
969605745036742658,2018-03-02,16:09:58,UTC,nickhurley79,"@jpbrammer 
",None
969373699127291904,2018-03-01,00:47:54,UTC,nickhurley79,"@mattyglesias Cc: @maggieNYT
",None
969293605293748224,2018-03-01,19:29:38,UTC,nickhurley79,"@scottbix And no weight loss
",None
968865787577585664,2018-02-28,15:09:39,UTC,nickhurley79,"@GrantGinder I used to use acqua di gio deodorant
",None
967116634317082624,2018-02-23,19:19:08,UTC,nickhurley79,"@IngrahamAngle Shes a kid. Whats trumps excuse??
",None
966028038424203274,2018-02-20,19:13:26,UTC,nickhurley79,"@RalstonReports Stick to Nevada politics
",None
964995987491184640,2018-02-17,22:52:26,UTC,nickhurley79,"@Mikel_Jollett Same
",None
964969629058727939,2018-02-17,21:07:42,UTC,nickhurley79,"@facebook hey come get your peoplehttps://twitter.com/robjective/status/964680122950234112
",None
963633434290802688,2018-02-13,04:38:08,UTC,nickhurley79,"@MikeDelMoro Seems weird to be celebrating this asshole given the article youve retweeted 
",None
962535851598209025,2018-02-10,03:56:44,UTC,nickhurley79,"@bariweiss @ira Bothsiderism gone off the rails
",None
959645314486624258,2018-02-02,04:30:46,UTC,nickhurley79,"@jorvad Ohhhhhh that makes sense (goes to amazon prime now )
",None
959644346453774336,2018-02-02,04:26:56,UTC,nickhurley79,"@jorvad Babe, what are you doing with your remote that you need this 
",None
959434510134906880,2018-02-02,14:33:07,UTC,nickhurley79,"@skoczela No one considers Staten Island part of the coastal elite
",None
959210996979195905,2018-02-01,23:44:57,UTC,nickhurley79,"@jake_bittle @samo102us 
",None
959118522378084352,2018-02-01,17:37:29,UTC,nickhurley79,"@jake_bittle Actually they do this for everywhere NOT Manhattan.  Brooklyn is usually subjected to this treatment
",None
956886490625257473,2018-01-26,13:48:12,UTC,nickhurley79,"@CNN Feel bad the wonderful @camanpour has to appear next to that idiot @CillizzaCNN he just gave a 3rd grade level analysis of #trumpdavos @cnn why did you hire that guy??
",trumpdavos
956240539472580611,2018-01-24,19:01:25,UTC,nickhurley79,"@RoseanneOnABC @Rosie Keep it!!!!
",None
955831387818549249,2018-01-23,15:55:36,UTC,nickhurley79,"@Marina_Sirtis Lol thats great
",None
955499756352167937,2018-01-22,17:57:48,UTC,nickhurley79,"@ddale8 The point is no one deserves this but I dont feel sympathy for the Trump voters who are going to get screwed over this
",None
953850855593316352,2018-01-17,04:45:40,UTC,nickhurley79,"Ummmm keep it!!! Cc: @irahttps://twitter.com/brianstelter/status/953765337371115521
",None
953399299328675841,2018-01-16,22:51:20,UTC,nickhurley79,"@ira Haha
",None
953349266151485440,2018-01-16,19:32:32,UTC,nickhurley79,"@ira @TylerDinucci Is this @MadameTussauds 
",None
953117393504686081,2018-01-15,04:11:09,UTC,nickhurley79,"@ira That line about the white wine... 
",None
951886294300454912,2018-01-12,18:39:12,UTC,nickhurley79,"Cc @SpeakerRyanhttps://twitter.com/topherspiro/status/951861944574791680
",None
951525840642367491,2018-01-11,18:46:53,UTC,nickhurley79,"@ira Congrats! Listened on my commute this morning!!!
",None
949508709759188998,2018-01-05,05:11:32,UTC,nickhurley79,"@jorvad I cant!!
",None
947582822491058181,2017-12-31,21:38:44,UTC,nickhurley79,"@nytimes This is shameful
",None
947503637613481984,2017-12-31,16:24:05,UTC,nickhurley79,"@jacksonisaacson 
",None
944948113697050624,2017-12-24,15:09:21,UTC,nickhurley79,"@ira Editor-in-Chief 
",None
944028741419794432,2017-12-21,02:16:05,UTC,nickhurley79,"@ira Will be there tomorrow night probably
",None
944014143635513344,2017-12-21,01:18:05,UTC,nickhurley79,"@ira What about La Cage points?
",None
943983577687093248,2017-12-21,23:16:37,UTC,nickhurley79,"@StateDept @jimsciutto Talk is cheap and hes been the worst SoS as far as press availablilty.
",None
943629706317975553,2017-12-20,23:50:28,UTC,nickhurley79,"@KFILE Those guns
",None
943561023906344961,2017-12-20,19:17:33,UTC,nickhurley79,"@realDonaldTrump @WhiteHouse @JoePerticone @Sen_JoeManchin Ewwww
",None
942233876868554752,2017-12-16,03:23:56,UTC,nickhurley79,"@ira Hi @GeorgeNorthy
",None
942190665299120129,2017-12-16,00:32:14,UTC,nickhurley79,"@ira this is walk the dog use your imagination....
",None
942190446163447808,2017-12-16,00:31:22,UTC,nickhurley79,"@ira Hey this is the elephant
",None
942190359383302144,2017-12-16,00:31:01,UTC,nickhurley79,"@ira Young closeted Nick in the hostel common room witnesses the hockey players performing their dick trickssomething the hockey players did in their locker rooms
",None
942189938086481925,2017-12-16,00:29:20,UTC,nickhurley79,"@ira Picture it: Dublin hostel 1997 on Mr Kearneys Irish trip with 40 boys.....
",None
942157339099934720,2017-12-16,22:19:48,UTC,nickhurley79,"@ira Did your muhs hockey friends ever show you dick tricks
",None
942113429740859397,2017-12-16,19:25:19,UTC,nickhurley79,"@JoePerticone Sounds like a high point
",None
941715298591346690,2017-12-15,17:03:18,UTC,nickhurley79,"@ShaunKing Who does!?!?
",None
941709506677018626,2017-12-15,16:40:17,UTC,nickhurley79,"@SenSanders @ShaunKing @OpinionatedLab If youre still talking about super delegates BYE!
",None
941705629311397889,2017-12-15,16:24:52,UTC,nickhurley79,"@ShaunKing Yeah and the worst offender is @SenSanders trying to get caucuses instead of primaries disenfranchises minorities. You going to criticize him?
",None
