ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
970521438057844736,2018-03-04,04:48:36,UTC,psychotronicdoc,"#TheShapeofWater #GuillermoDelToro #Oscars #BestPicture2018 #Horror  What a night!https://twitter.com/NOFSpodcast/status/970520735323222016
","['TheShapeofWater', 'GuillermoDelToro', 'Oscars', 'BestPicture2018', 'Horror']"
970509770879852544,2018-03-04,04:02:15,UTC,psychotronicdoc,"The exquisitely talented #AlexandreDesplat ! Congrats.https://twitter.com/IMDb/status/970509521926967296
",AlexandreDesplat
970485123966820352,2018-03-04,02:24:18,UTC,psychotronicdoc,"#RitaMoreno thanks for the laughs. You are fabulous! #womeninfilmhttps://twitter.com/TVGuide/status/970440891755241472
","['RitaMoreno', 'womeninfilm']"
970478571838951425,2018-03-04,01:58:16,UTC,psychotronicdoc,"#womeninfilm #WomensHistoryMonth  Eva Marie Saint is history. Style. Grace. Class. She gives us hope.https://twitter.com/VABVOX/status/970472043484499968
","['womeninfilm', 'WomensHistoryMonth']"
970474745526448130,2018-03-04,01:43:04,UTC,psychotronicdoc,"Congratulations @IcarusNetflix ! #documentaryfilmhttps://twitter.com/IcarusNetflix/status/970474543277051904
",documentaryfilm
970442824859701248,2018-03-04,23:36:14,UTC,psychotronicdoc,"@YahooNews @stevenmillan If that individual could promise no more Transformers films in my lifetime...I could possibly get on board.
",None
970442428804104192,2018-03-04,23:34:39,UTC,psychotronicdoc,"@stevenmillan Well, there is Ilsa, but she's a She-Wolf.
",None
970418021167755264,2018-03-04,21:57:40,UTC,psychotronicdoc,"Working on a project this close to your heart is harder than anyone can imagine.  It is also totally worth it.  #SupportIndieFilmpic.twitter.com/6FX0Y3JY5y
",SupportIndieFilm
970387498961702917,2018-03-04,19:56:23,UTC,psychotronicdoc,"Some editing going on this afternoon of Michael J Weldon and his wife, Mia, for The Psychotronic #documentaryfilm #SupportIndieFilmpic.twitter.com/rA9wtTJBD6
","['documentaryfilm', 'SupportIndieFilm']"
970374744796049408,2018-03-04,19:05:42,UTC,psychotronicdoc,"We're on @IMDb now, and that's pretty cool.http://www.imdb.com/title/tt8050732/?ref_=nv_sr_2
",None
970372824069214209,2018-03-04,18:58:04,UTC,psychotronicdoc,"Join us...on #indiegogo https://igg.me/at/thepsychotronic/x/17119804pic.twitter.com/vBhRBmFrIG
",indiegogo
970367839860379648,2018-03-04,18:38:16,UTC,psychotronicdoc,"Their is no better day than #NationalGrammarDay for English teachers.  There going to be so impressed by my tweet.
",NationalGrammarDay
970365362494627840,2018-03-04,18:28:25,UTC,psychotronicdoc,"Don't let the rays of the H-Man catch you off guard! #SupportIndieFilm by grabbing an official Psychotronic T on our #indiegogo at https://igg.me/at/thepsychotronic/x/17119804pic.twitter.com/RhZmwk7TYS
","['SupportIndieFilm', 'indiegogo']"
970347759843897344,2018-03-04,17:18:28,UTC,psychotronicdoc,"Anyone remember Peter Sellers in Being There? He's like that, but only, also evil.https://www.pbs.org/newshour/politics/trump-says-maybe-u-s-will-have-a-president-for-life-someday
",None
970334734915198976,2018-03-04,16:26:43,UTC,psychotronicdoc,"The weird, wild, and wonderful world of The Psychotronic Encyclopedia Of Film brought to life on #indiegogo LINK: https://igg.me/at/thepsychotronic/x/17119804
",indiegogo
970312722821844994,2018-03-04,14:59:15,UTC,psychotronicdoc,"There is nothing like the kinetic energy of a @TsuiHark movie.pic.twitter.com/8AVEfhSZdz
",None
970305615838007297,2018-03-04,14:31:00,UTC,psychotronicdoc,"Inspired by A Chinese Ghost Story, my next endeavor will be the Back pack Sun Umbrella.  #SundayMorningpic.twitter.com/pY5gkcPBBY
",SundayMorning
970077792003067904,2018-03-03,23:25:43,UTC,psychotronicdoc,"The beauty of supporting political campaigns is that eventually you get to wear the T-shirt ironically.  #irony #ThatsHowItsDonepic.twitter.com/EMMZ26Dg78
","['irony', 'ThatsHowItsDone']"
970059234648952832,2018-03-03,22:11:59,UTC,psychotronicdoc,"#Psychotronic #Flashback PsychotronicTV Issue 39. March 21, 1981. The original #Fanzine.pic.twitter.com/tgJ0g0GYuC
","['Psychotronic', 'Flashback', 'Fanzine']"
969967297657008129,2018-03-03,16:06:39,UTC,psychotronicdoc,"""l tried to drown my sorrows, but the bastards learned how to swim, and now I am overwhelmed by this decent and good feeling."" Every morning I look at my painting of her and ask, #WWFD #WomensHistoryMonthpic.twitter.com/kYZtCZPgfe
","['WWFD', 'WomensHistoryMonth']"
969925813264113666,2018-03-03,13:21:48,UTC,psychotronicdoc,"Longest Duration Of Time For That Ball Of Incandescent Gas Up In The Sky Of A Stainless Thing I Use To Make Decisions Sometimes #VagueFilmTitles
",VagueFilmTitles
969923870659620864,2018-03-03,13:14:05,UTC,psychotronicdoc,"@imcorinnemec Don't ""hedge"" your bets...that is a hedgehog right?  I'm going to feel pretty stupid if that's a prairie dog or something.
",None
969769439284613126,2018-03-02,03:00:26,UTC,psychotronicdoc,"@titMcGrit It's a total orgy of a picture.
",None
969701579795378176,2018-03-02,22:30:47,UTC,psychotronicdoc,"A doe-eyed @jaredkushner nervously darting about the bramble in search of fruits, acorns, and nuts; as warm sun rays glisten off the pelt of his Armani suit on the dew-soaked meadow.  #TheFirstSignOfSpring
",TheFirstSignOfSpring
