ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
967515094530879489,2018-02-24,21:42:28,UTC,Michael46357324,"@united @MZHemingway @guypbenson United had 2 of their planes used at weapons in 911.  So United, are you going to ban all affiliation with Airplane Manufactures?  I'm waiting for the announcement.................still waiting....
",None
967073857575165952,2018-02-23,16:29:09,UTC,Michael46357324,"@IngrahamAngle A RINO is worse than a Liberal.  At least you know where a liberal stands.
",None
963115532978348032,2018-02-12,18:20:11,UTC,Michael46357324,"@WilliamShatner Mr. Shatner, I am conservative (except for some social issues).  And I love your work.  It has helped shape my 48 years of life in one form or another.  Most definitely when I was a kid. But later in life with your recent work.  I hope you live to be 120 or older!  
",None
959528084478205953,2018-02-02,20:44:57,UTC,Michael46357324,"@Comey @krassenstein @TheVictoryTour Yet he is.
",None
958397971850129409,2018-01-30,17:54:17,UTC,Michael46357324,"@DonaldJTrumpJr @Trumpism_45 @AsebaceousAge fair*
",None
958397855642804224,2018-01-30,17:53:49,UTC,Michael46357324,"@DonaldJTrumpJr @Trumpism_45 @AsebaceousAge So Hillary rigging the primary is your idea of free and fare? Go figure, typical deranged liberal's logic.  I don't give a flying F what you believe about the general.
",None
957193467444121600,2018-01-27,10:08:01,UTC,Michael46357324,"@HillaryClinton @mekumpf @ramonaa1yahooco @ClintonYouLost @Carrollable I'd act the same.  EC is great.  Keeps the snowflakes on either left coast from deciding the fate if the entire country. We are a Republic, get ovet it.
",None
957144264676229120,2018-01-26,06:52:30,UTC,Michael46357324,"@HillaryClinton @mekumpf @ramonaa1yahooco @ClintonYouLost @Carrollable Idiot
",None
956915678061080576,2018-01-26,15:44:10,UTC,Michael46357324,"@marklevinshow @ColorMePainter @DebbieT4287 Allocated*
",None
956915537790955521,2018-01-26,15:43:37,UTC,Michael46357324,"@marklevinshow @ColorMePainter @DebbieT4287 Maybe the money for the wall will be allicated and the dreamers disappear this time?
",None
954735577512910848,2018-01-20,15:21:14,UTC,Michael46357324,"@marklevinshow His teeth do no look healthy.  Must have foot and mouth disease.
",None
954370251847712769,2018-01-19,15:09:34,UTC,Michael46357324,"@realDailyWire People need to go to jail. Release!
",None
953680006214950912,2018-01-17,17:26:46,UTC,Michael46357324,"@SecNielsen @FoxNews @ColBannister And we use the 2A when those bounderies are broken!
",None
953423051995086848,2018-01-16,00:25:43,UTC,Michael46357324,"@realDonaldTrump @seanhannity @dougaus How is that being a dictator?
",None
953115506935918592,2018-01-15,04:03:39,UTC,Michael46357324,"@marklevinshow @LevinTV @TheRightDefense Would have been nice.  But in the end, I'm sure Trump will surprise us all like he's always done.  ....nice chatting but really have to go now.
",None
953115056299847681,2018-01-15,04:01:52,UTC,Michael46357324,"@marklevinshow @LevinTV @TheRightDefense Lot's of typos here...sorry.
",None
953114895658070017,2018-01-15,04:01:13,UTC,Michael46357324,"@marklevinshow @LevinTV @TheRightDefense Ok sure...can't dispute you on those facts but my overall feeling is still the same.
",None
953114515796762624,2018-01-15,03:59:43,UTC,Michael46357324,"@marklevinshow @LevinTV @TheRightDefense Ok, don't know enough about what exactly happened to dispute you on that.    Potato...Paataato...is all I'm gonna say.
",None
953114184014704641,2018-01-15,03:58:24,UTC,Michael46357324,"@marklevinshow @LevinTV @TheRightDefense The only think I wish is of Trump gave thr judgr the finger and said too bad you can't overrule me.  But instead Trumo chose to go the proper route and follow our Constitution.  That will always win in thr long run.
",None
953113723022946304,2018-01-15,03:56:34,UTC,Michael46357324,"@marklevinshow @LevinTV @TheRightDefense I guess we are in disagreement of what ""ending"" is...  Ok fine...we are.  But I support our Constitution and by that, he ended it.  Not his fault a judge violated their oath by doing what was done.
",None
953113293727547394,2018-01-15,03:54:51,UTC,Michael46357324,"@marklevinshow @LevinTV @TheRightDefense He ended it by ""swipe of his pen"".  It will be uphelp by SCOTUS.
",None
953112627177078784,2018-01-15,03:52:12,UTC,Michael46357324,"@marklevinshow @LevinTV @TheRightDefense Do the politicians ever do what they say and say what they mean?    I do disagree with you on DACA, T did end it.  Eventually like the banning immigrants order, SCOTUS will have final say.
",None
953111761573494785,2018-01-15,03:48:46,UTC,Michael46357324,"@marklevinshow @LevinTV @TheRightDefense That's not Trump's doing.  He did end it, it's not his fault some lib judge defied an exec order.
",None
953111223209377792,2018-01-15,03:46:38,UTC,Michael46357324,"@marklevinshow @LevinTV @TheRightDefense I don't believe Trump is as stupid as you make him out to be.  You don't think he knows if Amnesty is given that he and repubs are done?
",None
953110913887887361,2018-01-15,03:45:24,UTC,Michael46357324,"@marklevinshow @LevinTV @TheRightDefense Now I don't know what you are talking about.  He did terminate the illegal executive order that is DACA.
",None
953109733866532866,2018-01-15,03:40:43,UTC,Michael46357324,"@marklevinshow @LevinTV @TheRightDefense And yet he won...
",None
953108242221088768,2018-01-15,03:34:47,UTC,Michael46357324,"@marklevinshow @LevinTV @TheRightDefense I have no idea what Trump's ultimate plan is.  Whatever it is, it's a lot more brilliant than either of us could dream up.    I just know for sure he's got a plan.  No ones becomes a multi-billionare without havd plans to win.
",None
953107670969475073,2018-01-15,03:32:31,UTC,Michael46357324,"@marklevinshow @LevinTV @TheRightDefense Ok well then, nice chatting with you.
",None
953105679987822592,2018-01-15,03:24:36,UTC,Michael46357324,"@marklevinshow @LevinTV @TheRightDefense It matters not if he vetos. If Rinos want amnesty, then I'm sure they can get enough dem votes to override; therefore exposing the hipocrisy. It's better if Trump could at least get something out of it. He seems to at least be taking it to public opinion. See how that works?
",None
953102212875472896,2018-01-15,03:10:49,UTC,Michael46357324,"@marklevinshow @LevinTV @TheRightDefense Exposing their hypocrisy.
",None
953036574656102400,2018-01-15,22:50:00,UTC,Michael46357324,"@marklevinshow @LevinTV @TheRightDefense I dont blame Trump.  He's trying ti expose the Liberals RINOs.
",None
953035560947367936,2018-01-15,22:45:58,UTC,Michael46357324,"@marklevinshow @LevinTV @TheRightDefense Agree.
",None
953033832403386368,2018-01-15,22:39:06,UTC,Michael46357324,"@marklevinshow @LevinTV @TheRightDefense 0 amnesties and the tallest wall physically possible will not be enough...
",None
953033319754723331,2018-01-15,22:37:04,UTC,Michael46357324,"@LevinTV @RealSarah103 Stuff it, don't listen then.  And while you are at it stop replying to his Tweets too.
",None
952962863420723200,2018-01-15,17:57:06,UTC,Michael46357324,"@PressSec Kid: ""I want a <Disney> Mona Magical Fish Hook!""  Doorbell rings and I and I hate to say what shows up...
",None
952960223718682624,2018-01-15,17:46:37,UTC,Michael46357324,"@Walmart @Target @DonaldJTrumpJr @GraceJelsnik @AmberAshley_Ann Yes because Walmart should be forced to hire everyone who wants to work there for as many hours as they want to work.
",None
952959540785438720,2018-01-15,17:43:54,UTC,Michael46357324,"@Walmart @Target @DonaldJTrumpJr @AmberAshley_Ann @GraceJelsnik you would eligible for medical at 30 hours a week. 30 is considered FT emoloyment by federal law. Try again.
",None
952955906785882112,2018-01-15,17:29:27,UTC,Michael46357324,"@BillOReilly Bill, I like you but you are wrong here.  One side you have freedom & capitalism, and democracy/republic.  The other side you have socialism, communism, and enslavement.  Just what do you expect POTUS to represent on the other side?
",None
952698811280916480,2018-01-14,00:27:51,UTC,Michael46357324,"@paulsperry_ It's not a mole, it's a ""prarie dog""...
",None
952631485235978242,2018-01-14,20:00:19,UTC,Michael46357324,"@WilkowMajority Will get me about 2 decent handguns too for defending myself against the like of those who want to take my money! Go 2A!
",None
952459765019328512,2018-01-14,08:37:58,UTC,Michael46357324,"@RealJamesWoods pic.twitter.com/rcXMAXTZB7
",None
947164939273191426,2017-12-30,17:58:13,UTC,Michael46357324,"@SheriffClarke @YrVirtualStaff Hillary supporterspic.twitter.com/qXcDuwB6De
",None
939553615034716160,2017-12-09,17:53:32,UTC,Michael46357324,"@RealJamesWoods You too can make money on the Internet using only your computer.  All you need to do is buy this thing called BC (ByeCoin).  Then publish my really simple guide and tout how this thing is the next currency.  Watch it go up and then cash in. Say Bye Coin to the bagholders.
",None
933403971384987649,2017-11-22,18:37:03,UTC,Michael46357324,"@AmerMilNews @davidwebbshow @KuhlmannBill Not buying you served.  Am buying PoT did.
",None
931059432863223809,2017-11-15,07:20:41,UTC,Michael46357324,"@CillizzaCNN Why didn't you report on the 2 doubles that Uncle Joe needed to get through his?  SAD!
",None
925028550729543681,2017-10-30,15:56:07,UTC,Michael46357324,"@marklevinshow @suziferg0806 Mango Messiah, that's one I haven't heard.  ...but you are not a conservative.
",None
925022800728940544,2017-10-30,15:33:16,UTC,Michael46357324,"@johncardillo @Ike_Saul So what?  He also called the Clintons good people...
",None
923758253787566082,2017-10-26,03:48:24,UTC,Michael46357324,"@RealJamesWoods Maybe his defense will be that he self-identifies as a horse?
",None
921868572355387394,2017-10-21,22:39:29,UTC,Michael46357324,"@RealJamesWoods They are not being truthful. I had issues, moved to a top tier plan, issues went away for a while. Now back again worse than ever.
",None
921865114902519808,2017-10-21,22:25:45,UTC,Michael46357324,"@KamalaHarris @mscarolynbliss Had a prarie dog issue on my property. Easy fix. Seal the holes & pump in CO2. Use M80s.  For the rest, whack-a-mole with my Ruger 10-22.
",None
921862896723914752,2017-10-21,22:16:56,UTC,Michael46357324,"@KamalaHarris @underwatergeek You couldn't make up your ignorance...
",None
921859141781590017,2017-10-21,22:02:01,UTC,Michael46357324,"@KamalaHarris @MeThePeople4 So old school.  Drones are used now.  Drugs get delivered right to purchaser's doorstep.
",None
919270124477018114,2017-10-14,18:34:11,UTC,Michael46357324,"@WilkowMajority @investcastinc Get the popcorn out!
",None
914313808004476928,2017-09-30,02:19:33,UTC,Michael46357324,"@realDonaldTrump @LUXXURY @eugenegu Stupid is as stupid tweets.  If Trump cared about his TV ratings, he would not tell it like it is.  Your liberal logic is what's a joke.
",None
911286526461362176,2017-09-22,17:50:13,UTC,Michael46357324,"@chelseahandler @DonaldJTrumpJr @Chet_Cannon @DonTrumpsComb Who is the psychologist that evaluates? Lemme guess, the DNC appoints one?
",None
909833420846489600,2017-09-18,17:36:06,UTC,Michael46357324,"@WilkowMajority If it is true (though probably not), loosing $200B to save billions per year seems a good trade-off.
",None
907862362241167360,2017-09-13,07:03:49,UTC,Michael46357324,"@DailyCaller Looks like a body superimposed on a head...kind of a wierd picture.
",None
906947702256103425,2017-09-10,18:29:17,UTC,Michael46357324,"@RealJamesWoods All the recorded evidence to use to try to get what they want from her b/c they thought she'd win. Looks + grins on others' faces are Kodak!
",None
906397825272909824,2017-09-08,06:04:16,UTC,Michael46357324,"@RealJamesWoods The rest of us deplorables were numb too.  But it wss later after many more drinks from celebrating.
",None
902922533288067072,2017-08-30,15:54:42,UTC,Michael46357324,"@davidwebbshow Already done...
",None
902920745101156352,2017-08-30,15:47:35,UTC,Michael46357324,"@davidwebbshow I (or someone else) should create a patition on http://whitehouse.gov for this.  Bet it gets plenty of votes.
",None
898580029877010434,2017-08-18,16:19:08,UTC,Michael46357324,"@MittRomney (3) Since Robert Bryd was a KKK member and was a mentor for many on the left, the left must be KKK supporters.
",None
898579938453803008,2017-08-18,16:18:46,UTC,Michael46357324,"@MittRomney (2) Obama invited a group of BLM members to the White House, and BLM members killed cops, then Obama supports cop killers.
",None
898579855935066112,2017-08-18,16:18:27,UTC,Michael46357324,"@MittRomney If you use the same logic...  (1) If there is one known terrorist among a group of Muslims, all are terrorists.
",None
898306146687008768,2017-08-17,22:10:49,UTC,Michael46357324,"@jamesvicktory Go back to smoking MJ.  Only thing you may be good at.
",None
897346000288751617,2017-08-14,06:35:33,UTC,Michael46357324,"@RealJamesWoods @jamesvicktory And you will still be in your mom's basement of the wellfare line.
",None
892597968506822656,2017-08-01,04:08:34,UTC,Michael46357324,"@POTUS @seanhannity @FoxNews @AdamsonKathleen Being a lib snowflake is not a life skill, period.
",None
892215080120614912,2017-07-31,02:47:06,UTC,Michael46357324,"@RealJamesWoods @mhosinskiLLP Run an anti-virus check on your phone.  Be sure it checks for all the Liberal disorders.
",None
892214311338348544,2017-07-31,02:44:03,UTC,Michael46357324,"@RealJamesWoods Yep, he caught her PLD (Progressive Liberal Disease) for sure!
",None
892213989614260232,2017-07-31,02:42:46,UTC,Michael46357324,"@NFL @YahooSchwab @WilkowMajority @CigarCowboy @swamp_fox81 You may want to learn how to use ""worst"" with correct grammer before expecting anyone to think you are anything other than the PL you are.
",None
892213040741064704,2017-07-31,02:39:00,UTC,Michael46357324,"@NFL @YahooSchwab @WilkowMajority @CigarCowboy @swamp_fox81 By even stating you can name players who've done far worse, is proof enough it's disrespectful to me.
",None
891876433257279490,2017-07-30,04:21:26,UTC,Michael46357324,"@RealJamesWoods @PCIsAVirus @RedWhtBlu_USA LMAO...
",None
891468988135362562,2017-07-29,01:22:24,UTC,Michael46357324,"@RealJamesWoods Elections have consequences. 
",None
891468582026043392,2017-07-29,01:20:47,UTC,Michael46357324,"@ManMountain78R2 @RealJamesWoods @collins11_m Elections have consequences.  Who said that?  
",None
891154033028681728,2017-07-28,04:30:52,UTC,Michael46357324,"@RealJamesWoods Coca Cola and Covfefe!
",None
