ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
971150042940739584,2018-03-06,22:26:27,UTC,Redfifer,"Happy anniversary Dude!pic.twitter.com/QH9npBUoyW
",None
971124866618335232,2018-03-06,20:46:25,UTC,Redfifer,"@SunnyWonnyhttps://twitter.com/ABC/status/971123713906237441
",None
970681957230133249,2018-03-05,15:26:27,UTC,Redfifer,"@SunnyWonny to your point about road rage....jeezhttps://twitter.com/gfherald/status/970681699976843264
",None
969770747462934529,2018-03-02,03:05:38,UTC,Redfifer,"#wheatpic.twitter.com/3hTTG5rPxJ
",wheat
969722562673594368,2018-03-02,23:54:10,UTC,Redfifer,"The full moon predicts the turn... better than most technicals.  IMOhttps://twitter.com/TopThird/status/969646837777956866
",None
969645341715787776,2018-03-02,18:47:19,UTC,Redfifer,"@SunnyWonny you will enjoy thishttps://twitter.com/RudyHavenstein/status/961378326462910464
",None
969304368515203072,2018-03-01,20:12:24,UTC,Redfifer,"@Six1FourCapital Red says:  Im happy to sell it in your account...
",None
969304003799531520,2018-03-01,20:10:57,UTC,Redfifer,"You shameless pathetic war shills.  We are supposed to believe this?  Conveniently links two target countries together.  So convenient.https://twitter.com/CNN/status/969188779532660736
",None
969226739040731143,2018-03-01,15:03:56,UTC,Redfifer,"truthhttps://twitter.com/HarvestTrader/status/968881085248606208
",None
968576433613242368,2018-02-27,19:59:51,UTC,Redfifer,"@SunnyWonny you'd probably like him as a replacement for Otto...https://twitter.com/gfherald/status/968557671099109376
",None
968518815138000897,2018-02-27,16:10:54,UTC,Redfifer,"@SunnyWonnyhttps://twitter.com/evilbmcats/status/968518588591198209
",None
967834694418157570,2018-02-25,18:52:27,UTC,Redfifer,"That's ""power take off"" to all you non rural typeshttps://twitter.com/Redfifer/status/967834162454556674
",None
967834162454556674,2018-02-25,18:50:20,UTC,Redfifer,"She is using the PTOpic.twitter.com/ZzSyT4V8Am
",None
967613379392270336,2018-02-24,04:13:01,UTC,Redfifer,"Bad women are more fun anyway.https://twitter.com/bukowski_quote/status/967609757740797952
",None
967103590727692288,2018-02-23,18:27:18,UTC,Redfifer,"truthhttps://twitter.com/DailyBukowskiQ/status/967101443147751427
",None
966730576303542272,2018-02-22,17:45:05,UTC,Redfifer,"@SunnyWonny undefeated in sports it invents!https://twitter.com/DPRK_News/status/966727713502281729
",None
966709745687015424,2018-02-22,16:22:18,UTC,Redfifer,"@SunnyWonnyhttps://twitter.com/TheOnion/status/966709444917780481
",None
966070923928350720,2018-02-20,22:03:51,UTC,Redfifer,"@SunnyWonny jerks
",None
966053993767084032,2018-02-20,20:56:35,UTC,Redfifer,"@SunnyWonny no birthday presents from these ingrates i see...
",None
965688195370254336,2018-02-19,20:43:02,UTC,Redfifer,"@SunnyWonny should i fill my bowl with kimchi/ its not likely that she'll kiss me/ or perhaps she will its hard to say/ depends how much garlic she already had today
",None
965685137177395200,2018-02-19,20:30:52,UTC,Redfifer,"@SunnyWonny Are you Irish poet drunk?  Better rhyme that most of mine.
",None
964528330337796096,2018-02-16,15:54:08,UTC,Redfifer,"@SunnyWonny ninja
",None
964166985255915520,2018-02-15,15:58:17,UTC,Redfifer,"@markmct1 @PrisonPlanet @TraderTG That decribes most guys in the grain biz
",None
963996936616456192,2018-02-14,04:42:34,UTC,Redfifer,"@AustinDamiani @MatthewMorog @MaryCKenn Mary.  Take it easy.  I just don't want to be bullish corn that's all.  I honestly hope you are right
",None
963994556575440896,2018-02-14,04:33:07,UTC,Redfifer,"@AustinDamiani @MaryCKenn Mary in know you are a wheat person   I'm just saying this corn strength is bullshiit.  That's all.  Peace.
",None
963994240840814592,2018-02-14,04:31:51,UTC,Redfifer,"@AustinDamiani @MaryCKenn @MatthewMorog Dude.  These people want to be bullish corn on port logistics.  Grow up.  The market tells the story.  A 20 cents inverse from March to April.  Not a demand story...
",None
963991746391740418,2018-02-14,04:21:57,UTC,Redfifer,"@AustinDamiani @MaryCKenn Mary.  This program is nothing special.  Don't fall back n love with corn.  It's a logistics hickup and nothing more
",None
963989206237417473,2018-02-14,04:11:51,UTC,Redfifer,"@AustinDamiani @MaryCKenn It's still routine demand.  Pnw overbooked beans.  Beans  are jamming port.  March/April corn inverse in basis is 20 cents.  Don't fall in love with corn.
",None
963981749784141825,2018-02-14,03:42:13,UTC,Redfifer,"@MaryCKenn @AustinDamiani It's port logistics.  Too many beans not enough corn...
",None
963976712827613187,2018-02-14,03:22:12,UTC,Redfifer,"@RedGreen632 @elisa_BIFF @TraderTGhttps://twitter.com/Redfifer/status/963976302918238208
",None
963976302918238208,2018-02-14,03:20:35,UTC,Redfifer,"Dear Canada:. Fuck you.https://twitter.com/SunnyWonny/status/963972039139844096
",None
963822558805049344,2018-02-14,17:09:39,UTC,Redfifer,"@SunnyWonny this might be the most accurate one
",None
963819462355857408,2018-02-14,16:57:21,UTC,Redfifer,"@SunnyWonny hes looking very regal for such an old man
",None
963800553795993601,2018-02-14,15:42:13,UTC,Redfifer,"@SunnyWonny Your people.https://twitter.com/CrazyGloble/status/963429688910721024
",None
963787654029430784,2018-02-14,14:50:57,UTC,Redfifer,"@SunnyWonny Happy Valentimes day!https://twitter.com/nihilist_arbys/status/963783485470265346
",None
963168517506793472,2018-02-12,21:50:44,UTC,Redfifer,"@SunnyWonny everone's doing ithttps://twitter.com/jesspryles/status/963164434180001794
",None
963135671178162176,2018-02-12,19:40:12,UTC,Redfifer,"@SunnyWonny speaking of spelling errors...https://twitter.com/_youhadonejob1/status/962815703266013190
",None
963091213829079040,2018-02-12,16:43:33,UTC,Redfifer,"@SunnyWonnyhttps://twitter.com/senatorshoshana/status/963086458058887169
",None
963068075028373504,2018-02-12,15:11:36,UTC,Redfifer,"@SunnyWonny yes falling off of chairs being a great example
",None
963067504330399744,2018-02-12,15:09:20,UTC,Redfifer,"@SunnyWonnyhttps://twitter.com/Number10cat/status/962988430694154240
",None
962093123454189570,2018-02-09,22:37:30,UTC,Redfifer,"@elisa_BIFF @SunnyWonny you forgot to mention the cat hair on your coat as we raced to the vet to pick up your cat's BP medicine...but that is more of an everyday cat lady thinghttps://twitter.com/SunnyWonny/status/961967524433793024
",None
962072305370218497,2018-02-09,21:14:46,UTC,Redfifer,"@SunnyWonny kautt says don't worry i should be like this by next week
",None
962066604988055558,2018-02-09,20:52:07,UTC,Redfifer,"@SunnyWonny look what you have to look forward tohttps://twitter.com/FunnyVines/status/962064501725044736
",None
961991058589536256,2018-02-09,15:51:55,UTC,Redfifer,"@SunnyWonny Maaaaawagehttps://twitter.com/Agronomyjay/status/961937904409997312
",None
960988583287914496,2018-02-06,21:28:27,UTC,Redfifer,"@TraderTG Happy smootville
",None
960981933395095552,2018-02-06,21:02:01,UTC,Redfifer,"@SunnyWonny Good thing you never married that dude from Willmar.  Look what he is up to now.  On second thought you are with me...https://twitter.com/BestPixMN/status/960893351171121152
",None
960900643618631680,2018-02-06,15:39:00,UTC,Redfifer,"no one is immune to the wry attack by the @DPRK_Newshttps://twitter.com/DPRK_News/status/960898293923549184
",None
960900402639073281,2018-02-06,15:38:03,UTC,Redfifer,"@SunnyWonny also Pepsi sucks.
",None
960352973409972225,2018-02-04,03:22:46,UTC,Redfifer,"Just remember Eagles fans.  The mn national guard is deployed downtown.  Those boys from Renville County mn don't fuck around.
",None
960219371405807616,2018-02-04,18:31:52,UTC,Redfifer,"@SunnyWonnyhttps://twitter.com/DPRK_News/status/959893789119860737
",None
959499396957302785,2018-02-02,18:50:57,UTC,Redfifer,"@AustinDamiani I used to always say only 5 people cared about spring wheat.  But I'll go with 7.
",None
959166521074266113,2018-02-01,20:48:13,UTC,Redfifer,"@SunnyWonny shrimpshttps://twitter.com/NPR/status/959166213896077312
",None
959146002081988608,2018-02-01,19:26:41,UTC,Redfifer,"@SunnyWonny little joey minus the chapstickhttps://twitter.com/RudyHavenstein/status/958585111242518529
",None
958750594096709633,2018-01-31,17:15:29,UTC,Redfifer,"@SunnyWonnyhttps://twitter.com/iowahawkblog/status/958725053654298629
",None
958399285673914368,2018-01-30,17:59:30,UTC,Redfifer,"@SunnyWonny Stewart! https://twitter.com/Asgrow_DEKALB/status/958339067623759873
",None
958367662916059142,2018-01-30,15:53:51,UTC,Redfifer,"@Six1FourCapital This is the trading equivalent of remember the Alamo....as in remember everyone died...
",None
956564826704183296,2018-01-25,16:30:01,UTC,Redfifer,"@SunnyWonny Lolz
",None
956559638643687424,2018-01-25,16:09:24,UTC,Redfifer,"@SunnyWonny you'll have to ply me with booze
",None
956558491568586753,2018-01-25,16:04:51,UTC,Redfifer,"@SunnyWonny ummm no...
",None
956555861513523200,2018-01-25,15:54:23,UTC,Redfifer,"@SunnyWonny Epichttps://twitter.com/DPRK_News/status/956555608332763136
",None
956544648020815872,2018-01-25,15:09:50,UTC,Redfifer,"@elisa_BIFFhttps://twitter.com/HughRategy782/status/956544517309640704
",None
956543862134120448,2018-01-25,15:06:43,UTC,Redfifer,"@SunnyWonnyhttps://twitter.com/mattthomas/status/956316878619725824
",None
956295887277314048,2018-01-24,22:41:21,UTC,Redfifer,"@SunnyWonnyhttps://twitter.com/Reuters/status/956295334300409864
",None
955917574176350208,2018-01-23,21:38:04,UTC,Redfifer,"@elisa_BIFF Good training for the working world...
",None
955874373482594305,2018-01-23,18:46:24,UTC,Redfifer,"We have always been at war with Eastasia...https://twitter.com/catoletters/status/955856834602004480
",None
955271091928354817,2018-01-21,02:49:11,UTC,Redfifer,"My 16 year old son is now officially a real Vikings fan.  He's paid his dues.https://twitter.com/SunnyWonny/status/955267130190172162
",None
954927583216455685,2018-01-20,04:04:12,UTC,Redfifer,"There is no better bar on Earth than Jimmy's in nordeast mpls.  The infamous big Frank in the foreground.  A long way off in the background is my woman @SunnyWonny talking to Stan.pic.twitter.com/KpjsoGjbXt
",None
954902880351334400,2018-01-20,02:26:02,UTC,Redfifer,"As I report for every women's March.  No protesters in Buffalo Lake, mn.https://twitter.com/FeistyCovfefe/status/954846427141697536
",None
