ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
960347576984920065,2018-02-04,03:01:19,UTC,Rednellar,"And that was pass interference
",None
960347078504402947,2018-02-04,02:59:20,UTC,Rednellar,"Three steps with control of the ball. Ball crosses goal line and touchdown. NFL is a complete joke if this is overturned.
",None
960318398126272521,2018-02-04,01:05:22,UTC,Rednellar,"That was a great play design on the Foles catch for TD
",None
947631789555830784,2017-12-31,00:53:19,UTC,Rednellar,"We just cheered for that Bengals TD as if the Browns had won. #ravenslose
",ravenslose
947573684495093766,2017-12-31,21:02:26,UTC,Rednellar,"That Corey Coleman drop was the epitome of the Browns season.
",None
924414122661416960,2017-10-28,23:14:36,UTC,Rednellar,"OSU defensive line was huge today
",None
924404492182982658,2017-10-28,22:36:20,UTC,Rednellar,"Finally JT hits a long pass!
",None
924367360076800000,2017-10-28,20:08:47,UTC,Rednellar,"Buckeyes offensive strategy - false start every 1st down #PSUvsOSU
",PSUvsOSU
819747068432551937,2017-01-12,03:25:05,UTC,Rednellar,"Our daughter just asked us, ""What is a fax?"" And laughed hysterically when we explained it. Now I'm feeling old all of a sudden.
",None
815398420991066112,2016-12-31,03:25:07,UTC,Rednellar,"Love seeing the hate poured on the Buckeyes. Youngest team in the Power 5 conferences. Not expected to be here. #reloading
",reloading
802608001425162240,2016-11-26,20:20:33,UTC,Rednellar,"Brutal block on that play!
",None
797211684351791104,2016-11-11,22:57:31,UTC,Rednellar,"It's a good afternoon listening to @nsmithcountry atpic.twitter.com/JC6ux4uqA0  at Crazytown
",None
776925470084464640,2016-09-16,23:27:21,UTC,Rednellar,"@OOHSathletics could you please consider turn down the volume for FB public address system? They can probably here the game call in Sunbury.
",None
718872344962416640,2016-04-09,18:44:57,UTC,Rednellar,"Love this article - couldn't agree more with @terryplutohttps://twitter.com/terrypluto/status/718796551154311169
",None
706309678716887040,2016-03-05,02:45:24,UTC,Rednellar,"A great time in support of a great organization supporting our veterans. #neopatgala16
",neopatgala16
