ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
971260042719703047,2018-03-06,05:43:33,UTC,TheSwenty,"@HawaiianAir @BoeingAirplanes HA15 and HA16 need that plane!!!
",None
970481051951808512,2018-03-04,02:08:08,UTC,TheSwenty,"Do you remember when you joined Twitter? I do! #MyTwitterAnniversarypic.twitter.com/PqfUnCA2MQ
",MyTwitterAnniversary
970438730572972032,2018-03-04,23:19:57,UTC,TheSwenty,"#PerryIsStillGoodhttps://twitter.com/daisybeach23/status/970438614038425603
",PerryIsStillGood
970411275254603776,2018-03-04,21:30:52,UTC,TheSwenty,"@DucksTalkShow Was looking for it!!!
",None
970396508439769088,2018-03-04,20:32:11,UTC,TheSwenty,"HAHAHAHAHAHAHAhttps://twitter.com/causeitsthecup/status/970370559069470720
",None
966419286121050112,2018-02-21,21:08:07,UTC,TheSwenty,"@icemancometh Carlyle logic......
",None
966183622247141376,2018-02-20,05:31:41,UTC,TheSwenty,"@kyleshohara Yes it would.  Cant wait.
",None
966170546386817024,2018-02-20,04:39:43,UTC,TheSwenty,"@kyleshohara Can we hope he and Steel form up as a new set of twins?
",None
965825172103094273,2018-02-19,05:47:19,UTC,TheSwenty,"@DucksFanZone @LoganH1421 And hes ours!!!!!
",None
965689006951301121,2018-02-19,20:46:15,UTC,TheSwenty,"@iheartmindy No no no....The Hollywood elite, like @missmayim, told me its the guns fault.  Since she has soooo much experience with the 2nd Amendment she must be right.....#sarcasm.
",sarcasm
965315052436733952,2018-02-18,20:00:17,UTC,TheSwenty,"@DucksTalkShow Big Ritch is playing pretty well lately.
",None
964971824730685440,2018-02-17,21:16:25,UTC,TheSwenty,"Hey RC!  This is why dump and chase is dead!  Thank Jesus for Kase!!!https://twitter.com/icemancometh/status/964970845776039941
",None
964739847238766593,2018-02-16,05:54:38,UTC,TheSwenty,"@DucksFam93 Rather keep steel the silvy. But that trade is garbage.
",None
964308915335786496,2018-02-15,01:22:16,UTC,TheSwenty,"@icemancometh Some?   Hahahahha
",None
963622187843313665,2018-02-13,03:53:27,UTC,TheSwenty,"@ducksworldwide I just hope we win a game!  Playoffs?!?
",None
962440361984454656,2018-02-10,21:37:18,UTC,TheSwenty,"@realDonaldTrump @ShafPatel Majority of Americans didnt vote.  Stop trying to sell the world on what 25% of eligible voters did
",None
962438665296216065,2018-02-10,21:30:33,UTC,TheSwenty,"@DucksFam93 @ThePuckNetwork @DucksNPucks Looked like he was moving pretty good.  Maybe not this year, still a good sign for him.
",None
959253885096419329,2018-02-01,02:35:22,UTC,TheSwenty,"KESLER YOU BEAUTIFUL BASTARD!!!
",None
958527366115946497,2018-01-30,02:28:27,UTC,TheSwenty,"@DucksNPucks Looked shoulder to shoulder to me
",None
958494925808590848,2018-01-30,00:19:32,UTC,TheSwenty,"@ATT, since @ATTCares doesnt maybe you will help. Have 3 bad remotes for U-verse (one replacement should have been sent a week ago). To date, nothing. Would be nice to change the channel.
",None
958446440270856192,2018-01-30,21:06:53,UTC,TheSwenty,"@ATT Since @ATTCares doesn't care, maybe you can help.  I have 3 bad Uverse remotes and even though I was told one was on the way over a week ago, it never got to me.  Think you can make this happen?
",None
958159693045669888,2018-01-29,02:07:27,UTC,TheSwenty,"@ATTCares can you please answer my DM?!?!?  FFS Ive been waiting on a simple U-verse remote for over a week. Now another one is acting up. Might as well replace all 3
",None
954568633623064577,2018-01-19,04:17:51,UTC,TheSwenty,"@DucksTalkShow Perry will probably get it since he is a Duck
",None
954548353722761216,2018-01-19,02:57:16,UTC,TheSwenty,"@BringHockeyBack 4
",None
954546872076533761,2018-01-19,02:51:23,UTC,TheSwenty,"@LAKings @theroyalhalf Stupid.  Should have been suspended
",None
954485526513385473,2018-01-19,22:47:37,UTC,TheSwenty,"@NHLPlayerSafety AND COGS GOT 2 GAMES?!?!?!?  YOU HAVE GOT TO BE FUCKING KIDDING!!!!!!
",None
953854934851633152,2018-01-17,05:01:52,UTC,TheSwenty,"@DucksFanZone pic.twitter.com/XlqJbqiAZN
",None
953032731063042048,2018-01-15,22:34:44,UTC,TheSwenty,"@DucksNPucks Games like this (that showcase how slow and archaic our style is) really piss me off.
",None
952964500256256000,2018-01-15,18:03:36,UTC,TheSwenty,"Happy Birthday @philhulett!!!
",None
952687536811290626,2018-01-14,23:43:03,UTC,TheSwenty,"@REMEsquaddie1 @WhitneyChirps @DraftTulsi He
",None
952452550824898560,2018-01-14,08:09:18,UTC,TheSwenty,"@DucksTalkShow pic.twitter.com/nMNl7XBQah
",None
952385837517254656,2018-01-13,03:44:12,UTC,TheSwenty,"@DucksNPucks Boll....pic.twitter.com/QymO15Ulu7
",None
951931685439811584,2018-01-12,21:39:34,UTC,TheSwenty,"@AnaheimCalling pic.twitter.com/66pXyEM3dt
",None
950771961470238720,2018-01-09,16:51:14,UTC,TheSwenty,"@DJ_Shawn_Parr @elainadsmith Happy Birthday to San Diegos favorite Mexican Leprechaun!!!!!   Miss you on The DSC!
",None
946106577487982592,2017-12-27,19:52:40,UTC,TheSwenty,"@AnaheimCalling pic.twitter.com/IPY6ycGJRO
",None
946105559824056320,2017-12-27,19:48:37,UTC,TheSwenty,"@icemancometh pic.twitter.com/mNwFZqT50j
",None
944796522461372416,2017-12-23,05:06:59,UTC,TheSwenty,"@icemancometh Pucker factor in the NHL just went to 11.
",None
944654365964431360,2017-12-23,19:42:06,UTC,TheSwenty,"@Duckscolorman 5 games
",None
944278318962024448,2017-12-22,18:47:49,UTC,TheSwenty,"@MSNBC Sharp??!?!?  Bhahahahahahahaha
",None
944036229615513601,2017-12-21,02:45:51,UTC,TheSwenty,"@AnaheimCalling At least we got a point....
",None
944016171736559616,2017-12-21,01:26:08,UTC,TheSwenty,"@AnaheimCalling pic.twitter.com/VCvq9vUd7a
",None
944006247665123328,2017-12-21,00:46:42,UTC,TheSwenty,"@AnaheimCalling Hahahahahahahahahahaha.
",None
944000366969987072,2017-12-21,00:23:20,UTC,TheSwenty,"@DucksTalkShow He is so damn sexy with the puck.
",None
943267951913897984,2017-12-19,23:52:59,UTC,TheSwenty,"@DucksTalkShow Because Carlyle....
",None
942919406828494848,2017-12-18,00:47:59,UTC,TheSwenty,"@DucksTalkShow Hahahahahahahaha.  His fan club is still being loud!!!
",None
942919189714452481,2017-12-18,00:47:08,UTC,TheSwenty,"@AnaheimCalling Roy can club is rattling our pitchforks.  GMBM move somebody else.  Roy deserves to stay in Anaheim.
",None
942917209080213504,2017-12-18,00:39:15,UTC,TheSwenty,"@DucksTalkShow Those people are stupid...hahahaha
",None
942917024887463936,2017-12-18,00:38:31,UTC,TheSwenty,"@DucksTalkShow Can not wait for Kes to get back....
",None
942854901016674304,2017-12-18,20:31:40,UTC,TheSwenty,"#DucksFirstGoal Roy
",DucksFirstGoal
942793527657873409,2017-12-18,16:27:47,UTC,TheSwenty,"@GoPackGo223 @PackersFans_ pic.twitter.com/zL6wxM3nZb
",None
941392334129848320,2017-12-14,19:39:57,UTC,TheSwenty,"@Matt_Beleskey @AnaheimDucks @WildWing_93 Not at 3.8....south of 2 wouldn't be bad..
",None
940462401421373440,2017-12-11,06:04:44,UTC,TheSwenty,"@AnaheimCalling pic.twitter.com/yfWuOB5YLy
",None
939970782666547201,2017-12-10,21:31:13,UTC,TheSwenty,"@FriedgeHNIC @DucksNPucks pic.twitter.com/4eVDCF271G
",None
939641996225867777,2017-12-09,23:44:44,UTC,TheSwenty,"@icemancometh Wow, finally a true top 6
",None
939336256718123008,2017-12-08,03:29:50,UTC,TheSwenty,"@AnaheimCalling Hahahahahahahahaha.  So, GMBM even THINKS of sending him down the pitch forks are ready....
",None
939335401864495104,2017-12-08,03:26:26,UTC,TheSwenty,"@kyleshohara Kevin Roy might have a future at hockying.
",None
939335264874278912,2017-12-08,03:25:53,UTC,TheSwenty,"@AnaheimCalling @DucksTalkShow pic.twitter.com/hCSGiGAHlg
",None
939327962167484416,2017-12-08,02:56:52,UTC,TheSwenty,"@DucksTalkShow West didnt put us to the sword while they had the chance.
",None
938487382759768066,2017-12-06,19:16:42,UTC,TheSwenty,"@HondaCenter @Ryan_Kesler @Duckscolorman pic.twitter.com/bJCcoFomfr
",None
938254164789837825,2017-12-05,03:49:59,UTC,TheSwenty,"@DucksTalkShow pic.twitter.com/LoUFMolX1p
",None
938253731111432192,2017-12-05,03:48:16,UTC,TheSwenty,"@DucksTalkShow Dilly Dilly
",None
938245573739651073,2017-12-05,03:15:51,UTC,TheSwenty,"@DucksTalkShow DILLY DILLY
",None
937843723349630976,2017-12-04,00:39:02,UTC,TheSwenty,"@AnaheimCalling Every damn day.
",None
937842182991384576,2017-12-04,00:32:55,UTC,TheSwenty,"@icemancometh Geez!!  We cant have nice things!!!
",None
937157255576748033,2017-12-02,03:11:15,UTC,TheSwenty,"CARBON!!!
",None
936736370839625728,2017-12-01,23:18:49,UTC,TheSwenty,"@AnaheimCalling Gifts are fine....
",None
936736170922217472,2017-12-01,23:18:01,UTC,TheSwenty,"@icemancometh If we win, who cares.  Its about points. Torts can do whatever he wants. At this point, well take charity.....
",None
936692511589916672,2017-12-01,20:24:32,UTC,TheSwenty,"@AnaheimDucks @steveolivas That's a guy that's easy to cheer for....AND he looks ready to annoy the NHL again!!!!
",None
936424895042355200,2017-11-30,02:41:07,UTC,TheSwenty,"@keslerinoc Burn down Honda
",None
936419044894244864,2017-11-30,02:17:52,UTC,TheSwenty,"@Patty_Maroon @bfretyy Be the same ones who want Andersen back....
",None
936368626940100608,2017-11-30,22:57:32,UTC,TheSwenty,"@AnaheimCalling Reading this, hard not to hope we get everybody back with 2-3 weeks. If we are within say 10 points, Pacific Division is in for a rude awaking...
",None
