ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
952328969331785728,2018-01-13,23:58:14,UTC,zodclarkw2013,"@USATODAY She should fit in with the rest of them
",None
952226601135046657,2018-01-13,17:11:27,UTC,zodclarkw2013,"@realDonaldTrump We should only take the best from other countries not people that can't contribute
",None
952226405072302080,2018-01-13,17:10:41,UTC,zodclarkw2013,"@realDonaldTrump I personally don't want people from s******* countries in our country either we need people that contribute to make America great again
",None
951987729574739968,2018-01-12,01:22:16,UTC,zodclarkw2013,"@foxandfriends Let her fork out some of her money to make up the cake
",None
944352932308250624,2017-12-22,23:44:18,UTC,zodclarkw2013,"@AmiriKing And now iam on my way to jail
",None
941845871263596544,2017-12-15,01:42:09,UTC,zodclarkw2013,"@realDonaldTrump @LaraLeaTrump @EricTrump It's nice to see a real family in the White House Merry Christmas
",None
934858520603779072,2017-11-26,18:56:54,UTC,zodclarkw2013,"#FakeBatmanFacts @realDonaldTrump  wants to be BatMan
",FakeBatmanFacts
927788799186190336,2017-11-06,06:44:21,UTC,zodclarkw2013,"#GunControl New gun laws will not & do not work bc criminals don't follow the law
",GunControl
926738013689802752,2017-11-04,09:08:55,UTC,zodclarkw2013,"#ItMakesMeHappypic.twitter.com/1SBTveGEHf
",ItMakesMeHappy
924525990344245254,2017-10-28,06:39:07,UTC,zodclarkw2013,"@ilaniresort poor Casino management makes for a long life to get a beer figure it out fix it
",None
924522591980679169,2017-10-28,06:25:37,UTC,zodclarkw2013,"@ilaniresort not a fan of the long lines for beer don't think I'll be back for future shows
",None
919715619758424064,2017-10-15,00:04:25,UTC,zodclarkw2013,"#Broncospic.twitter.com/GXF6Xm0CU3
",Broncos
915326308984356864,2017-10-03,21:22:52,UTC,zodclarkw2013,"@washingtonpost No matter what laws you make you can't stop crazy.
",None
907996239148355584,2017-09-13,15:55:47,UTC,zodclarkw2013,"@TheView @ABC She has no clue
",None
859077570968510464,2017-05-01,16:10:28,UTC,zodclarkw2013,"#roadtrip Completepic.twitter.com/7pWcqRfxf6
",roadtrip
858560683876597760,2017-04-29,05:56:32,UTC,zodclarkw2013,"#coldhardcashpic.twitter.com/nqQMe0Pb42
",coldhardcash
858560503144005633,2017-04-29,05:55:49,UTC,zodclarkw2013,"#roadtrippic.twitter.com/nIR4DdGdSN
",roadtrip
857831910147596291,2017-04-27,05:40:39,UTC,zodclarkw2013,"Frist stop #roadtrippic.twitter.com/l7PzPL4dfE
",roadtrip
850957217943609348,2017-04-08,06:23:05,UTC,zodclarkw2013,"@Wendys @carterjwm Good luck hope he gets his nuggets
",None
850903820116738048,2017-04-08,02:50:54,UTC,zodclarkw2013,"@USCCA @scrowder I like the@ HI-POINT that i own. Not cool to rag on a #AMERICAN MADE products
",AMERICAN
840688258526789632,2017-03-11,22:17:54,UTC,zodclarkw2013,"#oilcanhenry Dont like the in car service
",oilcanhenry
836814854904233984,2017-02-28,05:46:23,UTC,zodclarkw2013,"@TomiLahren . How does a goverment work to better the country when the two partys cant even have a simple meeting
",None
836419973408907265,2017-02-27,03:37:16,UTC,zodclarkw2013,"@realDonaldTrump #POTUS the reason I started @tweeter Don't stop tweeting
",POTUS
835569573051060224,2017-02-25,19:18:05,UTC,zodclarkw2013,"@realDonaldTrump why is it that we never hear about the ppl that support POTUS only the riots of ppl that dont
",None
827010180126699521,2017-02-01,04:26:06,UTC,zodclarkw2013,"#UCBerkeley they are rioting the very thing they have become
",UCBerkeley
824087026416783361,2017-01-24,02:50:32,UTC,zodclarkw2013,"@USCCA @BRASSLOAD why do you not carry on a MB?
",None
823697826295074816,2017-01-23,01:04:00,UTC,zodclarkw2013,"@POTUS no thank you for running and winning I look forward to all the good things you're about to do
",None
823695629113143296,2017-01-23,00:55:16,UTC,zodclarkw2013,"@WashougalGov after two weeks the trash is finally picked up yeah
",None
823440159400046594,2017-01-23,08:00:07,UTC,zodclarkw2013,"@zodclarkw2013 #dumbass
",dumbass
823416611780509696,2017-01-22,06:26:33,UTC,zodclarkw2013,"#ar15 #gunspic.twitter.com/HpQHX6Y5KT
","['ar15', 'guns']"
823416118282829826,2017-01-22,06:24:35,UTC,zodclarkw2013,"#gunspic.twitter.com/R772X1KYWM
",guns
823266149647269888,2017-01-22,20:28:40,UTC,zodclarkw2013,"#GBvsATL every time the announcer say he's never missed a kick and then he misses it
",GBvsATL
822973375509188608,2017-01-21,01:05:17,UTC,zodclarkw2013,"@TomiLahren they are all snowflakes
",None
822699743159545856,2017-01-20,06:57:58,UTC,zodclarkw2013,"@fox12oregon five people's all that was arrested they must have been the slowest of all the people out there
",None
822678564512202752,2017-01-20,05:33:49,UTC,zodclarkw2013,"@realDonaldTrump please don't leave Twitter mr. President you're the whole reason I joined Twitter
",None
