ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
966688532491317248,2018-02-22,14:58:01,UTC,150890Maris,"For all of us who live DE # USA and their children in schools  For my children, for yours, for others, for our families. #NeverAgain #StudentsStandUp #StudentsDemandAction #shootings #helphttps://twitter.com/gianmarcomusica/status/966146264550203392
","['', 'NeverAgain', 'StudentsStandUp', 'StudentsDemandAction', 'shootings', 'help']"
966687947130068992,2018-02-22,14:55:41,UTC,150890Maris,"@TheEllenShow @Oprah #help #StudentsStandUp #shootingshttps://twitter.com/SaysHummingbird/status/966636167524438016
","['help', 'StudentsStandUp', 'shootings']"
966687282303590401,2018-02-22,14:53:02,UTC,150890Maris,"Why is not there a #national #vote to say if the purchase of #weapons should be allowed?  #Repost #shooting #shootingflorida #TiroteoFlorida #FloridaSchoolShooting #FloridaShooting #GunReformNow #GunControlNow #ParklandSchoolShooting #NeverAgain @TheEllenShow #help @Oprah
","['national', 'vote', 'weapons', 'Repost', 'shooting', 'shootingflorida', 'TiroteoFlorida', 'FloridaSchoolShooting', 'FloridaShooting', 'GunReformNow', 'GunControlNow', 'ParklandSchoolShooting', 'NeverAgain', 'help']"
966685665273569280,2018-02-22,14:46:37,UTC,150890Maris,"#NeverAgain #StudentsStandUp #StudentsDemandActionhttps://twitter.com/CNN/status/964597320301121536
","['NeverAgain', 'StudentsStandUp', 'StudentsDemandAction']"
966684779382038528,2018-02-22,14:43:06,UTC,150890Maris,"@TheEllenShow #shootings @Oprah #NeverAgain #StudentsStandUp #StudentsDemandAction @ConanOBrien #shootingshttps://twitter.com/CNN/status/966638057217757184
","['shootings', 'NeverAgain', 'StudentsStandUp', 'StudentsDemandAction', 'shootings']"
966684076450172928,2018-02-22,14:40:18,UTC,150890Maris,"@TheEllenShow #NeverAgain #StudentsStandUp #shootingshttps://twitter.com/CNN/status/966663897464868865
","['NeverAgain', 'StudentsStandUp', 'shootings']"
966024064073715713,2018-02-20,18:57:39,UTC,150890Maris,"@TheEllenShowhttps://twitter.com/John_Barnitt/status/965829049540141062
",None
965687987353812992,2018-02-19,20:42:12,UTC,150890Maris,"First Smart-T-shirt Made by Cubans. The Free Speech Fashion Revolution has begun. Check our kickstarter campaign here: https://www.kickstarter.com/projects/856235450/797702255?ref=429235&token=9c07d5af #smartclothes #dirstuff  !!!one t-shirt, infinite messages!!! @TheEllenShow
","['smartclothes', 'dirstuff']"
965687049012563968,2018-02-19,20:38:28,UTC,150890Maris,"@TheEllenShowhttps://twitter.com/dirstuff/status/964538858447634432
",None
965686470748135424,2018-02-19,20:36:10,UTC,150890Maris,"Why is not there a #national #vote to say if the purchase of #weapons should be allowed? SAY YES, AND #Repost #shooting #shootingflorida #TiroteoFlorida #FloridaSchoolShooting #FloridaShooting #GunReformNow #GunControlNow #ParklandSchoolShooting #NeverAgain @TheEllenShow #help
","['national', 'vote', 'weapons', 'Repost', 'shooting', 'shootingflorida', 'TiroteoFlorida', 'FloridaSchoolShooting', 'FloridaShooting', 'GunReformNow', 'GunControlNow', 'ParklandSchoolShooting', 'NeverAgain', 'help']"
965686305270190082,2018-02-19,20:35:31,UTC,150890Maris,"High school #StudentsDemandAction are talking on message boards to make April 20th the day they all walk out of school and dont come back until Congress updates the gun laws as its their lives on the line. #Repost, #FloridaSchoolShooting #NeverAgain @TheEllenShow
","['StudentsDemandAction', 'Repost', 'FloridaSchoolShooting', 'NeverAgain']"
965276919330693120,2018-02-18,17:28:46,UTC,150890Maris,"High school #StudentsDemandAction are talking on message boards to make April 20th the day they all walk out of school and dont come back until Congress updates the gun laws as its their lives on the line. #Repost, and share #FloridaSchoolShooting #NeverAgain #shootingflorida
","['StudentsDemandAction', 'Repost', 'FloridaSchoolShooting', 'NeverAgain', 'shootingflorida']"
965276278474539008,2018-02-18,17:26:13,UTC,150890Maris,"Why is not there a #national #vote to say if the purchase of #weapons should be allowed? SAY YES, AND #Repost #shooting #shootingflorida #TiroteoFlorida #FloridaSchoolShooting #FloridaShooting #GunReformNow #GunControlNow #ParklandSchoolShooting #NeverAgain @realDonaldTrump
","['national', 'vote', 'weapons', 'Repost', 'shooting', 'shootingflorida', 'TiroteoFlorida', 'FloridaSchoolShooting', 'FloridaShooting', 'GunReformNow', 'GunControlNow', 'ParklandSchoolShooting', 'NeverAgain']"
964873373514858496,2018-02-17,14:45:13,UTC,150890Maris,"Why is not there a #national #vote to say if the purchase of #weapons should be allowed?#shooting #shootingflorida #TiroteoFlorida @nevslin #FloridaSchoolShooting #FloridaShooting #GunReformNow #GunControlNow #ParklandSchoolShooting #StudentsDemandAction #StudentsForRegulation
","['national', 'vote', 'weapons', 'shooting', 'shootingflorida', 'TiroteoFlorida', 'FloridaSchoolShooting', 'FloridaShooting', 'GunReformNow', 'GunControlNow', 'ParklandSchoolShooting', 'StudentsDemandAction', 'StudentsForRegulation']"
964872756063064064,2018-02-17,14:42:46,UTC,150890Maris,"Por q no hay un nacional voto para determinar si la venta libre de armas debera todava ser permitida? DII SI, Y #Repost #shooting #shootingflorida #TiroteoFlorida @realDonaldTrump #FloridaSchoolShooting #FloridaShooting #GunReformNow #GunControlNow #ParklandSchoolShooting
","['Repost', 'shooting', 'shootingflorida', 'TiroteoFlorida', 'FloridaSchoolShooting', 'FloridaShooting', 'GunReformNow', 'GunControlNow', 'ParklandSchoolShooting']"
964872627142713345,2018-02-17,14:42:15,UTC,150890Maris,"Why is not there a #national #vote to say if the purchase of #weapons should be allowed?#shooting #shootingflorida #TiroteoFlorida @realDonaldTrump @BarackObama #FloridaSchoolShooting #FloridaShooting #GunReformNow #GunControlNow #ParklandSchoolShooting
","['national', 'vote', 'weapons', 'shooting', 'shootingflorida', 'TiroteoFlorida', 'FloridaSchoolShooting', 'FloridaShooting', 'GunReformNow', 'GunControlNow', 'ParklandSchoolShooting']"
964872495777140739,2018-02-17,14:41:44,UTC,150890Maris,"Why is not there a #national #vote to say if the purchase of #weapons should be allowed? SAY YES, AND #Repost #shooting #shootingflorida #TiroteoFlorida @BarackObama #FloridaSchoolShooting #FloridaShooting #GunReformNow #GunControlNow #ParklandSchoolShooting @marcorubio
","['national', 'vote', 'weapons', 'Repost', 'shooting', 'shootingflorida', 'TiroteoFlorida', 'FloridaSchoolShooting', 'FloridaShooting', 'GunReformNow', 'GunControlNow', 'ParklandSchoolShooting']"
