ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
950181819202330624,2018-01-07,01:46:13,UTC,conmac,"Am I the only one whos been crying through every acceptance speech at the #GoldenGlobes2018 ?
",GoldenGlobes2018
925065420045873152,2017-10-30,18:22:37,UTC,conmac,"""When we allow our authentic selves to shine, others are drawn to our light."" Great creative journey @WalkerThorntonhttps://wp.me/p2BeBW-Xq
",None
898360703123423232,2017-08-17,01:47:37,UTC,conmac,"I really love @tinafeylaughs . I'm ready to do some sheetcaking. #SNLWeekendUpdatepic.twitter.com/zzpMf688mJ
",SNLWeekendUpdate
828380398178689024,2017-02-05,23:10:52,UTC,conmac,"Check it out! I donated to Clearing My Name With The GOP  https://gofund.me/CleaningGOPMess via @gofundme
",None
766079668990513152,2016-08-17,01:10:00,UTC,conmac,"Rescued by the #CajunNavy #laflood Best news was water didn't get in house. https://m.youtube.com/watch?feature=share&v=CtMHCgimpNQ
","['CajunNavy', 'laflood']"
766078114904412160,2016-08-17,01:03:50,UTC,conmac,"@fluxcapacitor74 thanks for the RT
",None
766047949830823936,2016-08-17,23:03:58,UTC,conmac,"House after house, street after street, neighborhood after neighborhood #laflood #afterthefloodpic.twitter.com/PGyfSmBoER
","['laflood', 'aftertheflood']"
762121275946913792,2016-08-06,03:00:46,UTC,conmac,"Me and Pete at French Quarter Fest. RIP #PeteFountainpic.twitter.com/hT3XmPrY95
",PeteFountain
759587419918245888,2016-07-30,03:12:08,UTC,conmac,"I'm so honored to have received the Creativity Award at the #blackandorangebash #10/31Consortiumpic.twitter.com/lmeGV7Q1OO
","['blackandorangebash', '1031Consortium']"
757757124185251841,2016-07-25,01:59:11,UTC,conmac,"We will rise! #CoryBooker #DNC Thanks for reminding me why I'm a Democrat.
","['CoryBooker', 'DNC']"
756311729684959232,2016-07-21,02:15:42,UTC,conmac,"I bet they turn off the hair fan when Donald gets on stage. #RNC
",RNC
754032524653768705,2016-07-15,19:18:57,UTC,conmac,"Thank You #Midlifeblvd for sharing my story of comfort in #BatonRouge this week.http://midlifeboulevard.com/finding-comfort-in-church-food/?fb_ref=Default
","['Midlifeblvd', 'BatonRouge']"
753658741619208192,2016-07-14,18:33:40,UTC,conmac,"My Mother, the Wild Woman! #LTYM #NOLAhttps://www.youtube.com/watch?v=zRYaRJBtFY8&index=11&list=PL5oPQWgVdsDlBXGhqHAWib4w1nSNQ-ZPM
","['LTYM', 'NOLA']"
752902520159162369,2016-07-12,16:28:43,UTC,conmac,"Finding Hope In My Baton Rouge Church After The Shooting Of Alton Sterlinghttp://betterafter50.com/2016/07/finding-hope-in-my-baton-rouge-church-after-the-shooting-of-alton-sterling/
",None
750694556555882496,2016-07-06,14:15:04,UTC,conmac,"This is what happens when you find a cracked mirror on the side of the road. https://conniemcleod.wordpress.com/2016/07/05/embrace-the-flaw/pic.twitter.com/J6N99XC5EN
",None
750392564319039488,2016-07-05,18:15:03,UTC,conmac,"I want to be on that hammock.https://twitter.com/KampheyApproved/status/750376762794704896
",None
750391528535650304,2016-07-05,18:10:56,UTC,conmac,"Really good solid information.https://twitter.com/rm29303/status/750379977552650240
",None
750356514011877376,2016-07-05,15:51:48,UTC,conmac,".@GilbertLiz #BigMagic inspired my blog. Embrace your imperfections, your flaws, your creative blocks.https://conniemcleod.wordpress.com/2016/07/05/embrace-the-flaw/
",BigMagic
750352361348997121,2016-07-05,15:35:18,UTC,conmac,"Embrace your imperfections, your flaws, your creative blocks. https://conniemcleod.wordpress.com/2016/07/05/embrace-the-flaw/
",None
746758001923661824,2016-06-25,17:32:36,UTC,conmac,".@GilbertLiz I sat next to stranger on plane reading Sig of all Things while I read chapter on it in #bigmagic
",bigmagic
743445838567874560,2016-06-16,14:11:15,UTC,conmac,"A Creative Heroes story on how this dad infuses his unique creative spirit with parenting. @LunchboxDoodleshttps://www.youtube.com/watch?v=-fbTimInpzA&feature=youtu.be
",None
729170345626767361,2016-05-07,04:45:32,UTC,conmac,"#LTYM #NOLA rocked the house!!!!pic.twitter.com/e0uCJSc0hp
","['LTYM', 'NOLA']"
727937709948297216,2016-05-04,19:07:29,UTC,conmac,"Enjoy this little Zen break to your day. @TaoFlashes @ccassara #springcleaning #zenhttp://carolcassara.com/spring-cleaning-psyche/#comment-774053
","['springcleaning', 'zen', 'comment774053', '']"
725370119229042688,2016-04-27,17:04:47,UTC,conmac,"Enter to win 2 tkts to Listen to Your Mother on May 7. Come see me!  #LTYM #NewOrleans https://www.facebook.com/nolaParent/app/?sk=app_237202476309340
","['LTYM', 'NewOrleans']"
724623189335113728,2016-04-25,15:36:45,UTC,conmac,"WOOT! I'm now famous!https://twitter.com/lishafink/status/724620902399238144
",None
723325824775032834,2016-04-21,01:41:30,UTC,conmac,"Team Jake #Scandal
",Scandal
723246266495299584,2016-04-21,20:25:21,UTC,conmac,"And Keith Richards is still alive.
",None
723162998827687936,2016-04-21,14:54:29,UTC,conmac,"Great collection of FREE Office Calendar Templates:  http://bit.ly/20dcArX #OfficeTemplates via @calendarlabs
",OfficeTemplates
722123119872184321,2016-04-18,18:02:22,UTC,conmac,"Beautiful story about staying in the present moment while parenting. @carla_binberghttp://tinyurl.com/grhns68
",None
722121444830744576,2016-04-18,17:55:43,UTC,conmac,"Are you living a fully creative life? It's never too early or too late to start. #creativity http://wp.me/p2BeBW-Nppic.twitter.com/yFfQG1aVp1
",creativity
722082243577950211,2016-04-18,15:19:57,UTC,conmac,"Thanks for the shoutout! @carla_birnberg @wordpressdotcom
",None
720369839424929792,2016-04-13,21:55:28,UTC,conmac,"Love Kyley's story!!https://twitter.com/lishafink/status/720272758957998085
",None
720028476288335873,2016-04-12,23:19:00,UTC,conmac,"Thanks Revolution Realty for supporting LTYM-NOLA!https://twitter.com/lishafink/status/718470780128866304
",None
720028145995218945,2016-04-12,23:17:42,UTC,conmac,"Geaux Cheryl!https://twitter.com/lishafink/status/719555854811291648
",None
720027962922283008,2016-04-12,23:16:58,UTC,conmac,"HairWear thanks for supporting LTYM-NOLAhttps://twitter.com/lishafink/status/719884553062449153
",None
718629763708030976,2016-04-08,02:41:01,UTC,conmac,"Is this real or a hallucination? A balloon convention during #FrenchQuarterFest #alldaydrinkingpic.twitter.com/E6iwxcqpi9
","['FrenchQuarterFest', 'alldaydrinking']"
718628774368120832,2016-04-08,02:37:05,UTC,conmac,"Who attends a balloon convention?pic.twitter.com/FprXkdXGzr
",None
718628498307432448,2016-04-08,02:36:00,UTC,conmac,"There's a balloon convention at my hotel. Not sure why they picked New Orleans.pic.twitter.com/h3gUsIE5Wj
",None
715009910807724032,2016-03-29,02:57:01,UTC,conmac,"So many perfect hilarious moments #CarpoolKaraoke #JamesCorden
","['CarpoolKaraoke', 'JamesCorden']"
714219307694039040,2016-03-27,22:35:27,UTC,conmac,"It's prime crawfish season. It's my 2nd boil this weekend! https://twitter.com/opinionstogo/status/714216262725943296
",None
714210905911795712,2016-03-27,22:02:04,UTC,conmac,"#louisiana #crawfishboil #eastertimepic.twitter.com/KgJee6RWuY
","['louisiana', 'crawfishboil', 'eastertime']"
713560463334850560,2016-03-25,02:57:26,UTC,conmac,"Sunset on da bayou. #easter #louisianapic.twitter.com/OFVvwePD3c
","['easter', 'louisiana']"
713095328354795520,2016-03-24,20:09:09,UTC,conmac,"A Creative Hero is someone who lives a fully creative life. Here's an interview on someone who has does it right.http://wp.me/p2BeBW-K8
",None
712842544468525056,2016-03-23,03:24:41,UTC,conmac,"I never thought I'd enjoy listening to Lindsey Graham. Crazy honest. #DailyShow @Trevornoah
",DailyShow
712641984431677441,2016-03-23,14:07:43,UTC,conmac,".@Jen_P_Williams Thanks for the RT!
",None
712641841397518336,2016-03-23,14:07:09,UTC,conmac,".@Kizzbeth Thanks for the RT!
",None
712312123821436929,2016-03-22,16:16:59,UTC,conmac,"Listen to Your Mother is a performance about motherhood. The inaugural NOLA performance is Mothers Day weekend.https://conniemcleod.wordpress.com/2016/03/22/listen-to-your-mother-new-orleans/
",None
712261815837675520,2016-03-22,12:57:04,UTC,conmac,"I met my Listen to Your Mother cast mates. It was a delicious gumbo of stories. #LTYM #NOLA http://wp.me/p2BeBW-LHpic.twitter.com/f7JSdS5MVS
","['LTYM', 'NOLA']"
708028870121816067,2016-03-10,20:36:51,UTC,conmac,"WOOT! I made the cast #LTYM #nolahttp://listentoyourmothershow.com/neworleans/2016/03/08/announcing-the-2016-ltym-new-orleans-cast/
","['LTYM', 'nola']"
707286472726974464,2016-03-08,19:26:50,UTC,conmac,"For #InternationalWomensDay, I am Connie, daughter of Jimmie, daughter of Jimmie, daughter of Minnie; mother of Jadepic.twitter.com/uQm8gtztVJ
",InternationalWomensDay
706285223797862400,2016-03-05,01:08:14,UTC,conmac,"OMG!!!! #HouseOfCardsSeason4 S4E3
",HouseOfCardsSeason4
703977204812611585,2016-02-28,16:16:59,UTC,conmac,"I love my advertising friends. #ADDYs #adpop #aafbrhttp://wp.me/p2BeBW-In
","['ADDYs', 'adpop', 'aafbr']"
702301989896474624,2016-02-23,01:20:17,UTC,conmac,"Duckie made a Duckie joke. #NCIS
",NCIS
700510370293637121,2016-02-18,02:41:01,UTC,conmac,"I'm saying Mellie and Olivia will be the next power couple! #Scandal
",Scandal
700504280629846017,2016-02-18,02:16:49,UTC,conmac,"Millie and Olivia should hook up. #scandal
",scandal
698873535444312064,2016-02-14,14:16:49,UTC,conmac,"Enjoy this conversation on the creative life. #creativeheroeshttps://www.youtube.com/watch?v=-_hDPNI36xM
",creativeheroes
698652612162236416,2016-02-13,23:38:57,UTC,conmac,"Audition done!!! WOOT WOOT #listentoyourmother #LTYM #BatonRouge
","['listentoyourmother', 'LTYM', 'BatonRouge']"
698159449429581825,2016-02-12,14:59:18,UTC,conmac,".@GilbertLiz #BigMagic inspired me to start writhing about my #CreativeHeroes. I just published my first interview.http://wp.me/p2BeBW-Hw
","['BigMagic', 'CreativeHeroes']"
697964720834244612,2016-02-11,02:05:31,UTC,conmac,"YES #Scandal #TeamJake
","['Scandal', 'TeamJake']"
697852888492544000,2016-02-11,18:41:08,UTC,conmac,"A story about a photographer, her connection to #MotherTeresa, and living a joyous creative life. #CreativeHeroes http://wp.me/p2BeBW-Hw
","['MotherTeresa', 'CreativeHeroes']"
696528613085048832,2016-02-07,02:58:56,UTC,conmac,"Dame Helen Mirren for #MVP #SB50
","['MVP', 'SB50']"
696524432756469760,2016-02-07,02:42:20,UTC,conmac,"Ok, another great spot by JEEP. #greatcampaign #sb50https://twitter.com/jeep/status/696523040604053505
","['greatcampaign', 'sb50']"
696521661646934016,2016-02-07,02:31:19,UTC,conmac,"Im a fan of #Hondas singing sheep spot too. #SB50https://twitter.com/honda/status/694178835110047744
","['Hondas', 'SB50']"
696514825057218564,2016-02-07,02:04:09,UTC,conmac,"Best commercial so far. #SB50https://twitter.com/jeep/status/696509729699270656
",SB50
696510063599443968,2016-02-07,01:45:14,UTC,conmac,"My fav commercial so far #JEEP #SB50
","['JEEP', 'SB50']"
696507888806686720,2016-02-07,01:36:35,UTC,conmac,"Loving the halftime energy!! #SB50
",SB50
696101249964376064,2016-02-06,22:40:45,UTC,conmac,"@OpinionsToGo Mardi Gras is all about fun!!!!!
",None
