ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
932271181360705537,2017-11-19,15:35:45,UTC,eleanormcpx,"@Jennyyybull bless love youuuuuu
",None
931411838419570689,2017-11-16,06:41:01,UTC,eleanormcpx,"@katie_uske @maddiesteane @Jennyyybull
",None
925856902894014466,2017-11-01,22:47:41,UTC,eleanormcpx,"I've entered the #BabesOfMissguided competition, have you?https://cards.twitter.com/cards/18ce54ewl0v/4yv0y
",BabesOfMissguided
920307024830828549,2017-10-17,15:14:27,UTC,eleanormcpx,"@ChristenHagan1 @LoveFoodExtra @Jennyyybull oh my god.
",None
814499573708296192,2016-12-29,15:53:25,UTC,eleanormcpx,"@mutedoakley @taehzung seriously lets!!
",None
814154907863416832,2016-12-28,17:03:50,UTC,eleanormcpx,"ah no stop ill cry
",None
803979107415506944,2016-11-30,15:08:51,UTC,eleanormcpx,"@KerryDaynes and i was woundering what university you went to or would recommend for forensic psychology?? 
",None
803978925168820224,2016-11-30,15:08:07,UTC,eleanormcpx,"@KerryDaynes hey i was at ur warwick uni talk today and i found your section very helpful and its something i am considering for my future..
",None
803549539676356608,2016-11-29,10:41:54,UTC,eleanormcpx,"#TweetForShelter
",TweetForShelter
787287803742781440,2016-10-15,13:43:34,UTC,eleanormcpx,"@XtremeScreams hi just wondering if u were uploading any more pictures to facebook of last night?the one on there of us already is too funny
",None
778889674135900160,2016-09-22,09:32:24,UTC,eleanormcpx,"'farewell to soggy bottoms' my heart broke #GBBO
",GBBO
774532504070066176,2016-09-10,08:58:33,UTC,eleanormcpx,"@nishb31 i literally watched the whole season last sunday,i fell in love its sooooo good
",None
774532019376230400,2016-09-10,08:56:38,UTC,eleanormcpx,"@nishb31 hell yessss
",None
768736758787895296,2016-08-25,09:08:20,UTC,eleanormcpx,"got a b in english lit without properly reading the books and by making up most of the quotes,thank god
",None
761975351161618432,2016-08-06,17:20:55,UTC,eleanormcpx,"so many pokemon in tesco but i have no pokeballs i actually could crypic.twitter.com/iseegMsbA9
",None
761468084976836609,2016-08-05,07:45:13,UTC,eleanormcpx,"@NCSEM1 its going to the falcon centre which is a homeless shelter in loughborough!!
",None
761226423961018368,2016-08-04,15:44:57,UTC,eleanormcpx,"@NCS @NCSEM1 my group has raised 1000+ for our charity in our social action!! woooooppic.twitter.com/LPajmUD1U2
",None
754694057591447552,2016-07-17,15:07:39,UTC,eleanormcpx,"me and my friend went pokemon hunting in town then somehow ended up on some bike boat thing on the river i love summer
",None
748233950699601920,2016-06-29,19:17:30,UTC,eleanormcpx,"still cant walk in heels and proms on friday im screwed
",None
746233543672487937,2016-06-23,06:48:35,UTC,eleanormcpx,"ive been worrying so much about leaving the eu that i forgot to revise for my exam thats in an hour
",None
745723092345954304,2016-06-22,21:00:14,UTC,eleanormcpx,"i dont even like malin but this is so sad #LoveIsland
",LoveIsland
743395998328848384,2016-06-16,10:53:12,UTC,eleanormcpx,"ive got 5 episodes of oitnb season 3 to watch before tomorrow but i also have an exam tomorrow which i havent revised for. fuck.
",None
743202636518809600,2016-06-15,22:04:51,UTC,eleanormcpx,"@selenagomez @latelateshow YEEEESSS
",None
743085039731236864,2016-06-15,14:17:33,UTC,eleanormcpx,"i spent at least 5 minutes looking for Gl and Bo on the periodic table to then realise they dont exist #ocrchemistry
",ocrchemistry
743082659035877376,2016-06-15,14:08:06,UTC,eleanormcpx,"@ocrexams can you please make the grade boundaries low because your miss spelling of 'they' affected all my answers thanks #ocrchemistry
",ocrchemistry
743079455371988992,2016-06-15,13:55:22,UTC,eleanormcpx,"can i get a gcse in spot the difference? #ocrchemistry
",ocrchemistry
743048031948410880,2016-06-15,11:50:30,UTC,eleanormcpx,"should probably start revising for the exam that starts in less than an hour tbh #ocrchemistry
",ocrchemistry
742821089097703425,2016-06-14,20:48:43,UTC,eleanormcpx,"i havent looked at c4,5&6 properly since like november 2014 im so screwed for tomorrow #ocrchemistry
",ocrchemistry
