ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
969398818151288833,2018-03-01,02:27:43,UTC,gundyj,"@WhiteHouse The markets clearly showed what they think of this stupid strategy today. Tariffs are really taxes, and Americans will end up paying.
",None
967915976149921792,2018-02-25,00:15:26,UTC,gundyj,"@DLoesch @NRATV We don't want to silence your speech. We just want to lessen your deadly grip on American politics, which has cost thousands of lives.
",None
967849818054955009,2018-02-25,19:52:33,UTC,gundyj,"@JacobAWohl No. It's because you're ignorant of American history.
",None
967076329161199617,2018-02-23,16:38:58,UTC,gundyj,"@DLoesch Yeah, if teenagers had shown me that I'm a heartless mercenary in the pay of companies who profit on human death and suffering I'd be pissed too.
",None
967074803621515265,2018-02-23,16:32:55,UTC,gundyj,"@kramtrak Hey, I'm actually pretty good at PowerPoints. But you're still right about the guns.
",None
963962259490865153,2018-02-14,02:24:46,UTC,gundyj,"Great, interactive time with poet Terry Hermsen at Bluffton U. yesterday.https://twitter.com/bridgebluffton/status/963860528690057217
",None
962443587056259073,2018-02-10,21:50:07,UTC,gundyj,"@realDonaldTrump This sets a new world record for irony--Mr. False Accuser himself whining that his pals deserve due process. Talk to Obama and Hillary and the Central Park Five about phony charges!
",None
962442925203513344,2018-02-10,21:47:29,UTC,gundyj,"@tobiasbuckell Toby, I'm so sorry to hear about this. Please pass my sympathies along to Freya as well.
",None
960711456047140864,2018-02-05,03:07:14,UTC,gundyj,"This explains everything!https://twitter.com/ericgarland/status/960589755535814657
",None
960358805962936320,2018-02-04,03:45:56,UTC,gundyj,"Any day when Tom Brady and that team from New England crash and burn is a fairly good day.
",None
959633318227701760,2018-02-02,03:43:06,UTC,gundyj,"@tobiasbuckell Great read, Toby! Even got ""passive resistance"" in there!
",None
958492400946700288,2018-01-30,00:09:30,UTC,gundyj,"@WhiteHouse Great idea. Let us know when you decide to start doing it. You could begin with Dreamers, or gay people, or the press, or with any number of other groups you've been slandering and persecuting since you took office. How about @HillaryClinton, just for giggles?
",None
957736216371310597,2018-01-28,22:04:42,UTC,gundyj,"https://www.facebook.com/tr/ Everything is conscious!
",None
956001276797612033,2018-01-23,03:10:40,UTC,gundyj,"Thanks for this generous profile, Cara Echols and #blufftonu!https://twitter.com/BlufftonU/status/955961701576388608
",blufftonu
955188590400737286,2018-01-21,21:21:21,UTC,gundyj,"The moment I turned on the game involving that team from New England they started playing better, and got a huge pass interference call. Turning it off.
",None
955154296009469952,2018-01-21,19:05:04,UTC,gundyj,"We absolutely believe that #TheRealDonaldTrump is actually working hard here, right? #TrumpShutdownhttps://twitter.com/keithboykin/status/954874519797321730
","['TheRealDonaldTrump', 'TrumpShutdown']"
954755439006306306,2018-01-20,16:40:09,UTC,gundyj,"Time to make a deal, Mr. @POTUS ! #TrumpShutdownhttps://twitter.com/AynRandPaulRyan/status/954747217172025345
",TrumpShutdown
954755074768670721,2018-01-20,16:38:42,UTC,gundyj,"As Trump himself said, when the government shuts down the president has to take the blame--especially when his party controls both houses. #TrumpShutdownhttps://twitter.com/thehill/status/954750636213587968
",TrumpShutdown
951927782573006849,2018-01-12,21:24:03,UTC,gundyj,"@bridgebluffton Great interview!
",None
950839250471260160,2018-01-09,21:18:37,UTC,gundyj,"@WhiteHouse Some of us would have known the words to the national anthem.
",None
944250765006295042,2017-12-22,16:58:20,UTC,gundyj,"@knoxcogirl Pretty sure I would have left the house entirely. He's a keeper.
",None
942753217762529280,2017-12-18,13:47:37,UTC,gundyj,"Will you do the right thing, Sen. Corker? #CorkerKickbackhttps://twitter.com/tribelaw/status/942613869897441281
",CorkerKickback
940799006623584256,2017-12-12,04:22:17,UTC,gundyj,"@poetrymagazine @camilareads Spent much of mine trying to get a poem into Poetry.
",None
940788389409902593,2017-12-12,03:40:05,UTC,gundyj,"So, Donald, are we tired of winning yet?
",None
937881547750993921,2017-12-04,03:09:20,UTC,gundyj,"I signed!https://twitter.com/billmckibben/status/937868645086220288
",None
937770036927885312,2017-12-04,19:46:14,UTC,gundyj,"The new issue of Bridge is in the world! Congratulations to Jamie Lyn Smith, the staff, and the contributors! @bridgeblufftonhttps://twitter.com/bridgebluffton/status/937755033369825280
",None
937711584570499072,2017-12-04,15:53:58,UTC,gundyj,"@tobiasbuckell Done! Looks like great fun!
",None
937108246623608832,2017-12-02,23:56:31,UTC,gundyj,"Magical thinking at its finest.https://twitter.com/jimtankersley/status/936855867974025216
",None
937107724772564992,2017-12-02,23:54:26,UTC,gundyj,"Thanks for the mention, Greg!https://twitter.com/Gregory_Wolfe/status/937083852249378817
",None
932960598085787648,2017-11-21,13:15:14,UTC,gundyj,"Great to have Andrew and Erin here for the Festival! They'll also be reading a 4 p.m. in the @MusselmanLib reading room!https://twitter.com/blufftonforum/status/932704799308607488
",None
932419701501808640,2017-11-19,01:25:55,UTC,gundyj,"Ah, ""truth""! EB is smart on this as on so much else.https://twitter.com/nickripatrazone/status/932086502716305408
",None
928079808726216706,2017-11-07,02:00:43,UTC,gundyj,"Think about it.https://twitter.com/AllenCMarshall/status/927531125949587457
",None
916376082454122497,2017-10-06,18:54:18,UTC,gundyj,"I'll admit a few of these are new to me, but still, a pretty great list.https://twitter.com/KavehAkbar/status/916035934159724544
",None
915189830740594688,2017-10-03,12:20:33,UTC,gundyj,"OK, this is excessive, but only a little excessive.https://twitter.com/doctorow/status/915188893548396544
",None
914339412837838848,2017-09-30,04:01:18,UTC,gundyj,"The best, most accurate brief statement on this that I've seen.https://twitter.com/iJesseWilliams/status/913842529774088193
",None
911197250835054592,2017-09-22,11:55:28,UTC,gundyj,"@senrobportman .@SenRobPortman Don't buy into the lies! Protect care for Ohioans like me #VoteNo #GrahamCassidyhttps://cards.twitter.com/cards/d70yu/4t0l6
","['VoteNo', 'GrahamCassidy']"
905614892861939712,2017-09-06,02:13:10,UTC,gundyj,"Do these pieces fit together?https://twitter.com/billmckibben/status/905613323902869505
",None
905212790251683840,2017-09-05,23:35:21,UTC,gundyj,"Just one reason to oppose this terrible decision.https://twitter.com/rachelheldevans/status/905117533560299521
",None
901560911567233024,2017-08-26,21:44:06,UTC,gundyj,"@rgay I'm sure this is cold comfort, but the same is true of me. Hang in there!
",None
897619134560784387,2017-08-15,00:40:53,UTC,gundyj,"From that well-known leftist Mitt Romney:https://twitter.com/MittRomney/status/897612532386607104
",None
896914583335686144,2017-08-13,02:01:15,UTC,gundyj,"Let's not forget this, friends. There are a lot of us.https://twitter.com/catvalente/status/896858020461912064
",None
896900518903037952,2017-08-13,01:05:21,UTC,gundyj,"I hate to pile on, but some people just ask for it.https://twitter.com/kurteichenwald/status/896813863093587968
",None
