ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
964516288616960002,2018-02-16,15:06:17,UTC,mattfwells,"#Canada imposes targeted sanctions today on Maj Gen Maung Maung Soe, former head of #Myanmar military's Western Command https://www.canada.ca/en/global-affairs/news/2018/02/canada_imposes_targetedsanctionsinresponsetohumanrightsviolation.html. We @amnesty documented Western Command's key role in crimes against humanity committed against the #Rohingya https://www.amnestyusa.org/wp-content/uploads/2017/10/Amnesty-My-World-Is-Finished-Myanmar-18.10.20171.pdfpic.twitter.com/gIhMAiHC4G
","['Canada', 'Myanmar', 'Rohingya']"
962329301709459466,2018-02-10,14:15:59,UTC,mattfwells,"With the UN Security Council set to meet on #Myanmar on Tue, my piece for @ipsnews on the actions it needs to take, as the military's crimes against humanity against the  #Rohingya continue, especially through forced starvation.http://www.ipsnews.net/2018/02/un-security-council-must-halt-disastrous-march-myanmars-ethnic-cleansing-rohingya/
","['Myanmar', 'Rohingya']"
961753872967585792,2018-02-08,00:09:26,UTC,mattfwells,"This is incredible, devastating reporting from Reuters on Inn Din. It lays bare the nature of the #Myanmar military's campaign against the #Rohingya, hammers down the role of the 33rd LID, and gives us more than just the names of those murdered. Must read. #freeWaLoneKyawSoeOohttps://twitter.com/Reuters/status/961724336204730368
","['Myanmar', 'Rohingya', 'freeWaLoneKyawSoeOo']"
961652027280580614,2018-02-08,17:24:44,UTC,mattfwells,"Hunger fuels #Rohingya exodushttps://www.theaustralian.com.au/news/world/starvation-replaces-violence-as-tool-of-rohingya-genocide/news-story/c0c20a6016f5e5d19be7095336f76a02
",Rohingya
961629897209806848,2018-02-08,15:56:48,UTC,mattfwells,"Forced starvation, abductions pushing more #Rohingya refugees into Bangladesh: Amnesty https://frontiermyanmar.net/en/forced-starvation-abductions-pushing-more-refugees-into-bangladesh-amnesty, via @FrontierMM. #Myanmar
","['Rohingya', 'Myanmar']"
961335608793812993,2018-02-07,20:27:24,UTC,mattfwells,"@TelegraphNews Myanmar army continuing to force #Rohingya out of the country through rape and starvation says Amnesty http://www.telegraph.co.uk/news/2018/02/07/rohingya-continue-forced-homes-tactical-starvation-claims-amnesty/?WT.mc_id=tmg_share_tw via @telegraphnews
",Rohingya
961313885922918401,2018-02-07,19:01:05,UTC,mattfwells,"#Myanmar military silently starving and abducting #Rohingya, Amnesty finds http://www.smh.com.au/world/military-silently-starving-and-abducting-rohingya-amnesty-finds-20180207-p4yzn1.html via @smh
","['Myanmar', 'Rohingya']"
961311273425268736,2018-02-07,18:50:42,UTC,mattfwells,"The intl communitys response to the #RohingyaCrisis has been pitiful, granting the #Myanmar military continued impunity. No surprise crimes against humanity are ongoing. Its time for targeted sanctions, an arms embargo, & increased pressure for full, sustained aid access. /end
","['RohingyaCrisis', 'Myanmar']"
961310517292883968,2018-02-07,18:47:42,UTC,mattfwells,"After being systematically robbed at checkpoints by the #Myanmar military, fleeing #Rohingya families often have little more than the clothes on their back, struggle even to pay a boatman to get to #Bangladesh. /10pic.twitter.com/bqQt1oGM4o
","['Myanmar', 'Rohingya', 'Bangladesh']"
961310031881875456,2018-02-07,18:45:46,UTC,mattfwells,"Everyone I intv'd who recently went through the Sein Hnyin Pyar checkpoint described the same thing: #Myanmar military separates #Rohingya men from women; steals money, phones, gold jewelry, portable solar panels, etc.; & often sexually assaults women during body searches. /9
","['Myanmar', 'Rohingya']"
961309416829186049,2018-02-07,18:43:19,UTC,mattfwells,"#Rohingya fleeing in recent wks have faced a final blow: the systematic theft of their money & other valuables at checkpoints the #Myanmar security forces have set up. The worst is near Sein Hnyin Pyar village tract, where people cross from Buthidaung to Maungdaw Tsp. /8
","['Rohingya', 'Myanmar']"
961308987911176193,2018-02-07,18:41:37,UTC,mattfwells,"In several villages, #Myanmar soldiers also recently abducted #Rohingya girls & young women. Families waited for days without news, then fled out of fear of more abductions. Raises concerns of rape & sexual slavery, especially given the military's history of sexual violence. /7
","['Myanmar', 'Rohingya']"
