ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
971171939380178945,2018-03-06,23:53:28,UTC,plainkreb,"@NWSSpokane pic.twitter.com/Tlg8gRyCx7
",None
971079609612578816,2018-03-06,17:46:35,UTC,plainkreb,"@RyanDivish Do we know the terms of the deal yet?
",None
970738501577621504,2018-03-05,19:11:08,UTC,plainkreb,"@GregJohnsMLB Maybe hire him as trainer to help avoid the rash of yearly injuries.....
",None
970507450737545217,2018-03-04,03:53:02,UTC,plainkreb,"@NWSSpokane  34 degrees and snowing big fat flakes in Plain, WA
",None
969803550183190533,2018-03-02,05:15:59,UTC,plainkreb,"@rollcall And birth certificates????
",None
969803077770358784,2018-03-02,05:14:06,UTC,plainkreb,"@rollcall Guns n bibles...ima christian but dont fuck with me
",None
969775332122226688,2018-03-02,03:23:51,UTC,plainkreb,"@ByJasonKlein You tell your girl to go get it and play some ball!
",None
969437454200487936,2018-03-01,05:01:15,UTC,plainkreb,"@POTUS @realDonaldTrump So,......you gave them everything they want.....right?
",None
969381969162264576,2018-03-01,01:20:46,UTC,plainkreb,"@JRubinBlogger trump crime family...
",None
969321289864437760,2018-03-01,21:19:39,UTC,plainkreb,"@TomiLahren Tomi Lahren.....good god.....the problem is the technical term for the weapon that mows down innocent humans???????
",None
969320319436705795,2018-03-01,21:15:47,UTC,plainkreb,"@funder Not surprised at all
",None
969036086625288192,2018-02-28,02:26:21,UTC,plainkreb,"@Bakari_Sellers trump grifters
",None
968954670638022656,2018-02-28,21:02:50,UTC,plainkreb,"@nytimesbooks @nytimes @NewsHour Just started it
",None
968941885271060480,2018-02-28,20:12:02,UTC,plainkreb,"@FedEx @NRA @kurteichenwald This is sickening....NRA needs a hard smackdown
",None
968933836305256448,2018-02-28,19:40:03,UTC,plainkreb,"@NewsHour On my way to Dick's to buy something
",None
968874405425065986,2018-02-28,15:43:53,UTC,plainkreb,"@NBCNews Good guy was wrong color...
",None
968513516960342017,2018-02-27,15:49:51,UTC,plainkreb,"@JRubinBlogger He will for sure plead the 5th....he wont answer anything then bloviate about witch hunt bullshit....weak man
",None
968510029467824129,2018-02-27,15:35:59,UTC,plainkreb,"@GregJohnsMLB Great news!
",None
968366978405724161,2018-02-26,06:07:33,UTC,plainkreb,"@BrandiKruse trump is incoherent...delusional
",None
968200357225496576,2018-02-26,19:05:28,UTC,plainkreb,"@JRubinBlogger trump is incoherent/ delusional...teachers are not going to have guns, and shame on us if we as a society have come to that
",None
968196744226914304,2018-02-26,18:51:06,UTC,plainkreb,"@BBCWorld Laughable response from cheeto boy
",None
968137313338368000,2018-02-26,14:54:57,UTC,plainkreb,"@catchwmw @DavidRoseQ13FOX Great news!
",None
968135626854776832,2018-02-26,14:48:15,UTC,plainkreb,"@CREWcrew trump crime family at Olympics
",None
967990031301226496,2018-02-25,05:09:42,UTC,plainkreb,"@Walter_Kelley Got caught in a 4 hour Sevens Pass closure this eveing....snowing hard and blowing
",None
967844731966271489,2018-02-25,19:32:20,UTC,plainkreb,"@BBCWorld trump family of grifters @ the Olympics
",None
967490378470383616,2018-02-24,20:04:15,UTC,plainkreb,"@Walter_Kelley Nice!
",None
967489668647346176,2018-02-24,20:01:26,UTC,plainkreb,"@BrandiKruse If you are ""mild"" youre probably not doing your job
",None
967072931133075456,2018-02-23,16:25:28,UTC,plainkreb,"@potius @BBCWorld @POTIUS @realDonaldTrump  So didnt donnie johnnie when it was his turn to serve
",None
966765152023429120,2018-02-22,20:02:28,UTC,plainkreb,"@baratunde Agree 10000%
",None
966694512327196672,2018-02-22,15:21:46,UTC,plainkreb,"@BBCWorld We do hate the NRA...the rest is bullshit
",None
966167987362308096,2018-02-20,04:29:33,UTC,plainkreb,"@MarkRuffalo Me too
",None
966061328103178240,2018-02-20,21:25:43,UTC,plainkreb,"@shannondrayer He hasnt hit all off season, and Mariners are just now dealing with it?????? I hope that was a typo or misunderstanding.....
",None
966049801438601216,2018-02-20,20:39:55,UTC,plainkreb,"@TVWnews @theolympian @NEI @EnergyNorthwest There is no safe storage method for nuclear waste....see Hanford area...many years and millions of $$$$ and toxicity to people, land and the Columbia River will be there for thousands of years
",None
966002636892774400,2018-02-20,17:32:30,UTC,plainkreb,"@DonaldJTrumpJr @votevets I support these survivors of the Parkland, Fl massscre....100%  No support for NRA shills
",None
965991009262878720,2018-02-20,16:46:18,UTC,plainkreb,"@tribelaw @POTUS @realDonaldTrump  Lyin donnie johnnie at it again....blame Obama for everything
",None
965990012683563008,2018-02-20,16:42:20,UTC,plainkreb,"@MattLorchQ13Fox Yes
",None
965950755428491266,2018-02-20,14:06:21,UTC,plainkreb,"@ABC Follow the $$$...NRA
",None
965743051707621376,2018-02-19,00:21:00,UTC,plainkreb,"@GregJohnsMLB Off season conditioning much??
",None
965360713400119296,2018-02-18,23:01:44,UTC,plainkreb,"@POTUS @RepAdamSchiff The really sad thing is ...the President of the United States is ""tweeting"" such childish gibberish
",None
965309343901061122,2018-02-18,19:37:36,UTC,plainkreb,"@AP NRA  and lawyers will be there to counter everything against gun control measures and in the end nothing will come of this. Oh, it'll be a great photo op for trump...big smile, thumbs up
",None
965273428809867264,2018-02-18,17:14:53,UTC,plainkreb,"@harveyshepard Think they shoulda?
",None
965002074759950336,2018-02-17,23:16:38,UTC,plainkreb,"@jaketapper @mj_lee I thought the same....very well spoken
",None
965000890175258624,2018-02-17,23:11:55,UTC,plainkreb,"@AlecMacGillis @JamesFallows Other countries dont have lobbyists, gun manufacturers and NRA dumping  $$$$$$$$ into our elected politicians bank accounts
",None
964999565135962113,2018-02-17,23:06:39,UTC,plainkreb,"@POTUS @marcorubio Still taking blood money marco?
",None
964978180325953536,2018-02-17,21:41:41,UTC,plainkreb,"And now......rain
",None
964969484875218944,2018-02-17,21:07:08,UTC,plainkreb,"@NWSSpokane  8 inches new snow in Plain since 8 o'clock this morning. So 16 inches in last 12 hours
",None
964891352914776065,2018-02-17,15:56:40,UTC,plainkreb,"@NWSSpokane  8 inches new snow in Plain, WA
",None
964196331148361728,2018-02-15,17:54:53,UTC,plainkreb,"@POTUS @realDonaldTrump Except for the bonds with the NRA...And their donations...those are the most important....right Donnie ?
",None
964003774753751047,2018-02-14,05:09:44,UTC,plainkreb,"@Walter_Kelley Looks really good!
",None
963905035456339969,2018-02-14,22:37:23,UTC,plainkreb,"@NatalieBrandK5 @NBCPolitics Only in America.....mass shooting are tolerated as the cost of the 2nd amendment
",None
963901928970178561,2018-02-14,22:25:02,UTC,plainkreb,"@MaxBoot @brianklaas America does not care. This will happen again and again and again....america will do nothing.  OH! Thoughts and prayers!!! ...
",None
963886392668405760,2018-02-14,21:23:18,UTC,plainkreb,"@POTUS @realDonaldTrump Thoughts and prayers dont seem to be doing much to stop kids from obtaining weapons, bringing them to a school full of  kids and shooting ....got any other ideas stable genius? Gun control measures??
",None
963848490009772032,2018-02-14,18:52:42,UTC,plainkreb,"@harveyshepard Wrong JD
",None
963848133154189312,2018-02-14,18:51:17,UTC,plainkreb,"@RyanDivish Sigh....holding true to form...
",None
963483368913477632,2018-02-13,18:41:50,UTC,plainkreb,"@GregJohnsMLB @RyanDivish @ByBobDutton And Shannon Drayer!
",None
963184549382340608,2018-02-12,22:54:26,UTC,plainkreb,"@nowthisnews That is sickening!
",None
963169384029077504,2018-02-12,21:54:10,UTC,plainkreb,"@nytimes @POTUS Likely never read it....Stephen Miller feeds him lines
",None
963063858460946433,2018-02-12,14:54:51,UTC,plainkreb,"@RyanDivish Yow!
",None
963063591199948800,2018-02-12,14:53:47,UTC,plainkreb,"@POTUS @realDonaldTrump Thanks. I'll spend my $1.50 on a half gallon of gas
",None
962471645469290496,2018-02-10,23:41:36,UTC,plainkreb,"@SenJeffMerkley Agreed wholeheartedly
",None
962356453624311808,2018-02-10,16:03:52,UTC,plainkreb,"@KellyannePolls @jaketapper @CNNSotu Ugh, reslly?
",None
962172085329002496,2018-02-09,03:51:16,UTC,plainkreb,"@komonews Tide pods
",None
962070955429253122,2018-02-09,21:09:24,UTC,plainkreb,"@NewsHour They should be sitting down and talking to each other....
",None
961696948360167424,2018-02-08,20:23:14,UTC,plainkreb,"@komonews @KeithKOMO4 Good news!
",None
961696777127608322,2018-02-08,20:22:33,UTC,plainkreb,"@POTUS @MartinHeinrich Veterans who need some help; the opioid epidemic; Puerto Rico aid....etc....etc...the $$$ can be better spent HELPING PEOPLE
",None
961672713826791424,2018-02-08,18:46:56,UTC,plainkreb,"@NicolleDWallace Jesus Christ! The #shitshow continues
",shitshow
