ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
970650328285810688,2018-03-05,13:20:46,UTC,realbuffhole,"If the state of Florida had not infringed the #9ARights of its citizens, the people would have been able to prevent Cruz from having a gun to begin with. #NeverAgain #NRA #2A #MSDStronghttps://twitter.com/DLoesch/status/968342651157262337
","['9ARights', 'NeverAgain', 'NRA', '2A', 'MSDStrong']"
970649201632841734,2018-03-05,13:16:18,UTC,realbuffhole,"If Florida had allowed the support of #9ARights requiring training & endorsement for semi-auto purchase & ownership, Cruz would never have had an AR-15 to begin with. #NeverAgain #2A #NRAhttp://amp.miamiherald.com/news/local/community/broward/article201887629.html?__twitter_impression=true
","['9ARights', 'NeverAgain', '2A', 'NRA']"
970637050000171008,2018-03-05,12:28:00,UTC,realbuffhole,"We have an inborn right to create safe & secure communities for our families.  #9ARights #NeverAgain #MSDStrong #NRA #2A
","['9ARights', 'NeverAgain', 'MSDStrong', 'NRA', '2A']"
970636165253607424,2018-03-05,12:24:30,UTC,realbuffhole,"Use #9ARights to support your unalienable rights secured by the 9th Amendment of the US Constitution. Don't let @NRA infringe your rights or call you anti-American or constitution-hating. #NeverAgain #MarchForOurLives #MSDStrong #2A #NRA
","['9ARights', 'NeverAgain', 'MarchForOurLives', 'MSDStrong', '2A', 'NRA']"
970629749310676992,2018-03-05,11:59:00,UTC,realbuffhole,"""to bear arms implies ... the learning to handle & use them in a way that makes those who keep them ready for their efficient use;...to meet for voluntary discipline in arms, observing in doing so the laws of public order."" Judge Thomas Cooley, 1868 #NeverAgain #2A
","['NeverAgain', '2A']"
970626270110285824,2018-03-05,11:45:10,UTC,realbuffhole,"#NRA supports the infringement of my constitutional rights by lobbying states to force me to accept unfettered access to weapons of war, then they call me anti-American & constitution hating. #NeverAgain #2A #MarchForOurLives
","['NRA', 'NeverAgain', '2A', 'MarchForOurLives']"
970624979942477827,2018-03-05,11:40:03,UTC,realbuffhole,"#NRA reads #2A & they get ""every f***head gets their weapon of choice."" I read 2A & I get, ""the people have the right to be properly armed & responsibility to be properly disciplined for the defense of freedom."" #NeverAgain #MarchForOurLives
","['NRA', '2A', 'NeverAgain', 'MarchForOurLives']"
970623604923695104,2018-03-05,11:34:35,UTC,realbuffhole,"Antonin Scalia wrote that the right secured by #2A is ""not a right to keep and carry any weapon whatsoever in any manner whatsoever and for whatever purpose"" #NeverAgain #MarchForOurLives
","['2A', 'NeverAgain', 'MarchForOurLives']"
970451876922757121,2018-03-04,00:12:12,UTC,realbuffhole,"A state legislature that forces its citizens to accept unfettered access to weapons of war (as arms are defined) is infringing on their right to create a safe & secure community, a right secured by the 9th Amendment. #NeverAgain #2A #NRA
","['NeverAgain', '2A', 'NRA']"
970447657880752128,2018-03-04,23:55:26,UTC,realbuffhole,"Other than life, liberty, & the pursuit of happiness, the unalienable rights referred to in the Declaration of Independence & not specifically codified in the US Constitution include self defense, creating a safe community, & education. #NeverAgain
",NeverAgain
