ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
971510335004815360,2018-03-07,22:18:08,UTC,pevreswyk,"@MSNBC @Lulukonen Which is why you responded? Reality is hard to understand, especially when it speaks truth.  Try not to over think it.
",None
971509603392413696,2018-03-07,22:15:13,UTC,pevreswyk,"@CNNPolitics Poor thing. I hope they're paying her enough to peddle this. Sarah, that is.
",None
971508586881810432,2018-03-07,22:11:11,UTC,pevreswyk,"@chrislhayes No, please escalate this. Please.
",None
971507982025424896,2018-03-07,22:08:47,UTC,pevreswyk,"@CNN Ha, haha, hahahahaha
",None
971442121797332992,2018-03-07,17:47:05,UTC,pevreswyk,"@CNNPolitics He probably didn't, but I bet he supervised the tatoo artist to ensure his nose was adequately represented on Nunbergs back.
",None
971441159263305728,2018-03-07,17:43:15,UTC,pevreswyk,"@MSNBC @NBCPolitics Yes, it easier to golf and cash in on the tax payers hard earned money.  All you have to do is tweet enough to watch your administration run in circles and say to yourself, ""Job done, now who had my Big Mac?""
",None
971411988315189248,2018-03-07,15:47:20,UTC,pevreswyk,"@TuckerCarlson @seanhannity @FoxNews @realDonaldTrump @EricTrump Cool spreadsheet. Here's a real list you should be paying attention to: Mueller's list is even longer.pic.twitter.com/wtlZdPhEo7
",None
971409687580098566,2018-03-07,15:38:12,UTC,pevreswyk,"@DonaldJTrumpJr Ok, don't hurt yourself over thinking this, but here's a list of those who have 'succeeded'. Mueller's list is growing too.pic.twitter.com/U5zl6AXv1V
",None
971407428364353542,2018-03-07,15:29:13,UTC,pevreswyk,"@realDonaldTrump Ok, don't hurt yourself over thinking this. Its easy, you only have to chose the one who will pay you the most money to get on the 'WALL'  of fame.pic.twitter.com/KTdqfIJk39
",None
971266287178575879,2018-03-06,06:08:22,UTC,pevreswyk,"@11thHour How does a lawless president, repremand anyone for breaking the law?  He'll blow Conway way a kiss, and call it good.
",None
971261033204604929,2018-03-06,05:47:30,UTC,pevreswyk,"@hardball The WH is filled with Russian assets, starting in the Oval office, the State Dept and these two back-channel advisors (Trumps 'best people').  Question is, where the hell is the VP?pic.twitter.com/zQlXGKHSSW
",None
971235109696393216,2018-03-06,04:04:29,UTC,pevreswyk,"@nytimes @maggieNYT @mega2e @frankelrichard1 Hahaha....yeah, that's never gonna happen.  Funny though.
",None
971234833262407680,2018-03-06,04:03:23,UTC,pevreswyk,"@MSNBC @MeetThePress How about phone records?
",None
971227013577981952,2018-03-06,03:32:19,UTC,pevreswyk,"@MaddowBlog I truely believe we have Russian assets sitting at the highest levels of our government. Hiding in plain site in the Oval office, State Department and most of the senior advisory positions. So all those 'people dieing to work in the Oval office and West Wing' are already there.pic.twitter.com/vFwvSjPNNa
",None
971223237634883585,2018-03-06,03:17:18,UTC,pevreswyk,"@MSNBC Whoops, sent the nukes abd hit our ally. My bad.
",None
971222827243208705,2018-03-06,03:15:41,UTC,pevreswyk,"@MSNBC @NBCPolitics So what has he done for us so far? Zero. Just another lie, another talking head wasting the air we all breath.
",None
971221613751357441,2018-03-06,03:10:51,UTC,pevreswyk,"@CNN Evidence that a toxic culture starts at the top and affects everyone on its way to the ballot box. The #BlueTsunami is sucking the water off the Red beaches. Can't wait to see the wave wipe out the House and .3 of the Senate so we can finally rise from the cess pool called Trump.
",BlueTsunami
971213320685416449,2018-03-06,02:37:54,UTC,pevreswyk,"@MSNBC Just looking for more money from Trump. If the NDA hasn't been signed, there's no reason not to sing unless shes demanding more than the media is offering.
",None
970858759361712130,2018-03-05,03:09:00,UTC,pevreswyk,"@MaddowBlog Well, that makes sense. I could never connect those dots as Trump/Tillerson are completely different personalities and run in completely opposite circles.
",None
970846482071830528,2018-03-05,02:20:13,UTC,pevreswyk,"@realDonaldTrump Another ""trumper tantrum"", whining about the same old things. Why? Because he knows the end is coming and there's nothing he can do about it. So, go ahead and let him whine while he has the spot light. The rest of the world is taking notes & haveing a good laugh at his expense.
",None
969956644066025472,2018-03-03,15:24:19,UTC,pevreswyk,"@JoyAnnReid Puppet Master and Pinocchio.pic.twitter.com/K4EoGQZj4B
",None
969828129932914688,2018-03-02,06:53:39,UTC,pevreswyk,"@AriMelber Good times, good times.
",None
969814734424846337,2018-03-02,06:00:25,UTC,pevreswyk,"@MaddowBlog He's got his back channel to Putin through Kushner, I'm sure they're strategizing Trumps next flip to help bring the US to its knees before the blue wave hits in Nov, and Trump is finally shown the door.  Pres Kushner is the true puppet master here. Payoff or Policy roulette.
",None
969810633020420097,2018-03-02,05:44:07,UTC,pevreswyk,"@hardball Seems President Kushner is the puppet master behind the Trump curtain.  I'm assuming Mueller's trying to hold off until the #BlueWave hits Washinton in Nov to ensure there's a Congress that will actually do something. Not sure we'll make it to Nov after this week's revelations.
",BlueWave
