ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
882460754468851712,2017-07-04,04:46:53,UTC,princessbutterc,"Marcus Hunter-Neill : Marriage Equity for Northern Ireland ""ITS TIME!"" https://www.change.org/p/marcus-hunter-neill-marriage-equity-for-northern-ireland-its-time?recruiter=743322433&utm_campaign=signature_receipt&utm_medium=twitter&utm_source=share_petition via @UKChange
",None
881930854586560512,2017-07-03,17:41:15,UTC,princessbutterc,"@VodafoneUKhelp I have dm'd and no one has got back to me
",None
881912152214392832,2017-07-03,16:26:56,UTC,princessbutterc,"@VodafoneUK Not a happy. foreign ppl to try fix my account&their systems are down!Not good enough. Yet it was the uk that rang &changed it.
",None
873254058731212801,2017-06-09,19:02:46,UTC,princessbutterc,"#takethatincinemas. Can't wait to see they boys pic.twitter.com/xe2iXLyOLO
",takethatincinemas
867121592278634503,2017-05-23,20:54:32,UTC,princessbutterc,"@RoyalMail Nope. I have reported it to bangor post office.
",None
865989295940788226,2017-05-20,17:55:12,UTC,princessbutterc,"@RoyalMail someone helped themselves by slicing through 2 envelopes to steal my easy pass!When thieves work for you!pic.twitter.com/Cl9gIsYMp2
",None
808059566210609152,2016-12-11,21:23:08,UTC,princessbutterc,"#spartacus #thirstyworkbeingacat https://www.instagram.com/p/BN5Ex-fAoEVWlIwKnYJtfeXQ49NcezwgxSshx00/
","['spartacus', 'thirstyworkbeingacat']"
807488187186737152,2016-12-09,07:32:40,UTC,princessbutterc,"Petition: Make cannabis oil legal for medicinal purposeshttps://petition.parliament.uk/petitions/168130
",None
791774445660737537,2016-10-27,22:51:52,UTC,princessbutterc,"#speakoutgame https://www.instagram.com/p/BMFXMhjAP2j8NVbUaWx_RF4sZkTl7auLWUd16k0/
",speakoutgame
784902307502784512,2016-10-08,23:44:27,UTC,princessbutterc,"#jamesnesbitt #nimatch https://www.instagram.com/p/BLUiG_tg8-8fzdsMoCks7c6B-YRL364_R8An4s0/
","['jamesnesbitt', 'nimatch']"
781935263945719808,2016-09-30,19:14:29,UTC,princessbutterc,"@cullodenestate not good havin no hot water in the rooms. No one told us when checkin in! Every1 on fb sayin been like this since last wk 
",None
771035575302365184,2016-08-31,17:23:00,UTC,princessbutterc,"Just posted a video https://www.instagram.com/p/BJyAOozgzFmsxiZ4-9bSdnt1zb3eY0Jw3zb6PM0/
",None
770688560731197440,2016-08-30,18:24:06,UTC,princessbutterc,"#teatime @ The Sizzling Stone https://www.instagram.com/p/BJvicffgQT4toqprrtcWUbeR7bKcrLS8joLAnc0/
",teatime
769611473807089664,2016-08-27,19:04:08,UTC,princessbutterc," @ Abufeira https://www.instagram.com/p/BJn4pH4gHoCka_tmuz8Lsub8s5d1Inp_36W45U0/
",None
769610985313304578,2016-08-27,19:02:12,UTC,princessbutterc,"Happy holidays X @ Abufeira https://www.instagram.com/p/BJn4a57A_ZVDsdIKmC3x-twRLarBhliESLK5BY0/
",None
767867363559673856,2016-08-22,23:33:40,UTC,princessbutterc,"Snapchat fun @ Abufeira https://www.instagram.com/p/BJbfgysgJ0m6hqL25c9s8OwO1HQBYQ5KXvm-Yk0/
",None
753258904885297153,2016-07-13,16:04:52,UTC,princessbutterc,"Molly&me x https://www.instagram.com/p/BHzsWxVgM5Drus2BJhbrKP-rjVd93xfX4XJrcY0/
",None
752253660550291457,2016-07-10,21:30:23,UTC,princessbutterc,"@sophiegradon my favourite female in #loveisland sad when u left 
",loveisland
733380540888408064,2016-05-19,19:35:21,UTC,princessbutterc,"@MrWongo flew over from Belfast to see Billy Ocean..... 
",None
729734914095124480,2016-05-09,18:08:55,UTC,princessbutterc,"Oh look at that @BTCare  can't get better than that! Yet you wanted payment upfront coz my HOUSE has bad credit!pic.twitter.com/QeP2Ouu8ba
",None
726697241306619904,2016-05-01,08:58:18,UTC,princessbutterc,"@BTCare said they will ring back tomorrow.. They have yet to ring me back once. I will not hold my breathe
",None
726697083407847425,2016-05-01,08:57:40,UTC,princessbutterc,"@BTCare spoke again to BT! Said look back on your system when we had broadband & phone for years but of course their system wldnt let them
",None
726692774326710272,2016-05-01,08:40:33,UTC,princessbutterc,"@BarclaysUKHelp saying affordable!! But same statements & payslips gets me a mortgage with another bank. I know it's coz my rate is so good
",None
726688347712794624,2016-05-01,08:22:57,UTC,princessbutterc,"@BarclaysUKHelp the mortgage adviser was very rude. Bank of Ireland will give me the mortgage but I'm guessing my rate is so good u want rid
",None
726687745746325506,2016-05-01,08:20:34,UTC,princessbutterc,"@BarclaysUKHelp so disappointed in yourselves. Trying to get ex hubby of my mortgage & was told no problem then they came back saying no!
",None
726422948593197056,2016-04-30,14:48:21,UTC,princessbutterc,"@leanneculbert @bt_uk still not sorted!!! It's a joke!!
",None
726422391581249536,2016-04-30,14:46:09,UTC,princessbutterc,"@BTCare still nothing back!!
",None
725992051372859392,2016-04-29,10:16:07,UTC,princessbutterc,"@BTCare sent a message and no reply. Had to put Twitter name.
",None
