ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
971912638987997184,2018-03-08,00:56:45,UTC,NYimpeachTrump,"@aarondmiller2 Also, stop getting distracted by the lime green laser pointer. Focus.
",None
971912545039781888,2018-03-08,00:56:22,UTC,NYimpeachTrump,"@jaketapper @aarondmiller2 I don't care if he reanimates dinosaurs. Nothing will distract me from the fact that this criminal, pathological liar, narcissistic animal is occupying the White House. So excuse me if I don't give a flying F about this supposed meeting. I'll believe it when I see it.
",None
971911695202488320,2018-03-08,00:53:00,UTC,NYimpeachTrump,"@MollyJongFast Are you fucking kidding me? That table made out of dinosaur bones and fabrege eggs doesn't look half bad now.
",None
971854302925991937,2018-03-08,21:04:56,UTC,NYimpeachTrump,"@Nefertizzy Oh, only white people, ever...got it. I'll write that one down....lol
",None
971527460629110784,2018-03-07,23:26:11,UTC,NYimpeachTrump,"@usedgov @BetsyDeVosED Sure you are.
",None
971527108454436864,2018-03-07,23:24:47,UTC,NYimpeachTrump,"@BetsyDeVos @andrewkimmel Amazing. That's leadership. Good god.
",None
971525789379416064,2018-03-07,23:19:32,UTC,NYimpeachTrump,"@chrissyteigen @Pheramuse Is that a yorkipoo? ;(
",None
971524763263885314,2018-03-07,23:15:28,UTC,NYimpeachTrump,"@YourAnonNews @EmperorPing Republicans sure are. Every one of them.
",None
971523458067726341,2018-03-07,23:10:17,UTC,NYimpeachTrump,"@cameron_kasky I would never quit my job as a teacher. I would absolutely use every resource available to me. Just like you young people. Keep it up. Never stop. Fight.
",None
971417783220174849,2018-03-07,16:10:22,UTC,NYimpeachTrump,"@firepfeiffer1 @sofiewhitney @AAlhanti @Emma4Change @Ryan_Deitsch @sarahchad_ Like a BOSS!
",None
971212412094500864,2018-03-06,02:34:17,UTC,NYimpeachTrump,"@GioWFAN @ThePoniExpress Running backs have a short window. He is not young. Has 2 to 3 good years left. Will get 2 years of real money tops. Should make as much as he can. Once he is 30 he is done.
",None
971166172157763586,2018-03-06,23:30:33,UTC,NYimpeachTrump,"@hopelessrice Midgets being eaten by dinosaurs?
",None
971164482998296576,2018-03-06,23:23:50,UTC,NYimpeachTrump,"Nothing to see here folks...pic.twitter.com/FodImbbksv
",None
970810052201328640,2018-03-05,23:55:27,UTC,NYimpeachTrump,"@Mikel_Jollett The look in his face terrifies me. That a person would be this arrogant. He has no choice now. My guess is he played the crazy card to cut a deal. If not, he is almost as dumb as Trump. America, total laughing stock. Smh
",None
970807015193894912,2018-03-05,23:43:23,UTC,NYimpeachTrump,"@JanelleMonae Talent.
",None
970806017012400134,2018-03-05,23:39:25,UTC,NYimpeachTrump,"@jaketapper Screw that is likely the last thing the prison auctioneer says to him. He can talk as much as he wants. Defiance isn't going to help
",None
970805658265284608,2018-03-05,23:38:00,UTC,NYimpeachTrump,"@evilemilie Nobody listens to the rantings of Evil Mcgunface. She is totally the psycho girlfriend from college too. Seriously, she reminds me of that chick who stalks her ex.
",None
970805100628365312,2018-03-05,23:35:47,UTC,NYimpeachTrump,"@JoyAnnReid Remember this. Take out every, single Republican.
",None
970292943109218304,2018-03-04,13:40:39,UTC,NYimpeachTrump,"@SikhProf For the win.....YES!  Lucky. ;)
",None
969786802746818560,2018-03-02,04:09:26,UTC,NYimpeachTrump,"@KenCalvert Yeah, that is what this is about. It isn't about stripping unions and voiding contracts and destroying the rights of workers to enrich corporations. Right, i call bullshit. Look what they did to the teachers of Wisconsin. Anything? Do a little research.
",None
969773217517834240,2018-03-02,03:15:27,UTC,NYimpeachTrump,"@SchollLinda Funny....hit me back i have a funny ranger stoey
",None
969743219050405889,2018-03-02,01:16:15,UTC,NYimpeachTrump,"@marcorubio Every day I am reminded of how clueless you politicians are. You work for US not the NRA. I know, I know, you are going to bw a typical fat, white lobbyist eventually and you so not care about peoole because you are a disgusting Republican but please do not pander
",None
969742384874622977,2018-03-02,01:12:56,UTC,NYimpeachTrump,"@LeeAnn0920 @ByJasonKlein Hey kiddo. I coach little league and girls rock. You can do ANYTHING. Have fun and listen to your Dad. ;)
",None
969719854784745472,2018-03-02,23:43:24,UTC,NYimpeachTrump,"@owillis I don't hate it. I love it. We need you. We don't need Whitey Racistfella. He sucks.
",None
969719085440421888,2018-03-02,23:40:21,UTC,NYimpeachTrump,"@ChrisCarlin @WFANmornings Yeah Booms.
",None
969718978485608448,2018-03-02,23:39:55,UTC,NYimpeachTrump,"@RobertMaguire_ What. In. The. Holy. F. Is. This? My child saw this video and threw a nintendo remote at me....and he is right.  TF is that?
",None
969680841608716288,2018-03-02,21:08:23,UTC,NYimpeachTrump,"How much of a disgusting, pathetic sewer is Mexico. So much crime, drugs, and violence. A doctor from Alabama is beaten to death while on vacation. Disgusting. I would rather travel elsewhere and be safe.
",None
969361715145134080,2018-03-01,00:00:17,UTC,NYimpeachTrump,"@G17Esiason I mean...i guess. That's cardboard looks slightly better than the pizza. Read your post about cf. Learned your struggle. Your a brave dude. How can I donate and help?
",None
969359972713816064,2018-03-01,23:53:21,UTC,NYimpeachTrump,"@G17Esiason You made my avatar this way when you placed the order.  Don't you blame me for your unwise choice. Side note: the cinnamon bites are delicious.
",None
969357911796436992,2018-03-01,23:45:10,UTC,NYimpeachTrump,"@G17Esiason You chose unwisely friend.
",None
968993828005924864,2018-02-28,23:38:26,UTC,NYimpeachTrump,"@SLombardi31 Their gonna crush it.
",None
968642501279191041,2018-02-27,00:22:23,UTC,NYimpeachTrump,"@CollinRugg A proud Christian mocking survivors. Amazing. Sick.
",None
968267219850362881,2018-02-26,23:31:09,UTC,NYimpeachTrump,"@FedEx Huge mistake. I will never use Fed Ex. Disgusting.
",None
968168813459132416,2018-02-26,17:00:07,UTC,NYimpeachTrump,"Our voice, our values, our union. #ImStickingWithOurUnion #NYSUT http://thndr.me/4gYTs2pic.twitter.com/YU3B8bRepl
","['ImStickingWithOurUnion', 'NYSUT']"
967963181669896192,2018-02-25,03:23:01,UTC,NYimpeachTrump,"@GOP Metal detectors, guns, arming teachers, bulletproof glass, perimeter fencing....@Gop plans for our schools. ""Hardening"" as they call it.
",None
967908933422723072,2018-02-25,23:47:27,UTC,NYimpeachTrump,"@Revco01 Amazing
",None
967908738920337408,2018-02-25,23:46:40,UTC,NYimpeachTrump,"@RepLeeZeldin @Kiki_7386 So true!
",None
967501844921667584,2018-02-24,20:49:49,UTC,NYimpeachTrump,"@davidaxelrod I lost my teaching job in 2011 because my school district couldn't afford to pay for teachers. Now they want to pay to arm teachers. I will believe it when I see it.
",None
967463710401974272,2018-02-24,18:18:17,UTC,NYimpeachTrump,"@FinnBalor Finn.........
",None
967463404477837312,2018-02-24,18:17:04,UTC,NYimpeachTrump,"@krn7777 Kushner is not going to do well in prison. Yiked
",None
967462182836465664,2018-02-24,18:12:13,UTC,NYimpeachTrump,"@NRA @amazon @JeffBezos @joncoopertweets Amazon, You have until Monday. Then, we cancel too.
",None
967461411524874240,2018-02-24,18:09:09,UTC,NYimpeachTrump,"@FedEx It isn't the law abiding owners we fear. It's the military style assault weapons in the hands of the insane. We will have common sense gun control.  This should not effect the law abiding owners.
",None
967447488654430210,2018-02-24,17:13:50,UTC,NYimpeachTrump,"@ashleyfeinberg Yeah, but if you join, you get a pin. The @NRA is an embarrassment
",None
