ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
968276591964049409,2018-02-26,00:08:23,UTC,NancyHassett,"Yeah .... run in and hide!https://twitter.com/riotwomennn/status/968169610775326728
",None
956869239113175040,2018-01-26,12:39:39,UTC,NancyHassett,"@DemRedistrict @AriBerman @EricHolder Find one of the many groups like American Promise who are moving us toward passage of the 28th Amendment, ending Citizens United.
",None
956868756378210304,2018-01-26,12:37:43,UTC,NancyHassett,"@SethAbramson @Angelux1111 It was my understanding that he was directed to investigate anything possibly criminal that came up in the course of investigating collusion. I'm sure he'll keep following any hint of criminal activity.
",None
942868419245957120,2017-12-18,21:25:23,UTC,NancyHassett,"Yep, Sen. Corker doesnt know whats going on with the tax bill and the real estate provision benefiting him. Good thing hes retiring! #CorkerKickback
",CorkerKickback
939942033602613254,2017-12-10,19:36:58,UTC,NancyHassett,"@TomPerez @YvetteKopp @AlsoWonderWoman @psLove_Summer @persisting2017 @odetteroulette @BaronNoah If youre a young voter look up Eric Cantor. That shows what can happen. He, the incumbent & House Whip, lost the primary because Dems crosses over.
",None
936802438761234432,2017-12-01,03:41:21,UTC,NancyHassett,"This just angers me!https://twitter.com/ASlavitt/status/936683137203163136
",None
936792252885508096,2017-12-01,03:00:52,UTC,NancyHassett,"@SenatorCollins Not going to happen. You should know better than to trust McConnell. Afraid you will pay for this vote next time you run for reelection. By then, your middle class constituents will have started feeling the pain!
",None
934965194538782721,2017-11-26,02:00:47,UTC,NancyHassett,"Thank you @DavidBegnaud for keeping this in front of us. Can you get it on #CBSNews every night? And any real victim count yet?https://twitter.com/DavidBegnaud/status/934827396892581888
",CBSNews
934964572154466304,2017-11-26,01:58:19,UTC,NancyHassett,"Just sayin'!https://twitter.com/RWPUSA/status/934887177871294465
",None
928773419730194432,2017-11-09,23:56:53,UTC,NancyHassett,"Sign the petition: Home Pagehttp://www.interfaithclimatestatement.org/?recruiter_id=53911
",None
917122711163424770,2017-10-08,20:21:08,UTC,NancyHassett,"@mike_pence @realDonaldTrump Here's an example of a #realleaderhttps://www.cbssports.com/nfl/news/heres-how-nate-boyer-got-colin-kaepernick-to-go-from-sitting-to-kneeling/
",realleader
915356868545048576,2017-10-03,23:24:18,UTC,NancyHassett,"@Calebkeeter I'm a Progressive. Thank you for your words. You are one of many baby steps we will need to change our gun laws. Please continue 2b a voice!
",None
912822345810706432,2017-09-26,23:33:01,UTC,NancyHassett,"Democrats are working to win elections from the school board to the Senate, but we need your help. Register to vote:http://IWillVote.com
",None
