ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
971462991467237383,2018-03-07,19:10:00,UTC,Pmricciuti,"watching traffic not moving on the Schuylkill expressway with @FOX29philly. so glad im home. be careful out there.
",None
971445003515031566,2018-03-07,17:58:32,UTC,Pmricciuti,"@FOX29philly  STAY ON
",None
971430201447075840,2018-03-07,16:59:42,UTC,Pmricciuti,"P.S. @FOX29philly Im in Downingtown, so nice of you to come to our town. send the crew to the the Coffe Cup  or   Green St  Grill to warm up.
",None
971429506580910082,2018-03-07,16:56:57,UTC,Pmricciuti,"@FOX29philly Loving your coverage.  Get Jenn F a drink and let her go home.
",None
933715802842378243,2017-11-23,15:16:09,UTC,Pmricciuti,"@WMMR Its Thanksgiving. How do I know, because Pierre is hosting #Alicesrestaurant @wmmr.  we are thankful for this entertainment 
",Alicesrestaurant
876248220036464640,2017-06-17,01:20:30,UTC,Pmricciuti,"#MountainJam #lovemesomegaryclarkjrpic.twitter.com/hBou0o1oa2
","['MountainJam', 'lovemesomegaryclarkjr']"
876247925948637184,2017-06-17,01:19:20,UTC,Pmricciuti,"This is how I JAM #garyclarkjr #MountainJam #pic.twitter.com/WF6WxRDazs
","['garyclarkjr', 'MountainJam', '']"
876152724311638016,2017-06-17,19:01:02,UTC,Pmricciuti,"Ready for the #strumbellas#MNTJAM
","['strumbellas', 'MNTJAM', 'MNTJAM']"
875847263804903424,2017-06-16,22:47:14,UTC,Pmricciuti,"I just enjoyed #TheRevivalist #MountainJam
","['TheRevivalist', 'MountainJam']"
875762613866692608,2017-06-16,17:10:52,UTC,Pmricciuti,"#shootingstraightpic.twitter.com/ooKBBu9URx
",shootingstraight
773891090638336000,2016-09-08,14:29:48,UTC,Pmricciuti,"#joico intensitypic.twitter.com/8oO2bvedUa
",joico
