ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
930231375999000576,2017-11-13,00:30:17,UTC,ScottDavidG,"Sitting in a waiting room with three other adults. In the last 20 minutes nobody has said a word or made eye contact. Our kids are all in a social skills group. What the fuck is going on? #240characters #socialskills #adulting
","['240characters', 'socialskills', 'adulting']"
928496487998345216,2017-11-08,05:36:28,UTC,ScottDavidG,"Looks like @carriegravenson got it right on Timehop.pic.twitter.com/LnIs0TOqVL
",None
927641798759145472,2017-11-06,21:00:14,UTC,ScottDavidG,"@hotmesspodcast @lubination @chemda @KeithMalley @keithandthegirl @AndreaComedy Instead of saying mistake you should have said. ""We reconfigured the vebue so we could add additional seats""
",None
926536725333200898,2017-11-03,19:49:04,UTC,ScottDavidG,"But @AndreaComedy  it's sold out
",None
916125015636168704,2017-10-05,02:16:39,UTC,ScottDavidG,"Been listening to @SenatorMenendez speak to the Senate for over 20 min-still get same weird tingly feeling every time he says ""Puerto Rico"".
",None
899684487327391744,2017-08-21,17:27:51,UTC,ScottDavidG,"Trump goes blind after viewing the eclipse believing he has the greatest eyes and doesn't need glasses. #EclipseDay #Trump
","['EclipseDay', 'Trump']"
897257409986646018,2017-08-14,00:43:31,UTC,ScottDavidG,"Anyone heading to Trump Tower tonight? #protest #DumpTrump #Resist #itmfa
","['protest', 'DumpTrump', 'Resist', 'itmfa']"
874988075272810496,2017-06-14,13:53:08,UTC,ScottDavidG,"Rpbn lawmakers have blood on their hands,deserve to be tried,convicted, lined up on a field, shot. Don't like skipping trial-don't feel bad.
",None
872801533196414977,2017-06-08,13:04:36,UTC,ScottDavidG,"""The president faces questions on obstruction"". To be fair he doesn't know what obstruction is. #ComeyDay #washingtonpost #Trump
","['ComeyDay', 'washingtonpost', 'Trump']"
860110079906938882,2017-05-04,12:33:17,UTC,ScottDavidG,"@AndreaComedy It should be illegal to put on cologne anywhere that you can't smoke.
",None
853940414059094017,2017-04-17,11:57:14,UTC,ScottDavidG,"@keithandthegirl I'm about to be on the #KATGathon! @KeithandTheGirlpic.twitter.com/ZM0SkN1O34
",KATGathon
853883856734363649,2017-04-17,08:12:30,UTC,ScottDavidG,"@keithandthegirl I'm about to be on the #KATGathon! @KeithandTheGirlpic.twitter.com/C1pGVJXisS
",KATGathon
846078741218562048,2017-03-26,19:17:45,UTC,ScottDavidG,".@mollyknefel your point is just as good regardless of who owns sesame Street.
",None
846024842226941953,2017-03-26,15:43:35,UTC,ScottDavidG,"I feel smarter each week after listening to @JewdyGold and @HennessyHaole 's podcast Kill Me Now. @KerryButlerNyc is so cool.
",None
845097679055147008,2017-03-23,02:19:22,UTC,ScottDavidG,"Worst part about my wife having a late meeting-I'm not allowed under the covers if she's not going to bed. #marriedlife #thisblanketIScomfy
","['marriedlife', 'thisblanketIScomfy']"
842381077595447296,2017-03-16,14:24:34,UTC,ScottDavidG,"If I had $1 for every time I locked my key in the car I could probably buy an 1/8. #ADD #lateforwork
","['ADD', 'lateforwork']"
841730064181940224,2017-03-14,19:17:40,UTC,ScottDavidG,"Hellz yahttps://twitter.com/chemda/status/841666724021821440
",None
840676551238787075,2017-03-11,21:31:23,UTC,ScottDavidG,"It's amazing that Coke and Pepsi never gets old when you're 13. #barmitzvah
",barmitzvah
831007187002650624,2017-02-12,05:08:47,UTC,ScottDavidG,"Everybody is watching @RepKevinBrady to see if he steps up and requests Trumps taxes #waysandmeans
",waysandmeans
829752563343958016,2017-02-09,18:03:21,UTC,ScottDavidG,"The Republican base wants to defedralize education-mostly so they could teach alternative facts in less progressive states. #DumpTrump
",DumpTrump
829112238829142017,2017-02-07,23:38:56,UTC,ScottDavidG,"It's sad that i'm done with @Yuengling_Beer but not as sad as the state of our country #DumpTrump
",DumpTrump
810239324860149760,2016-12-17,21:44:43,UTC,ScottDavidG,"I sometimes look at it but will not now that I know this.  First GBWR, now this. Thanks @AmberSmelson #GuinnessWorldRecord #imdb
","['GuinnessWorldRecord', 'imdb']"
799836860625354752,2016-11-18,04:49:02,UTC,ScottDavidG,"He's compiling the most horrific cabinet, on Inauguration Day he sits them all down at a Board Room table ... You're Fired.#TrumpIsComing
",TrumpIsComing
799746257606602752,2016-11-18,22:49:01,UTC,ScottDavidG,"Never Forget always referred to the Holocaust until 9/11. Now that it has been rebranded how quickly we forgot. #neverforget #TRUMP
","['neverforget', 'TRUMP']"
795996107625103360,2016-11-08,14:27:15,UTC,ScottDavidG,"I feel like today is the one day we can talk about the election. #ImWithHer #Election2016 #stressedout #scared #PresidentHillaryClinton
","['ImWithHer', 'Election2016', 'stressedout', 'scared', 'PresidentHillaryClinton']"
792057885131939840,2016-10-28,17:38:10,UTC,ScottDavidG,"Hey @ChemdasTumor you made it big ... People are making sketches of you!https://twitter.com/chemda/status/792036459184357376
",None
789610494885826560,2016-10-21,23:33:06,UTC,ScottDavidG,"Every year I come to the #outlawroadshow and watch amazing bands (for free). Thanks @CountingCrows and @theRSL
",outlawroadshow
784899193374638080,2016-10-08,23:32:05,UTC,ScottDavidG,"You two are amazing @JewdyGold @JewdysAssistant. Been catching up on the last 5 episodes. #killmenow.
",killmenow
784814690690039808,2016-10-08,17:56:18,UTC,ScottDavidG,"@keithandthegirl @Ragingapathetic please don't make us choose.
",None
783872001870102528,2016-10-05,03:30:23,UTC,ScottDavidG,"Yes @JewdyGold Blue A does take three times longer then they say to prep.
",None
783863099719811072,2016-10-05,02:55:01,UTC,ScottDavidG,"When you put your ear up to the top of a glass bong you could hear the ocean #noreally
",noreally
783306368887521281,2016-10-04,14:02:46,UTC,ScottDavidG,"The show went so smoothly I'm not sure @KeithMalley even noticed that @Ragingapathetic was filling for @chemda.#KATG
",KATG
783299969264517120,2016-10-04,13:37:20,UTC,ScottDavidG,"As expected @Ragingapathetic smoothly transitions #katg into @chemda 's recovery season.https://youtu.be/oKQYij5dVoY
",katg
782643852159094784,2016-10-02,18:10:09,UTC,ScottDavidG,"If you get to renegotiate the white bread grain we buy after 15 years we can surely renegotiate what drugs I experiment with. #marriage
",marriage
782074591304974336,2016-09-30,04:28:07,UTC,ScottDavidG,"Opened AIM and in a group named offline all the old screen names from two decades ago scrolled across the screen. #aim #childhood
","['aim', 'childhood']"
781121818228826112,2016-09-28,13:22:08,UTC,ScottDavidG,"@LaurenHennessy Omg @JewdyGold and @laurenhennessy do a post-debate interview with @realDonaldTrump #killmenow #debatenight #Election2016
","['killmenow', 'debatenight', 'Election2016']"
776048674136793088,2016-09-14,13:23:16,UTC,ScottDavidG,"@HillaryClinton your campaign office customer service doesn't answer phones or call back messages. PM me if you care to help.
",None
775842162252578816,2016-09-13,23:42:40,UTC,ScottDavidG,"Gonna keep everything from camping in the backseat all week, cause I'm lazy but also because I'm hoping my car picks up that campfire smell.
",None
758033333452505088,2016-07-26,20:16:44,UTC,ScottDavidG,"Isn't misspelling privelage in itself a privilege? #privelage #privilege
","['privelage', 'privilege']"
740570356461752320,2016-06-08,15:45:06,UTC,ScottDavidG,"Facebook needs a new reaction button this morning ""hesitantly likes"" the icon would have the thumb going up real slowly. #ImWithHer
",ImWithHer
740351865607577600,2016-06-07,01:16:54,UTC,ScottDavidG,"What is he even talking about? He just says things. #trump
",trump
737662144406278144,2016-05-31,15:08:54,UTC,ScottDavidG,"This morning I ignorantly asked if they also sell shirts that say ""whte girls rock"" or ""Asian girls rock"" but now I'm woke. #BlackGirlsRock
",BlackGirlsRock
737643600041943040,2016-05-31,13:55:13,UTC,ScottDavidG,"Check out this LIVE episode of @MykaFox & Friends from #KATGVIP Night 2016!http://bit.ly/1PdETag
",KATGVIP
737643539459387392,2016-05-31,13:54:59,UTC,ScottDavidG,"@lubination Watch this LIVE Ten Minute Mess w/ @AndreaComedy & @Lubination from #KATGVIP Night 2016! http://bit.ly/1O05YNM
",KATGVIP
737643489119358976,2016-05-31,13:54:47,UTC,ScottDavidG,"@LaurenHennessy Watch this LIVE Bottoms Up w/ @laurenhennessy from #KATGVIP Night 2016! http://bit.ly/25uUWoa
",KATGVIP
737643428243181568,2016-05-31,13:54:32,UTC,ScottDavidG,"@dannyhatch Check out this LIVE episode of That's the Show w/ @DannyHatch from #KATGVIP Night 2016! http://bit.ly/1OZ4PRu
",KATGVIP
722774397556273152,2016-04-20,13:10:19,UTC,ScottDavidG,"I love when my wife comes out with me in public, I appear so much more normal.
",None
709161948592603137,2016-03-13,23:39:18,UTC,ScottDavidG,"I know they say the elephants are done with the circus, but we all know they'll do a reunion show in a couple years.
",None
709159393825333249,2016-03-13,23:29:09,UTC,ScottDavidG,"If you stay up past the time change you don't actually lose an hour of sleep.
",None
707376501499494401,2016-03-08,01:24:35,UTC,ScottDavidG,", @AmberSmelson is drinking a Hurricane like the same as a juice cleanse?
",None
704318431307366400,2016-02-29,14:52:54,UTC,ScottDavidG,"Period 2 is about to be SO boring without @charlietahan
",None
703629950256062465,2016-02-27,17:17:07,UTC,ScottDavidG,"Please @HillaryClinton stop coughing into microphones. I just can't. #katg #stopmicrophonecoughing2016
","['katg', 'stopmicrophonecoughing2016']"
702516115449118721,2016-02-24,15:31:08,UTC,ScottDavidG,"Being married to my wife is like living life in a bad comedy open mic. #wouldntkillyoutolaughsometimes #justalittlepositivefeedbackplease
","['wouldntkillyoutolaughsometimes', 'justalittlepositivefeedbackplease']"
701580776354291720,2016-02-21,01:34:26,UTC,ScottDavidG,"Is it lame when your safe word is ""stop, no""? #askingforafriend
",askingforafriend
701457015198064640,2016-02-21,17:22:39,UTC,ScottDavidG,"After hearing @StevenSchirripa on @keithandthegirl this week I bought @jmdGaz a jar of Arrabiata at Shop rite #unclestevesny #katg.
","['unclestevesny', 'katg']"
700755572392665088,2016-02-19,18:55:22,UTC,ScottDavidG,"In a strange twist of fate, Harper Lee was killed by a mocking bird.
",None
