ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
971824192076288001,2018-03-08,19:05:17,UTC,UT_mish3al,"I swear to God, every single time I read a tweet from the #NeverAgain movement in America......devastating. #GunControl #gunlawreform
","['NeverAgain', 'GunControl', 'gunlawreform']"
971816396530307072,2018-03-08,18:34:19,UTC,UT_mish3al,"YYYAASSS THOSE #CATNIPAFTERHOURS TICKETS ARE SELL-ING (*_*) #austin #underground #rave #techno #house #techhouse #breaks #slutbass #sxsw #sxsw2018 EVENT: https://www.facebook.com/events/1854145547929956/ TKTS:https://www.eventbrite.com/e/catnip-after-hours-tickets-43513437864
","['CATNIPAFTERHOURS', 'austin', 'underground', 'rave', 'techno', 'house', 'techhouse', 'breaks', 'slutbass', 'sxsw', 'sxsw2018']"
971769777097232384,2018-03-08,15:29:04,UTC,UT_mish3al,"@eats_everything BOO!!! Your ""EB053 - edible bEats - Eats Everything live from ELROW at Toffler Festival"" is fucking ridiculous. I'm absolutely jamming in the office like yyyyaaassss. #techno #techhouse #musicpic.twitter.com/4OzVkyDAuU
","['techno', 'techhouse', 'music']"
971737830966906881,2018-03-08,13:22:07,UTC,UT_mish3al,"Sexiest candy #rave in #Austin this Caturday March 10th? The #CATNIPAFTERHOURS. #underground https://www.instagram.com/p/BgEFDm_DynW/
","['rave', 'Austin', 'CATNIPAFTERHOURS', 'underground']"
971587194048712704,2018-03-07,03:23:32,UTC,UT_mish3al,"Sexiest candy #rave in #Austin this Caturday March 10th? The #CATNIPAFTERHOURS. #underground https://www.instagram.com/p/BgDAjhBjVfS/
","['rave', 'Austin', 'CATNIPAFTERHOURS', 'underground']"
971556062061973504,2018-03-07,01:19:50,UTC,UT_mish3al,"Sexiest candy #rave in #Austin this Caturday March 10th? The #CATNIPAFTERHOURS. #underground https://www.instagram.com/p/BgCyUkVDHI9/
","['rave', 'Austin', 'CATNIPAFTERHOURS', 'underground']"
971552161275539456,2018-03-07,01:04:20,UTC,UT_mish3al,"Sexiest candy #rave in #Austin this Caturday March 10th? The #CATNIPAFTERHOURS. #underground #house #techhouse #techno #breaks #slutbass all in a secret warehouse location close to DT. #openbar #sxsw #sxsw2018 #SXSWinteractive https://www.facebook.com/events/1854145547929956/
","['rave', 'Austin', 'CATNIPAFTERHOURS', 'underground', 'house', 'techhouse', 'techno', 'breaks', 'slutbass', 'openbar', 'sxsw', 'sxsw2018', 'SXSWinteractive']"
971505922609729536,2018-03-07,22:00:36,UTC,UT_mish3al,"#austin Dope video that a devotee made from last year's #CATNIPAFTERHOURS #party This year, venue is BRAND NEW, bigger & we've sold more tickets. #sxsw #sxsw2018 #rave SATURDAY 3/10 #techno #techhouse https://www.youtube.com/watch?v=4Bkzri_Rk_4 TKTS: https://www.eventbrite.com/e/catnip-after-hours-tickets-43513437864
","['austin', 'CATNIPAFTERHOURS', 'party', 'sxsw', 'sxsw2018', 'rave', 'techno', 'techhouse']"
971467470405095424,2018-03-07,19:27:48,UTC,UT_mish3al,"@cameron_kasky I am soooooooo impressed by you all channeling that nightmare into perhaps the most important national discussion of our era. BRAVO. I would love to see people like @BernieSanders @SenWarren @BarackObama join you in the #NeverAgain March and other events.
",NeverAgain
971455024437039104,2018-03-07,18:38:21,UTC,UT_mish3al,"@AnnieMac Hey there! First of all, huge fan :D I've noticed that the Free Music Mondays has really fallen off its previously regular schedule. Any updates? Will it ever pick up in frequency again? @BBCR1 #MusicMonday
",MusicMonday
