ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
971428988903190528,2018-03-07,16:54:53,UTC,chesrite,"@WCVB @BillyCosta @EdWCVB @elliefund @mariastephanos The beauty between two fine looking men who know who they are keeping their eyes on!! 
",None
970217537500778496,2018-03-04,08:41:01,UTC,chesrite,"@CantonFire1 So glad to hear they are okay! Awesome job by all!
",None
968315936469069825,2018-02-26,02:44:44,UTC,chesrite,"@NicoleOliverio @KrisAndersonTV You are one lucky guy Kris! They must really love you to give you that big a stash!! Or is a trade for a present you brought them from vacation?!?! Welcome back! 
",None
966352527229931520,2018-02-21,16:42:51,UTC,chesrite,"Christa it was really nice seeing you this morning. Good luck with the new job. You are a wonderful compliment.
",None
964183914054111232,2018-02-15,17:05:33,UTC,chesrite,"@RachaelRayShow @rachaelray Rachael...these young chefs going for the scholarship are A-M-A-Z-I-N-G!!! Each day I think I want that one to win and needless to say it has changed each day! Please get some chef friends to help sponsor ALL!!  Jody, Boston #RachaelRayYoungChefs
",RachaelRayYoungChefs
963905855501594625,2018-02-14,22:40:39,UTC,chesrite,"undefined http://bit.ly/2kOfshQ
",None
962118882386497536,2018-02-09,00:19:51,UTC,chesrite,"@mariastephanos @EdWCVB Hi guys... I think Elon Musk was born before his time. Although what a meeting it would have been with him, the Wright Brothers and Walt Disney! I wonder what those minds together would do?! 
",None
961713402086350850,2018-02-08,21:28:37,UTC,chesrite,"@HeatherUnruh So gorgeous and what a handsome little guy. A very Happy Birthday to a very handsome and brave young man!! #NeverGiveUp #StillStandingWithHeatherUnruh
","['NeverGiveUp', 'StillStandingWithHeatherUnruh']"
960499009625493504,2018-02-05,13:03:03,UTC,chesrite,"@Patriots Thank you Patriots for giving us another great exciting year!!! You can work on a comeback next year!! We love you All!!!! 
",None
960366347862663168,2018-02-04,04:15:54,UTC,chesrite,"@kmst922  Apparently to replace the wardrobe malfunction this yearhttps://twitter.com/nbcsportspr/status/960319336874430464
",None
