ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
971980752534388736,2018-03-08,05:27:24,UTC,chocojo,"@TheGigiGorgeous AAAAAAHHHHHHHH Congratulations to both of you !!!!
",None
971980399302795265,2018-03-08,05:26:00,UTC,chocojo,"All kinds of tragic happenings while we are distracted with nonsense #makeitstophttps://twitter.com/TheEllenShow/status/971878661459607552
",makeitstop
967933722728083456,2018-02-25,01:25:57,UTC,chocojo,"@Sharigirltn 
",None
967915752488603648,2018-02-25,00:14:33,UTC,chocojo,"Fed Up #BoycottFedEx
",BoycottFedEx
967244027207847938,2018-02-23,03:45:21,UTC,chocojo,"#BanAssaultWeaponshttps://twitter.com/funder/status/966882986032418817
",BanAssaultWeapons
966867122793070592,2018-02-22,02:47:40,UTC,chocojo,"#BanAssaultWeaponshttps://twitter.com/funder/status/966866026683125762
",BanAssaultWeapons
966859237472190464,2018-02-22,02:16:20,UTC,chocojo,"https://twitter.com/deejay90192/status/966823439360233472
",None
966858653595664385,2018-02-22,02:14:01,UTC,chocojo,"THIS THIS SO MUCH THIS!!!! https://twitter.com/TheRickyDavila/status/966784876803477507
",None
966856308619075584,2018-02-22,02:04:41,UTC,chocojo,"#banassaultweapons and #banrussianbots
","['banassaultweapons', 'banrussianbots']"
966828248540868608,2018-02-22,00:13:11,UTC,chocojo,"So...let me make sure I get this right: we dont have enough to pay teachers more money...unless they carry a gun:... #NRABloodMoney #BanAssaultWeapons #MakeItStop
","['NRABloodMoney', 'BanAssaultWeapons', 'MakeItStop']"
966720875952156673,2018-02-22,17:06:32,UTC,chocojo,"This is beyond belief.... Florida Shooting Survivors Are Being Targeted by Conspiracy Theories. Here's What to Know - TIMEhttps://apple.news/AlQKiS_pZTGyAGXHPM4iHrQ
",None
965312611830018048,2018-02-18,19:50:35,UTC,chocojo,"C'mon young people! So proud!!!https://twitter.com/PoliticalEmilia/status/965245046466293761
",None
965309052124250112,2018-02-18,19:36:27,UTC,chocojo,"This https://twitter.com/mattmfm/status/964485172300337153
",None
964604180651388928,2018-02-16,20:55:32,UTC,chocojo,"@BarackObama This 
",None
962132282155810816,2018-02-09,01:13:06,UTC,chocojo,"Surprise surprise....Trump won't declassify Democratic memo, sends back to committee - CNN Politicshttps://apple.news/AJRzL7Z_DQgCeokW8YLAq4w
",None
960205876995932160,2018-02-04,17:38:15,UTC,chocojo,"@TransyouthCare Day 2 of our training in Los Angeles! Great crowd!!
",None
960204830827454464,2018-02-04,17:34:06,UTC,chocojo,"@POTUS @realDonaldTrump Congressman, there are no words to express gratitude for the remaining sanity in the Congress. @tedlieu
",None
956731858280071169,2018-01-25,03:33:44,UTC,chocojo,"#TrumpShutdownhttps://twitter.com/funder/status/954165292376166400
",TrumpShutdown
956701176996614145,2018-01-25,01:31:49,UTC,chocojo,"It's Mueller Time!!!!https://twitter.com/dukeduluth/status/956699447630671873
",None
956699641478709249,2018-01-25,01:25:43,UTC,chocojo,"Trump tries to fire Mueller, but backed off when White House counsel threatened to quit. #evidenceofobstructionpic.twitter.com/SJRoeF19Ov
",evidenceofobstruction
949677638188072961,2018-01-06,16:22:47,UTC,chocojo,"@janicemin 
",None
947885042042155008,2018-01-01,17:39:39,UTC,chocojo,"WE MISS YOU, SIR!https://twitter.com/BarackObama/status/946775615893655552
",None
947723382191144960,2017-12-31,06:57:16,UTC,chocojo,"LET'S MAKE AMERICA IN THE 21st CENTURY AGAIN!!!!! #Bye2017Hello2018pic.twitter.com/633Fno5O13
",Bye2017Hello2018
946787779421159429,2017-12-29,16:59:31,UTC,chocojo,"This. https://twitter.com/thereaIbanksy/status/946215417051336704
",None
943172074444435456,2017-12-19,17:32:00,UTC,chocojo,"@SethAbramson When will it end? #ImpeachNow
",ImpeachNow
942217003938353153,2017-12-16,02:16:53,UTC,chocojo,"Trump just invalidated and outlawed my entire lifes work.  #CDC7words
",CDC7words
942216075353014272,2017-12-16,02:13:12,UTC,chocojo,"Mic drop https://twitter.com/brooke_laflamme/status/941876816658288641
",None
940841182892122119,2017-12-12,07:09:52,UTC,chocojo,"Grateful for the 96% of black women in Alabama who made history today!! #AlabamaSenateRacepic.twitter.com/uw6BZS0SyS
",AlabamaSenateRace
940838942647218176,2017-12-12,07:00:58,UTC,chocojo,"Roy Moore, still not taking ""no"" for an answer. Just like when he was sexually assaulting minors. #AlabamaSenateElectionhttps://twitter.com/msnbc/status/940821104452661250
",AlabamaSenateElection
940793294585393152,2017-12-12,03:59:35,UTC,chocojo,"#AlabamaSenate see ya later alligator! In a while, pedophile! Celebrating Doug Jones!!
",AlabamaSenate
938993586359582721,2017-12-07,04:48:11,UTC,chocojo,"Thank you firefighters!!! #SkirballFire
",SkirballFire
937853392981966849,2017-12-04,01:17:28,UTC,chocojo,"Please impeach 45, hes a public hazard!!!!#ImpeachNow
",ImpeachNow
929791347153702912,2017-11-12,19:21:46,UTC,chocojo,"https://twitter.com/chloedancer/status/929615619951026176
",None
924044903096528896,2017-10-27,22:47:27,UTC,chocojo,"https://twitter.com/mmflint/status/923016079789645825
",None
924044793839095809,2017-10-27,22:47:01,UTC,chocojo,"https://twitter.com/hillaryclinton/status/923634044457422848
",None
921536098186211329,2017-10-20,00:38:21,UTC,chocojo,"Someone else should occupy this house  #NotMyPresidentpic.twitter.com/JSD4Vee7O5
",NotMyPresident
921535653325795328,2017-10-20,00:36:35,UTC,chocojo,"Im just gonna leave this here. Enjoy the irony. @chloedancerpic.twitter.com/yqdV2mSY52
",None
921038242643922944,2017-10-19,15:40:03,UTC,chocojo,"Amazing!https://twitter.com/JessieNYC/status/920643899646971904
",None
920518777221058562,2017-10-17,05:15:53,UTC,chocojo,"read it. They knew that eventually someone like 45 would become president.https://twitter.com/peterdaou/status/919564722797768724
",None
919651489622114304,2017-10-15,19:49:36,UTC,chocojo,"@BetteMidler @brontyman @tribelaw Obama envy
",None
919650884685938688,2017-10-15,19:47:11,UTC,chocojo,"Lies lies and more lies. https://twitter.com/realdonaldtrump/status/919162619889704961
",None
910578410669318144,2017-09-20,18:56:25,UTC,chocojo,"https://twitter.com/peterdaou/status/910327004339326976
",None
910199077668655105,2017-09-19,17:49:05,UTC,chocojo,"@SenCapito say NO to Graham Cassidy. We must have bi-partisan solution to strengthen healthcare for all!!
",None
910198990481657856,2017-09-19,17:48:44,UTC,chocojo,"@lisamurkowski say NO to Graham Cassidy. We must have bi-partisan solution to strengthen healthcare for all!!
",None
910198874098122752,2017-09-19,17:48:16,UTC,chocojo,"@SenatorCollins say NO to Graham Cassidy. We must have bi-partisan solution to strengthen healthcare for all!!
",None
910198681390899202,2017-09-19,17:47:30,UTC,chocojo,"@SenJohnMcCain say NO to Graham Cassidy. We must have bi-partisan solution to strengthen healthcare for all!!
",None
909649915382341632,2017-09-17,05:26:54,UTC,chocojo,"#TransparentTV #TransMan #transgenderhttps://twitter.com/chocojo/status/909649777104609281
","['TransparentTV', 'TransMan', 'transgender']"
909649777104609281,2017-09-17,05:26:21,UTC,chocojo,"Consider donating to the endeavor to create this amazing bionic prosthetic!https://transthetics.com/the-bionic-stage-1/?inc_ref=am9sc29uMjAxMkBnbWFpbC5jb21fNDg1
",None
903329919513444352,2017-08-31,18:53:30,UTC,chocojo,"thanks for the ongoing genuine leadershiphttps://twitter.com/billclinton/status/902953673885659148
",None
901953671172259840,2017-08-27,23:44:47,UTC,chocojo,"https://twitter.com/jackiec1989/status/901947946916294658
",None
901940891522301957,2017-08-27,22:54:00,UTC,chocojo,"https://twitter.com/chloedancer/status/901917084564598784
",None
901913600972939264,2017-08-27,21:05:33,UTC,chocojo,"What's happening in Houston is unimaginable #hurricaneharvy
",hurricaneharvy
901643190016425984,2017-08-26,03:11:02,UTC,chocojo,"https://twitter.com/senfranken/status/901238462321438720
",None
901331046406303745,2017-08-25,06:30:42,UTC,chocojo,"https://twitter.com/chloedancer/status/901330846229028866
",None
901330413536165888,2017-08-25,06:28:11,UTC,chocojo,"https://twitter.com/georgetakei/status/901237219125547009
",None
901329360145100800,2017-08-25,06:24:00,UTC,chocojo,"thishttps://twitter.com/middleageriot/status/900724073323515905
",None
893517829143617536,2017-08-04,17:03:45,UTC,chocojo,"@4th_WaveNow I don't know who you are, or why you say such horrible things about me, I would love to sit down and talk
",None
892836245574787072,2017-08-02,19:55:23,UTC,chocojo,"Surprise surprise https://twitter.com/joncoopertweets/status/892786015793852416
",None
892835767734513670,2017-08-02,19:53:29,UTC,chocojo,"@SenateDems fund anti-choice candidates? You have lost, and that is sad
",None
892834591991451648,2017-08-02,19:48:49,UTC,chocojo,"thishttps://twitter.com/chloedancer/status/892763407119601664
",None
890281668048703488,2017-07-26,18:44:24,UTC,chocojo,"He's coming after the trans community; low hanging fruit and he needs a win. Classic bully https://amp.cnn.com/cnn/2017/07/26/politics/trump-military-transgender/index.html
",None
890100654940860416,2017-07-25,06:45:08,UTC,chocojo,"This. C'mon! Evolve, hunans!!https://twitter.com/timlampe/status/889928271953113088
",None
890099965502074880,2017-07-25,06:42:23,UTC,chocojo,"This is gonna make a hell of a text book some day!https://twitter.com/chloedancer/status/890095773937012736
",None
890011494674386945,2017-07-25,00:50:50,UTC,chocojo,"This  https://twitter.com/mattyglesias/status/889924830795096064
",None
889361022951145472,2017-07-23,05:46:06,UTC,chocojo,"https://twitter.com/chloedancer/status/889165150980153345
",None
889360192260800512,2017-07-23,05:42:48,UTC,chocojo,"Isn't Trump not testifying under oath just a really long tweet? @funder @chloedancer
",None
889356492339531776,2017-07-23,05:28:05,UTC,chocojo,"https://twitter.com/brontyman/status/888571037637525504
",None
