ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
972461972133466112,2018-03-10,13:19:36,UTC,cwessel16,"@realDonaldTrump @SpeakerRyan @tedlieu When will they wake up. Is there no SHAME?
",None
972242675809357824,2018-03-09,22:48:11,UTC,cwessel16,"@cameron_kasky Our parties will never work together until we overturn citizens United and do campaign-finance reform. We ALL need to get the money OUT of our govt. Then our legislators can stop being beholden. #CitizensUnited # campaignfinancereform
","['CitizensUnited', '']"
972233147579600898,2018-03-09,22:10:20,UTC,cwessel16,"@SenWarren @TalbertSwan Lucky guy!
",None
971721487072808960,2018-03-08,12:17:10,UTC,cwessel16,"@xcovtvrex Wow! Masterful.
",None
971721284001378307,2018-03-08,12:16:22,UTC,cwessel16,"New to Twitter. I work in govt & have a lot to share. But its impossible to get followers. Whats the secret ladies???#internationalwomensday2018
",internationalwomensday2018
971720778667511809,2018-03-08,12:14:21,UTC,cwessel16,"@jasminrroberts I LOVE this!!!! Thanks for sharing.
",None
971410177999147010,2018-03-07,15:40:09,UTC,cwessel16,"@cameron_kasky Love this!
",None
971400670724096000,2018-03-07,15:02:22,UTC,cwessel16,"@RealJamesWoods @CZ805BREN Yep, you can thank the GOP for that. They took funding away from the risk pools to make your rates rise to do away with the ACA. #ACA
",ACA
971347847022088192,2018-03-07,11:32:28,UTC,cwessel16,"@RealRomaDowney @MarkBurnettTV @realDonaldTrump These jobs were lost to AUTOMATION!!!!!! Where are your training programs. Hillary had them all ready to roll. Oh, thats right. You dont believe in experience. You or your staff. Lol#resignations #Hiring
","['resignations', 'Hiring']"
971347086615744512,2018-03-07,11:29:26,UTC,cwessel16,"@RealRomaDowney @MarkBurnettTV @mruben1011 @fishtales50 The FLAG means FREEDOM. upside down, taking a knee all okay because he has FREEDOM to speak his mind! Get it??? FREEDOM. #TakeAKnee
",TakeAKnee
971346473433649152,2018-03-07,11:27:00,UTC,cwessel16,"@realDonaldTrump You dont even read the daily briefings. My favorite pics of Obamas was him reading briefs and policy late into the night. Always learning always prepared. #ObamaPortraits #GOPTraitors #PresidentTrump
","['ObamaPortraits', 'GOPTraitors', 'PresidentTrump']"
971168691336503298,2018-03-06,23:40:34,UTC,cwessel16,"@RealJamesWoods What is wrong with you. Youre an angry, unpopular guy. I get your depression. Why dont you sit in it yourself. Youre such a downer.
",None
971168369457160192,2018-03-06,23:39:17,UTC,cwessel16,"@RealJamesWoods Clearly you are uninformed. I wk in non profit world. ACA saves lives & continues to. Youre likely one of those ignorant people who thinks Obama care & ACA are different. Theyre the same. Admittedly there were problems w/ risk pools. GOP caused that on purpose.
",None
970851364556496897,2018-03-05,02:39:37,UTC,cwessel16,"@Everytown @AMarch4OurLives @khloekardashian DEMS NEED TO VOTE!!!!! EVERYONE get out to vote blue. Enough with the money in politics.
",None
970499014453022720,2018-03-04,03:19:30,UTC,cwessel16,"@ajplus Yup
",None
970498574046941185,2018-03-04,03:17:45,UTC,cwessel16,"Whos Mindy & what happened to her? #Oscars
",Oscars
970494871873183745,2018-03-04,03:03:03,UTC,cwessel16,"Young people speaking their minds Getting so much resistance from behind It's time we stop, hey, what's that sound Everybody look what's going down What a field-day for the heat A thousand people in the street
",None
970494734128091137,2018-03-04,03:02:30,UTC,cwessel16,"There's something happening here What it is ain't exactly clear There's a man with a gun over there Telling me I got to beware I think it's time we stop, children, what's that sound Everybody look what's going down There's battle lines being drawn Nobody's right if everybody's
",None
970452341601308672,2018-03-04,00:14:03,UTC,cwessel16,"@Elviraafterthot @newcivilrights @BobbieEzzell Love that term. clever!!
",None
970451905611816961,2018-03-04,00:12:19,UTC,cwessel16,"@annepearl1 @newcivilrights @jacieminniepep They absolutely are!!!
",None
970451816143052800,2018-03-04,00:11:57,UTC,cwessel16,"@newcivilrights This is SO SICK I thought it was a joke at first. OY!
",None
970307792069414912,2018-03-04,14:39:39,UTC,cwessel16,"@JBPritzker @DanielBiss Evidently, tapping into these teens  working on voting out any legislators with NRA money, may be a good idea. Im impressed by their reach. Go BISS! #NoNRAMoney
",NoNRAMoney
970307146213621760,2018-03-04,14:37:05,UTC,cwessel16,"@johnpavlovitz Think about this. If cheating Republicans didnt steal elec. from Gore, then we couldve had 12 fiscally healthy years. And now the RUSSIANS, gerry meandering, voter suppression. WTF! #elections #TrumpRussiaCollusion #FoxNews #Cheaters
","['elections', 'TrumpRussiaCollusion', 'FoxNews', 'Cheaters']"
970305694678376449,2018-03-04,14:31:19,UTC,cwessel16,"@ByJasonKlein Fight like a girl. I never allowed my girls to cheer. I told them, get out there & make people cheer for you!! Theyre both very confident 20 somethings.
",None
970038714545131520,2018-03-03,20:50:26,UTC,cwessel16,"@MillenPolitics Hopefully you millennials will hold them accountable because evidently my generation has lost site and fallen apart. #millenials
",millenials
969990847130370048,2018-03-03,17:40:14,UTC,cwessel16,"@DonaldJTrumpJr @TidmarshAnnette Yes it is!
",None
969990522805907456,2018-03-03,17:38:56,UTC,cwessel16,"@DonaldJTrumpJr When you & everyone around you is committing fraud, the press is here to protect us. #journalists #NewYorkTimes #washingtonpost
","['journalists', 'NewYorkTimes', 'washingtonpost']"
969981795159732224,2018-03-03,17:04:16,UTC,cwessel16,"Billionaire Carl Icahn dumps $31 million in steel-related stocks before White House tariff talkshttp://www.latimes.com/business/la-fi-carl-icahn-trump-tariffs-20180302-story.html
",None
969227386280730624,2018-03-01,15:06:30,UTC,cwessel16,"A step in the right direction!! Illinois Plan Would Raise Assault-Gun Age To 21http://www.tinyurl.com/y7q5ky7l
",None
969190517455097858,2018-03-01,12:40:00,UTC,cwessel16,"@Emma4Change KEEP ON KEEPING ON!!!! Theyre expecting you kids to give up. Theyre waiting you out. VOTE THEM OUT!!!#campaignfinancereform #citizensunited
","['campaignfinancereform', 'citizensunited']"
968294053413556224,2018-02-26,01:17:47,UTC,cwessel16,"@NRA @Delta @CaseyCagle Time to unseat you.
",None
968102330406236162,2018-02-26,12:35:56,UTC,cwessel16,"@nkleyva I agree, this story makes me sick to my core!!!!!
",None
967938502158639104,2018-02-25,01:44:56,UTC,cwessel16,"@DLoesch @chareiditz Look st their current numbers. US is much worse off. So whatever they did, its working. No time right now. Kids to feed, parenting to do.
",None
967929732561022976,2018-02-25,01:10:06,UTC,cwessel16,"@DLoesch @chareiditz Thats NRA stats. Not the stats those countries are reporting. You have to start somewhere. Start by banning guns & stopping production, gun buy backs and returning to a civilized society.
",None
967881771516923904,2018-02-25,21:59:31,UTC,cwessel16,"@DLoesch @chareiditz Excuses, excuses. If I had a hobby that killed over 50,000 people last year, Id gladly, & proudly give it up. Pretty selfish not to.
",None
967848810151120897,2018-02-25,19:48:32,UTC,cwessel16,"@DLoesch EXCUSES, EXCUSES, EXCUSES. SHAME ON YOU!!!! This is how you choose to spend your life. Youre are one sick excuse for a mother.
",None
