ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
960300941202329600,2018-02-04,23:56:00,UTC,essieburgertje,"Our little Dutch boy standing for the anthem song by the incredible beautiful and amazing powerful  @Pink pic.twitter.com/IVVm020Ivw
",None
947716775944351744,2017-12-31,06:31:01,UTC,essieburgertje,"Goodbye 2017 and hellooooo 2018!!! pic.twitter.com/P8HavpeIsQ
",None
945174937748299777,2017-12-24,06:10:40,UTC,essieburgertje,"Vrolijk kerstfeest! pic.twitter.com/DNaG7Sq17O
",None
926937163505307648,2017-11-04,22:20:16,UTC,essieburgertje,"One proud football mom!  Go Broncos !pic.twitter.com/EfG48UdD1c
",None
926936734855770114,2017-11-04,22:18:33,UTC,essieburgertje,"@gutiesmom Thank you! They won!! One step closer to the Super Bowl!
",None
926905783333392384,2017-11-04,20:15:34,UTC,essieburgertje,"Game day  lets go Broncos! pic.twitter.com/28q7U4e5BQ
",None
918680180830429184,2017-10-12,03:29:58,UTC,essieburgertje,"Yessssss we have tickets for the #BeautifulTraumaTour Looking forward to see the amazing Pink with my girls !
",BeautifulTraumaTour
906667949662113797,2017-09-09,23:57:38,UTC,essieburgertje,"Waiting for the  to go down, then it's IT timepic.twitter.com/6v60uCBiNE  at Showboat Drive-In
",None
899634838596145152,2017-08-21,14:10:34,UTC,essieburgertje,"First day @UlrichKISD , have fun Vince and learn a lot!pic.twitter.com/pF1ZLhnz1k
",None
895781285104320518,2017-08-10,22:57:55,UTC,essieburgertje,"@LateNightSeth Yessss half a century next week 
",None
888097796238303234,2017-07-20,18:06:29,UTC,essieburgertje,"Klein Cain Football  camp was fun! Thank you coaches !pic.twitter.com/2sC19fYh7h
",None
886756501649575936,2017-07-16,01:16:39,UTC,essieburgertje,"That beginning #GoTSeason7 wauw! Go Arya! Winter is coming!! Finally....pic.twitter.com/SrGh1jrHeX
",GoTSeason7
881317473135595520,2017-07-01,01:03:54,UTC,essieburgertje,"Go Astros! pic.twitter.com/R7geHYxnuk  at Minute Maid Park
",None
881229305757478912,2017-07-01,19:13:33,UTC,essieburgertje,"Cheers @ Spindletap Brewery!pic.twitter.com/lOLdYOFgTX
",None
872970060431753216,2017-06-08,00:14:16,UTC,essieburgertje,"Happy best friends day!pic.twitter.com/tU7jVF3AAc
",None
839530433352183808,2017-03-08,17:37:07,UTC,essieburgertje,"pic.twitter.com/BCW9aexsuO
",None
834510323440828417,2017-02-22,21:09:00,UTC,essieburgertje,"Celebrating national margarita day pic.twitter.com/n70EWVco3W
",None
821802749239164928,2017-01-18,19:33:38,UTC,essieburgertje,"@markburger_mlv https://m.youtube.com/watch?feature=youtu.be&v=wDe934lJlqY
",None
764665778171961344,2016-08-13,03:31:42,UTC,essieburgertje,"Awesome night at Caroline's on Broadway with @Justin_Willman ! Great show!pic.twitter.com/ls6ICN3Yxj
",None
764245240534462464,2016-08-12,23:40:38,UTC,essieburgertje,"@SeanHayes yes yes all the way from the Netherlands / Houston here to see An act of God!!!pic.twitter.com/88LNMxHyWX
",None
753432158992236544,2016-07-13,03:33:19,UTC,essieburgertje,"We  Crossfit !  #TexasHeat #noairconditioning #WeDidItpic.twitter.com/KeySw850Jc
","['TexasHeat', 'noairconditioning', 'WeDidIt']"
731617838901792768,2016-05-14,22:51:00,UTC,essieburgertje,"All the way from the Netherlands here to watch the @JJWatt charity game, go JJ go !pic.twitter.com/yMBoVoFPoH
",None
726631567787872256,2016-04-30,04:37:20,UTC,essieburgertje,"Just having some fun with the always funny and lovely Joyce E!!pic.twitter.com/s0l831aeUx  at The French Quarter
",None
726267804756795392,2016-04-29,04:31:52,UTC,essieburgertje,"Bealestreet rocks! !pic.twitter.com/aALTXeHub0
",None
720814754164383748,2016-04-14,03:23:24,UTC,essieburgertje,"Good night .pic.twitter.com/clcD8icdD4
",None
720374468833517572,2016-04-13,22:13:51,UTC,essieburgertje,"Reunited ....pic.twitter.com/HJIrjx8xW8
",None
717784719014768640,2016-04-06,18:43:07,UTC,essieburgertje,"Field day #funpic.twitter.com/qp5k27P4yl
",fun
716480383798214660,2016-04-02,04:20:09,UTC,essieburgertje,"Trying to look intelligent .pic.twitter.com/4wkZSRMagI
",None
716297074841509888,2016-04-02,16:11:45,UTC,essieburgertje,"Let's play ball !pic.twitter.com/Tq3mgA8HTL
",None
715887401588011008,2016-04-01,13:03:51,UTC,essieburgertje,"pic.twitter.com/0zdlm9sorr
",None
715205110591258626,2016-03-30,15:52:40,UTC,essieburgertje," and never again please ! #Crossfitpic.twitter.com/hHMGLL6Kn6
",Crossfit
710905202417664000,2016-03-18,19:06:22,UTC,essieburgertje,"pic.twitter.com/Sdmr6sPzuJ
",None
710133679515770880,2016-03-16,16:00:37,UTC,essieburgertje,"Going pro , and set a new pr back squat 175 lbs! pic.twitter.com/x2VXJiVQ19
",None
709889683786838016,2016-03-15,23:51:04,UTC,essieburgertje,"pic.twitter.com/cP0Fv3pKZz
",None
709455492439887872,2016-03-14,19:05:45,UTC,essieburgertje,"pic.twitter.com/635cfTv6TH
",None
708820879615000578,2016-03-12,01:04:01,UTC,essieburgertje,"#family fun #quality time pic.twitter.com/J27QmuZ9YP
","['family', 'quality']"
