ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
971728736616898560,2018-03-08,12:45:59,UTC,jeaninemcshea,"@soulpancake @falco2195 you make me smile
",None
968230767573815296,2018-02-26,21:06:18,UTC,jeaninemcshea,"@DannyDidOrg @falco2195 @KVMcSheahttps://twitter.com/andrewpogar/status/967960352137891842
",None
965336288097394688,2018-02-18,21:24:40,UTC,jeaninemcshea,"Meadow Pollack Memorial Fundhttps://www.gofundme.com/meadowpollack?pc=tw_dn_cpgnsharemore_r&rcid=r01-151898890005-8dec6223348b4dd5
",None
964583846200082434,2018-02-16,19:34:44,UTC,jeaninemcshea,"Add your name: Ban assault weapons http://petitions.moveon.org/sign/ban-military-style-assault-2?source=s.em.cp&r_by=18640142 #EndGunViolenc
",EndGunViolenc
964229111987298304,2018-02-15,20:05:09,UTC,jeaninemcshea,"Pro-Gun Russian Bots Flood Twitter After Parkland Shootinghttps://www.wired.com/story/pro-gun-russian-bots-flood-twitter-after-parkland-shooting
",None
963397814880493568,2018-02-13,13:01:52,UTC,jeaninemcshea,"Corey Crawford returns to practice, but he shouldn't return to games this seasonhttp://bit.ly/2o062mk#.WoLhvJMpIrE.twitter
",
962067025269964802,2018-02-09,20:53:47,UTC,jeaninemcshea,"@gnsailing @falco2195 @KVMcShea Whoa
",None
957625054522675200,2018-01-28,14:42:59,UTC,jeaninemcshea,"On the @PlayersTribune, Corey Hirsch emphasizes the importance of an open dialogue in regards to mental health.https://www.theplayerstribune.com/corey-hirsch-you-are-not-alone/
",None
957371003092520962,2018-01-27,21:53:28,UTC,jeaninemcshea,"#warontheshore benefiting @DannyDidOrg thank you @LoyolaAcademy for hostingpic.twitter.com/oojqb8wdMQ
",warontheshore
956302309541273600,2018-01-24,23:06:52,UTC,jeaninemcshea,"@DannyDidOrghttps://twitter.com/lamaroongold/status/956213767632809986
",None
956149395589910528,2018-01-24,12:59:14,UTC,jeaninemcshea,"Blackhawks' season might be a lost cause, but the future doesn't have to behttp://bit.ly/2DB5tsT#.WmiDF2cELwE.twitter
",
955799157335384064,2018-01-23,13:47:31,UTC,jeaninemcshea,"Mark Emmert Had Nothing To Say About Michigan State&#39;s Role In The Larry Nassar Case https://deadspin.com/mark-emmert-had-nothing-to-say-about-michigan-states-ro-1822306489about:invalid#zSoyz
","['39s', '']"
955522833265897473,2018-01-22,19:29:30,UTC,jeaninemcshea,"Nassar abused girls for decades. MSU president Lou Anna Simon ignored it. She needs to go now.https://act.weareultraviolet.org/sign/gymnastics_abuse_MSU?akid=s546502..z46JUH
",None
953991281524473856,2018-01-18,14:03:40,UTC,jeaninemcshea,"'Entire aisles are empty': Whole Foods employees reveal why stores are facing a crisis of food shortages - Business Insider https://apple.news/AE-f3WSY6SjyL-FS5cYEwkA
",None
953461689449635840,2018-01-16,02:59:15,UTC,jeaninemcshea,"@Suntimes Blackhawks fear Corey Crawford could be out for the season: sources http://bit.ly/2Dk71sd via @suntimes
",None
953268603935223808,2018-01-16,14:12:00,UTC,jeaninemcshea,"@MeredithFrost Coolest pic ever!
",None
950495924928827392,2018-01-08,22:34:22,UTC,jeaninemcshea,"Great foodie town! #chicagothincrusthttps://twitter.com/properties/status/950479638744190977
",chicagothincrust
949780152745160705,2018-01-06,23:10:09,UTC,jeaninemcshea,"A Real 'Very Stable Genius' Doesn't Call Himself One - The Atlantichttps://www.theatlantic.com/science/archive/2018/01/how-actual-smart-people-talk-about-themselves/549878/
",None
948643325464244224,2018-01-03,19:52:48,UTC,jeaninemcshea,"@CrainsChicago Where to buy a home in Chicago https://shar.es/1NbZca via @crainschicago
",None
948281389484593152,2018-01-02,19:54:36,UTC,jeaninemcshea,"@CrainsChicago Cook County gets close to $1 billion in property tax prepayment rush https://shar.es/1N3M0o via @crainschicago
",None
947565589123477506,2017-12-31,20:30:16,UTC,jeaninemcshea,"@juanbuis This looks fun
",None
947228749887627264,2017-12-30,22:11:47,UTC,jeaninemcshea,"@bbicks29 One at home, one at work!
",None
946901591105392642,2017-12-29,00:31:46,UTC,jeaninemcshea,"Trump administration fires all members of HIV/AIDS advisory council - The Washington Posthttps://apple.news/AvJTC7zv4RwWDr7JPZyIKyg
",None
946896900334157824,2017-12-29,00:13:08,UTC,jeaninemcshea,"@espn Blackhawks center Artem Anisimov (upper body) placed on IR - via @ESPN Apphttp://es.pn/2lrSyyw
",None
946510216866213889,2017-12-28,22:36:35,UTC,jeaninemcshea,"@Suntimes The penalty box can be the loneliest  or loudest  place in the NHL http://bit.ly/2ptpqw7 via @suntimes
",None
944771772703965186,2017-12-23,03:28:38,UTC,jeaninemcshea,"@ChristopherHine So sad, Chicago will miss you #blessings
",blessings
