ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
970845368278659073,2018-03-05,02:15:47,UTC,lisabboyd,"""My 5 Learnings (So Far) on Creating Social Impact  by @Schumenu on @LinkedIn""https://www.linkedin.com/pulse/my-5-learnings-so-far-creating-social-impact-megan-schumann
",None
969589791477047296,2018-03-02,15:06:35,UTC,lisabboyd,"""How I Trained Myself to Worry Better"" https://advice.shinetext.com/articles/how-i-trained-myself-to-worry-better/ via @ShineText
",None
964571153791467521,2018-02-16,18:44:18,UTC,lisabboyd,"@PledgeOne So excited for this new way of giving back from the blockchain sector! Blocknubie: The First ICO To Join Pledge 1% https://medium.com/@conor_46457/blocknubie-the-first-ico-to-join-1-pledge-f9d9885a5525 @pledgeone
",None
964570852447563776,2018-02-16,18:43:06,UTC,lisabboyd,"Granting to China Made ""Easy?"" - CAF AmericaCAF Americahttps://www.cafamerica.org/giving-china-made-easy/
",None
962063641771098116,2018-02-09,20:40:21,UTC,lisabboyd,"20 Companies That Are *Really* Changing the World - including @PledgeOne !! by @bellatimmyhttps://shift.newco.co/20-companies-that-are-really-changing-the-world-c4e58d85595a
",None
961361465604169728,2018-02-07,22:10:09,UTC,lisabboyd,"This Chatbot Will Take Your Harassment Claims To HR Anonymouslyhttps://www.fastcompany.com/40526916/this-chatbot-will-take-your-harassment-claims-to-hr-anonymously
",None
961302477936054272,2018-02-07,18:15:45,UTC,lisabboyd,"Early Facebook and Google Employees Form Coalition to Fight What They Builthttps://www.nytimes.com/2018/02/04/technology/early-facebook-google-employees-fight-tech.html
",None
958466228560871424,2018-01-30,22:25:30,UTC,lisabboyd,"10 business insights from the World Economic Forum in Davos by @Timothy_F_Ryanhttps://medium.com/pwc/10-business-insights-from-the-world-economic-forum-in-davos-3f9130f829cf
",None
958465912494989313,2018-01-30,22:24:15,UTC,lisabboyd,"8 Corporate Social Responsibility Trends To Look For In 2018https://www.globalgiving.org/learn/2018-csr-trends/
",None
953771028735434752,2018-01-17,23:28:28,UTC,lisabboyd,"@TechCrunch 2018 could bring the IPOs that tech has been promised foryears http://tcrn.ch/2DbBfJu via @techcrunch
",None
951880665833775104,2018-01-12,18:16:50,UTC,lisabboyd,"13 Dos And Donts For CSR Success In 2018https://www.globalgiving.org/learn/listicle/csr-best-practices-for-2018/
",None
950230348264173570,2018-01-07,04:59:04,UTC,lisabboyd,"@SocialJeremy Yep! See you there!
",None
950162214597488640,2018-01-07,00:28:19,UTC,lisabboyd,"Want to build a company that values giving back to the community in which you live and work? Join us at Pathways to Purpose at the #SFTech4Good meetup on Feb. 7th @ Lyft HQ:http://bit.ly/2EkTZam
",SFTech4Good
940270088636178437,2017-12-11,17:20:33,UTC,lisabboyd,"Join RFPIO and Donate to a Family This Holiday Season https://www.rfpio.com/blog/rfpio-holiday-gift-giving - via @rfpioinc
",None
923299263366365184,2017-10-25,21:24:33,UTC,lisabboyd,"Techstars and WeWork Announce Worldwide Partnership https://www.techstars.com/content/accelerators/techstars-wework-announce-worldwide-partnership/ via @techstars
",None
921502578067718144,2017-10-20,22:25:09,UTC,lisabboyd,"Lupita Nyongo: Speaking Out About Harvey Weinsteinhttps://nyti.ms/2kZnitu
",None
921418199119183872,2017-10-20,16:49:52,UTC,lisabboyd,"LEGO Celebrates Women of NASA With Latest Build Sethttps://tech.co/lego-celebrates-women-nasa-2017-10#.WeopLTSVLts.twitter
",
921072357384392705,2017-10-19,17:55:37,UTC,lisabboyd,"Hidden figures: How Silicon Valley keeps diversity data secrethttps://www.revealnews.org/article/hidden-figures-how-silicon-valley-keeps-diversity-data-secret/
",None
920332931998117888,2017-10-17,16:57:24,UTC,lisabboyd,"Lots of Men Are Gender-Equality Allies in Private. Why Not in Public?http://s.hbr.org/2g8IoR2
",None
