ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
959592969538973696,2018-02-02,01:02:46,UTC,rothgordon,"Review of @AHS_Warranty after this week: buyer beware. Used to be a fan of this home warranty but now see how they cheat their way out of coverage. Support admitted wrongdoing then hung up on me and never called back. Social team unresponsive. Huge disappointment. @BBBArizona
",None
931635693167579136,2017-11-17,21:30:32,UTC,rothgordon,"@myintent Leading a mass massage. What is your word? #qbconnectpic.twitter.com/CW4i3ebMNE
",qbconnect
931628397922361345,2017-11-17,21:01:33,UTC,rothgordon,"@jennifer from @away Our entire product roadmap is based on things our customers have asked for. #qbconnect
",qbconnect
931625266459262977,2017-11-17,20:49:06,UTC,rothgordon,"@BOMBAS @randygoldberg of @bombas started his business to solve a problem. Social mission first. #awesome #inspiring #qbconnectpic.twitter.com/Rh6k6FR7Au
","['awesome', 'inspiring', 'qbconnect']"
931624509911711745,2017-11-17,20:46:06,UTC,rothgordon,"@jennifer founder of Away Mo money more problems. Tapping into feedback to solve problems faster. #qbconnectpic.twitter.com/sHcBh2ZHZA
",qbconnect
931338645524451328,2017-11-16,01:50:11,UTC,rothgordon,"Always remember that you belong in the room. You know how you know? Because youre in the room. @shondarhimes #inspiring #qbconnect
","['inspiring', 'qbconnect']"
931337505139433472,2017-11-16,01:45:39,UTC,rothgordon,"@shondarhimes In storytelling its not the story that matters, its the telling. #qbconnect
",qbconnect
931336045391515648,2017-11-16,01:39:51,UTC,rothgordon,"@shondarhimes I am a storyteller. My stories build a community campfire. My campfire stories build tribes. #qbconnectpic.twitter.com/7Cx3DG3fXy
",qbconnect
931332595345899520,2017-11-16,01:26:08,UTC,rothgordon,"@davegilboa of @WarbyParker says Always be tired. Make sure you are pushing yourself to get better every day. #qbconnect
",qbconnect
931326587596808194,2017-11-16,01:02:16,UTC,rothgordon,"@NateBerkus philosophy on biz: if you are afraid of money, then you are afraid to ask for money and people dont learn your worth #qbconnectpic.twitter.com/fb8GxO0mwy
",qbconnect
931323861936697344,2017-11-16,00:51:26,UTC,rothgordon,"Micromanaging stands in the way of expanding. Have the knowledge, then delegate. @tyrabanks #qbconnectpic.twitter.com/aECCPGCmbG
",qbconnect
931320050505498624,2017-11-16,00:36:17,UTC,rothgordon,"@tyrabanks says Sometimes you dont need to tweak your product, you need to tweak your customer. #QBConnect
",QBConnect
931319088206422016,2017-11-16,00:32:28,UTC,rothgordon,"@tyrabanks @TyraBanks learned to pivot on the runway, then applied that to business many times in her career. Inspiring! #qbconnectpic.twitter.com/wQRNl6Mrx0
",qbconnect
931250753141800960,2017-11-16,20:00:56,UTC,rothgordon,"Community breeds commitment! @MaxieMcCoy at #qbconnectpic.twitter.com/FREB528cKW
",qbconnect
931222329043980288,2017-11-16,18:07:59,UTC,rothgordon,"QuickBooks Capital... using AI to deliver loans to our customers who otherwise could not get a loan from a bank. Weve got your back. @sasan_goodarzi at #qbconnectpic.twitter.com/FEfN2AuD6V
",qbconnect
931218546452971520,2017-11-16,17:52:57,UTC,rothgordon,"When a small business connects with an accountant, they are 100% more likely to succeed. @sasan_goodarzi at #qbconnectpic.twitter.com/VngtCu1GpH
",qbconnect
931216571984355328,2017-11-16,17:45:06,UTC,rothgordon,"Building connections using AI. Connecting small biz to accountants, vendors, employeees.  Weve got your back. @sasan_goodarzi at #qbconnectpic.twitter.com/kTNOQE8Ffc
",qbconnect
931213888367890433,2017-11-16,17:34:26,UTC,rothgordon,"You dont back down. @sasan_goodarzi celebrating small businesses at #qbconnectpic.twitter.com/mmzZm68OVS
",qbconnect
931210998551265280,2017-11-16,17:22:57,UTC,rothgordon,"We are the champions for those who dare to dream. @IntuitBrad at #qbconnectpic.twitter.com/INnaZP3bOV
",qbconnect
931210158813749248,2017-11-16,17:19:37,UTC,rothgordon,"This group are the brave ones @IntuitBrad at #qbconnect
",qbconnect
931208698726309888,2017-11-16,17:13:49,UTC,rothgordon,"All Brad all the time at #qbconnect. Representing @QuickBooks support for small business!pic.twitter.com/EUJA1aIzcI
",qbconnect
930916109871603712,2017-11-15,21:51:10,UTC,rothgordon,"@MichelleLongCPA Nice meeting you today! I hope youll stop by the QB Community meetup tomorrow at 10:30 in The Pavilion. ^Derek
",None
930883267816910848,2017-11-15,19:40:40,UTC,rothgordon,"Exit strategies for solopreneurs: Succession can only come from building a business, not a job. #QuickBooksConnect
",QuickBooksConnect
882446219515187200,2017-07-04,03:49:08,UTC,rothgordon,"@Budget Thanks for replying. We went back to the office and the phone was found. Wish they would answer their phones there though!
",None
882029367832055808,2017-07-03,00:12:43,UTC,rothgordon,"@Budget we think we left an iphone at LGA office. Called 1k times but no answer. Can you help?
",None
859543926423683072,2017-05-02,23:03:36,UTC,rothgordon,"Goto 10!https://twitter.com/BellLabs/status/859151783393992705
",None
842039409373523968,2017-03-15,15:46:54,UTC,rothgordon,"Looking forward to finalizing a deal on a sweet new Pacifica with @HenryBrownAutos today! Wish me luck!
",None
815333499074912256,2016-12-31,23:07:09,UTC,rothgordon,"@SouthwestAir Where is Flt3923? 4 hrs waiting in Havana and no plane? Terrible way to start service to #Cuba. Will we spend NYE here??
",Cuba
771969634064936960,2016-09-03,07:14:37,UTC,rothgordon,"Thanks @EZRentACar for making me and my young children wait 2 hrs to get a car. If only you had a res system to know how many to expect. 
",None
749293667618131968,2016-07-02,17:28:26,UTC,rothgordon,"@AmericanAir I don't want apologies. I want to know where the $200 change fee per ticket is that you owe me for changing my ticket.
",None
749269645538963457,2016-07-02,15:52:58,UTC,rothgordon,"@AmericanAir tks for bad 2 days. 1st move flight, then cancel (mechanical) then steal whole day on rebook & on hold. Then charge for bags.
",None
