ID,Date,Time,Time_Zone,Username,Tweet,Hashtags
971551473631772672,2018-03-07,01:01:36,UTC,ruizeduardo215,"@givenchyass pic.twitter.com/JEltZXAgV1
",None
968362227043569664,2018-02-26,05:48:40,UTC,ruizeduardo215,"Seriously what the actual fuckhttps://twitter.com/duskcry/status/967588271801946113
",None
967188367120130048,2018-02-23,00:04:10,UTC,ruizeduardo215,"Despacitohttps://twitter.com/sabrinabrazil_/status/966151105410342912
",None
966087484827303936,2018-02-20,23:09:40,UTC,ruizeduardo215,"#GIVEMORGANACELEBCHIPOTLECARD2018pic.twitter.com/NXsQhSUSaX
",GIVEMORGANACELEBCHIPOTLECARD2018
966034883700289536,2018-02-20,19:40:38,UTC,ruizeduardo215,"I think we all know who leaked the videohttps://twitter.com/popcrave/status/965705359682883585
",None
961785470119129088,2018-02-08,02:14:59,UTC,ruizeduardo215,"Deadass workshttps://twitter.com/gracesparling/status/961326662070816773
",None
960347060498153472,2018-02-04,02:59:16,UTC,ruizeduardo215,"@NFL RT if you believe Rhianna should do next years #SuperBowl #HalfTime Show
","['SuperBowl', 'HalfTime']"
960344827874328576,2018-02-04,02:50:23,UTC,ruizeduardo215,"What if the #BlankScreen was an ad for Black Mirror?
",BlankScreen
957854589155332097,2018-01-28,05:55:04,UTC,ruizeduardo215,"All he wanted was some Mels Lemonadehttps://twitter.com/abc7/status/956607618159538176
",None
957801853487427584,2018-01-28,02:25:31,UTC,ruizeduardo215,"@NFL, After @rihanna performance of Wild Thoughts at the #Grammys2018, Will You finally let her perform at the Super Bowl next year?
",Grammys2018
956758273394290689,2018-01-25,05:18:42,UTC,ruizeduardo215,"Call me Joanne XO Joanne XOXO Joanne #Joanne #JoanneMusicVideopic.twitter.com/QC2zAdH9CC
","['Joanne', 'JoanneMusicVideo']"
956407239660552192,2018-01-24,06:03:49,UTC,ruizeduardo215,"If Lady Gaga doesnt perform #Joanne (Where Do You Think Youre Goin?) Piano Version as the final song for the final show of the #JoanneWorldTour , Imma throw fistpic.twitter.com/5uTWs4u7gp
","['Joanne', 'JoanneWorldTour']"
955204278255214593,2018-01-21,22:23:41,UTC,ruizeduardo215,"@PopCrave The Lemonade Mouth Soundtrack
",None
952960491990609921,2018-01-15,17:47:41,UTC,ruizeduardo215,"@PopFactsNews Lana
",None
952381294146502656,2018-01-13,03:26:09,UTC,ruizeduardo215,"Please nohttps://twitter.com/popcrave/status/952373693921062912
",None
950615509833211905,2018-01-08,06:29:33,UTC,ruizeduardo215,"Lady Gaga; Lets have some fun this beat is sick                              9 year old me: I wanna take a ride on your disco stickpic.twitter.com/g90VhpXyzO
",None
948144005191102464,2018-01-02,10:48:41,UTC,ruizeduardo215,"Me @ Logan Pauls apology videopic.twitter.com/7ZyCLqewwr
",None
948134185998336001,2018-01-02,10:09:40,UTC,ruizeduardo215,"When i did everything i could just to see a guy at schoolhttps://twitter.com/lovedpink/status/948099515004862464
",None
948081563769516032,2018-01-01,06:40:33,UTC,ruizeduardo215,"I just realized that animoji didnt stand for animal emojis but for animated emojis i feel so stupid
",None
948019415949262849,2018-01-01,02:33:36,UTC,ruizeduardo215,"How come Logan Pauls video showing a dead body at a Japanese Suicide Forest not demonetized for graphic content but a different YouTuber saying a few curse words in a video does get demonetized?
",None
948017302884171776,2018-01-01,02:25:12,UTC,ruizeduardo215,"@ChurchOfPopREAL Me
",None
947961524164816896,2018-01-01,22:43:34,UTC,ruizeduardo215,"2018 just started and i already fucked up, oh well theres always next year #2019
",
945891261591851008,2017-12-26,05:37:05,UTC,ruizeduardo215,"Rest In Peace #WeLoveYouRihanna and cousin #EndGunViolence  We have to get this trendingpic.twitter.com/ZYpmeqbTjT
","['WeLoveYouRihanna', 'EndGunViolence']"
945885689094090752,2017-12-26,05:14:56,UTC,ruizeduardo215,"#WeLoveYouRihanna #EndGunViolence
","['WeLoveYouRihanna', 'EndGunViolence']"
945885282812903424,2017-12-26,05:13:19,UTC,ruizeduardo215,"#WeLoveYouRihanna and the cousin you lost to gun violence #EndGunViolence
","['WeLoveYouRihanna', 'EndGunViolence']"
943334832368599040,2017-12-19,04:18:45,UTC,ruizeduardo215,"@ThatsSoBeyonce pic.twitter.com/mwqE1xLg03
",None
943312814646497280,2017-12-19,02:51:15,UTC,ruizeduardo215,"@PopFactsNews Yes
",None
942626027968151552,2017-12-17,05:22:12,UTC,ruizeduardo215,"Ok but this is low key a bop https://twitter.com/femalerapradar/status/939695686832017408
",None
942625065744470016,2017-12-17,05:18:23,UTC,ruizeduardo215,"Whoever was the bitch that charged $360 for this your moms a hoehttps://twitter.com/araslanian_/status/942271434780434432
",None
940436118520004608,2017-12-11,04:20:17,UTC,ruizeduardo215,"Im so turned on https://twitter.com/stevstiffler/status/939385396185784320
",None
935757502230212608,2017-11-28,06:29:08,UTC,ruizeduardo215,"@givenchyass How do you get suspended for copyright but all those basicwhitegirl accounts dont?
",None
935646655382032385,2017-11-28,23:08:40,UTC,ruizeduardo215,"@PopFactsNews Homemade Dynamite Remix
",None
933512936462544896,2017-11-22,01:50:02,UTC,ruizeduardo215,"@elijahdaniel @TwitterSupport #FREECHRISTINE
",FREECHRISTINE
927745614435172354,2017-11-06,03:52:45,UTC,ruizeduardo215,"Honestly what an icon. Im glad i Stan such a person. Nothing but respect for my president.https://twitter.com/sia/status/927726442154098688
",None
924831608477073408,2017-10-29,02:53:32,UTC,ruizeduardo215,"@ThatsSoBeyonce @ThatsTSB The variety of celebrities
",None
923992352078753792,2017-10-27,19:18:38,UTC,ruizeduardo215,"I like it rough #TurnAGagaLyricIntoABadPickupLine
",TurnAGagaLyricIntoABadPickupLine
923992233296125952,2017-10-27,19:18:10,UTC,ruizeduardo215,"Is your name Joanne because I want you to take my hand #TurnAGagaLyricIntoABadPickupLine
",TurnAGagaLyricIntoABadPickupLine
922985900765691904,2017-10-24,00:39:21,UTC,ruizeduardo215,"@tanamongeau the only reason I know Taylor kaniff is because of @CorinnaKopf
",None
922981642158800896,2017-10-24,00:22:26,UTC,ruizeduardo215,"When youre bf twin bro is sleeping w/ your best friend & the maid while your bf comes out of the closest and proposes #WatchHavanaMusicVideopic.twitter.com/ecTItavEbL
",WatchHavanaMusicVideo
922631424909258752,2017-10-23,01:10:48,UTC,ruizeduardo215,"Live footage of Kris Jenner showing then Kardashians her new haircutpic.twitter.com/MLZ7pvmdA5
",None
921455148961951744,2017-10-20,19:16:41,UTC,ruizeduardo215,"@PopFactsNews Lol
",None
920888285416660992,2017-10-18,05:44:11,UTC,ruizeduardo215,"@chelseahandler Nothing but respect for my President
",None
920502589598334983,2017-10-17,04:11:34,UTC,ruizeduardo215,"@shanedawson Does this have to do with the show you wanted to pitch based on your life?
",None
920500753617301505,2017-10-17,04:04:16,UTC,ruizeduardo215,"@PopFactsNews I think that means they started production again
",None
920136189847355392,2017-10-16,03:55:37,UTC,ruizeduardo215,"@PopFactsNews Yes
",None
920104372989652992,2017-10-16,01:49:11,UTC,ruizeduardo215,"""I tried""https://twitter.com/onlyinbos/status/920008947146395652
",None
919713686050050048,2017-10-15,23:56:44,UTC,ruizeduardo215,"@PopFactsNews Green Light or The Cure
",None
919713544395878405,2017-10-15,23:56:11,UTC,ruizeduardo215,"@PopFactsNews Malibu
",None
919713140903837696,2017-10-15,23:54:34,UTC,ruizeduardo215,"@PopFactsNews Harry Styles
",None
919712612010434560,2017-10-15,23:52:28,UTC,ruizeduardo215,"@PopFactsNews Reggaeton Lento or Mi Gente
",None
919712267528056832,2017-10-15,23:51:06,UTC,ruizeduardo215,"@PopFactsNews Honestly all
",None
919712114318573569,2017-10-15,23:50:30,UTC,ruizeduardo215,"@PopFactsNews It ain't me
",None
919712043002769408,2017-10-15,23:50:13,UTC,ruizeduardo215,"@PopFactsNews Tik-Tok
",None
919711857648156673,2017-10-15,23:49:28,UTC,ruizeduardo215,"@PopFactsNews It ain't me
",None
917142910251950081,2017-10-08,21:41:24,UTC,ruizeduardo215,"@TheFactsOfShade Ok only voting Lana just because she has been in the game for the longest
",None
914564499603992576,2017-10-01,18:55:43,UTC,ruizeduardo215,"Nothing but respect for my presidentpic.twitter.com/0Ez5QDvJSr
",None
913578701375250432,2017-09-28,01:38:30,UTC,ruizeduardo215,"Nothing but respect for my presidenthttps://twitter.com/sympathlze/status/913575618301845504
",None
910896786331652096,2017-09-21,16:01:32,UTC,ruizeduardo215,"pic.twitter.com/1EGvWGMtEL
",None
910126277889163264,2017-09-19,12:59:48,UTC,ruizeduardo215,"GAGA: FIVE FOOT TWO | Official Trailer [HD] | Netflix #FiveFootTwo #LadyGaga Beautiful. Can't wait till Fridayhttps://www.youtube.com/watch?v=IxI1iOi0t-c&feature=share
","['FiveFootTwo', 'LadyGaga']"
908889421935775749,2017-09-15,03:04:59,UTC,ruizeduardo215,"@givenchyass This one is honestly so much better
",None
908879841264578560,2017-09-15,02:26:54,UTC,ruizeduardo215,"I just saw a video a Barack Obama saying some kind of speech and I couldn't pay attention cause I started to tear up.
",None
908872561643196416,2017-09-15,01:57:59,UTC,ruizeduardo215,"When you thought #EyesClosedMusicVideo was for Halseypic.twitter.com/Q3YQC7M71U
",EyesClosedMusicVideo
908536670768701440,2017-09-14,03:43:16,UTC,ruizeduardo215,"@shanedawson Yes
",None
907102415471521792,2017-09-10,04:44:03,UTC,ruizeduardo215,"@elijahdaniel Buy the house
",None
906731352971649025,2017-09-09,04:09:35,UTC,ruizeduardo215,"Also God Bless America - and All The Beautiful Women In It should be the United States national anthem
",None
906730836195606529,2017-09-09,04:07:32,UTC,ruizeduardo215,"I feel like we shouldn't listen to #LanaDelRey as we drive cause every time I hear her I just want to close my eyes and just listentohersing
",LanaDelRey
906585008676028417,2017-09-09,18:28:04,UTC,ruizeduardo215,"Young, Dumb, and Broke #TheseLyricsDescribeMepic.twitter.com/R17xXFGx97
",TheseLyricsDescribeMe
903042285197189120,2017-08-30,23:50:33,UTC,ruizeduardo215,"@elijahdaniel use your mayor certificate to roll a blunt
",None
903021555935936512,2017-08-30,22:28:10,UTC,ruizeduardo215,"Halsey - Bad At Love so aesthetically pleasing #BadAtLoveMusicVideo #BadAtLove #Halseyhttps://www.youtube.com/watch?v=xdYFuCp3m9k&feature=share
","['BadAtLoveMusicVideo', 'BadAtLove', 'Halsey']"
902999743349088257,2017-08-30,21:01:30,UTC,ruizeduardo215,"@elijahdaniel How did you get impeached before Trump?
",None
901968482643853312,2017-08-27,00:43:38,UTC,ruizeduardo215,"My only comment on the #LWYMMD videopic.twitter.com/IoqM68orWV
",LWYMMD
900930552441610240,2017-08-24,03:59:16,UTC,ruizeduardo215,"#LookWhatYouMadeMeDo #Repuationera #TaylorSwiftisBack The old Taylor Swift is DEADhttps://youtu.be/3K0RzZGpyds
","['LookWhatYouMadeMeDo', 'Repuationera', 'TaylorSwiftisBack']"
899530710310035456,2017-08-21,07:16:48,UTC,ruizeduardo215,"Katy Perry - Swish Swish (Music Video Trailer) OH MY GOD!https://www.youtube.com/watch?v=lbDRwIinILo&feature=share
",None
898432768362692609,2017-08-17,06:33:58,UTC,ruizeduardo215,"Miley Cyrus - Younger Now (Official Video) #YoungerNow #Queen #idolhttps://www.youtube.com/watch?v=-LX2kpeyp80&feature=share
","['YoungerNow', 'Queen', 'idol']"
896893667528417280,2017-08-13,00:38:08,UTC,ruizeduardo215,"#LydiaScribblespic.twitter.com/bEQsHcEGnY
",LydiaScribbles
896138104343412737,2017-08-11,22:35:48,UTC,ruizeduardo215,"Students See The Cost of College In Ping-Pong Balls I'm stressing out for themhttps://www.buzzfeed.com/thriventstudentloans/students-see-their-debt-in-ping-pong-balls?utm_term=.opzpOZWQeJ#.opzpOZWQeJ
",
895930222859624449,2017-08-11,08:49:45,UTC,ruizeduardo215,"*Lady Gaga Fans
",None
895930133516664832,2017-08-11,08:49:24,UTC,ruizeduardo215,"Oh thanks
",None
895924853722628097,2017-08-11,08:28:25,UTC,ruizeduardo215,"pic.twitter.com/bHMPiruvUf
",None
895905857434664960,2017-08-11,07:12:56,UTC,ruizeduardo215,"Lady Gaga showing support for Kesha's newest album #Rainbow is literally the best thing everpic.twitter.com/sMrVbcYqMN
",Rainbow
895905187792945153,2017-08-11,07:10:16,UTC,ruizeduardo215,"Overall Kesha Rose is #Rainbowpic.twitter.com/hylb7ddJKM
",Rainbow
895905008419446785,2017-08-11,07:09:33,UTC,ruizeduardo215,"Men when #Rainbow is overpic.twitter.com/9XdJMwFlkm
",Rainbow
895904771122503680,2017-08-11,07:08:37,UTC,ruizeduardo215,"Me halfway through #Rainbowpic.twitter.com/ZwIieuyW5F
",Rainbow
895904379399581696,2017-08-11,07:07:03,UTC,ruizeduardo215,"Me at the beginning of#Rainbowpic.twitter.com/vIsHFXyeXP
",Rainbow
895901855867256833,2017-08-10,06:57:02,UTC,ruizeduardo215,"Kesha's #Rainbow is my new anthem for my life
",Rainbow
894309131850399744,2017-08-06,21:28:07,UTC,ruizeduardo215,"@ThatsSoBeyonce Bad at Love
",None
893675814725632001,2017-08-04,03:31:32,UTC,ruizeduardo215,"@ThatsSoBeyonce Is that why Rhianna is going to kiss her?
",None
893245572513054720,2017-08-03,23:01:54,UTC,ruizeduardo215,"Kesha's #Hymn is honestly an anthem I needed but never asked for but grateful and blessed that I have it nowpic.twitter.com/pC7WilECGQ
",Hymn
892553426973761536,2017-08-01,01:11:34,UTC,ruizeduardo215,"@beyoncefan666_ Telephone part 2?
",None
892504224126218240,2017-08-01,21:56:03,UTC,ruizeduardo215,"@trishapaytas is on celebrity big brother and I can't fucken breathe #CBBTrisha She better win
",CBBTrisha
891934124184698880,2017-07-31,08:10:41,UTC,ruizeduardo215,"Me still wondering why they haven't moved out of Beacon Hills  #StilesLicensepic.twitter.com/nnQRZVv5nM
",StilesLicense
891913562884407296,2017-07-30,06:48:59,UTC,ruizeduardo215,"Me knowing that Teen Wolf is ending but also rooting anyone that will be taking care of Roscoe #StilesLicensepic.twitter.com/OljLDIs3mi
",StilesLicense
888937371789533188,2017-07-22,01:42:39,UTC,ruizeduardo215,"@tom_harlock Is the competition still shook?
",None
